id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
cpd00022_c0	Acetyl-CoA [c0]	C23H34N7O17P3S	-4	ZSLZBFCDCINBPY-ZSJPKINUSA-J	CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-785.83	C00024	cpd00022
cpd00023_c0	L-Glutamate [c0]	C5H8NO4	-1	WHUUTDBJXJRKMK-VKHMYHEASA-M	NC(CCC(=O)[O-])C(=O)O	-164.13	C00025	cpd00023
cpd00010_c0	CoA [c0]	C21H32N7O16P3S	-4	RGJOEKWQDUBAIZ-IBOSZNHHSA-J	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C([O-])=NCCC([O-])=NCCS	-751.994	C00010	cpd00010
cpd00067_c0	H+ [c0]	H	1	GPRLSGONYQIRFK-UHFFFAOYSA-N	[H+]	-9.53	C00080	cpd00067
cpd00477_c0	N-Acetyl-L-glutamate [c0]	C7H9NO5	-2	RFMMMVDNIPUKGG-YFKPBYRVSA-L	CC([O-])=NC(CCC(=O)[O-])C(=O)O	-193.73	C00624	cpd00477
cpd00982_c0	FADH2 [c0]	C27H33N9O15P2	-2	YPZRHBJKEMOYQH-UYBVJOGSSA-L	Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1nc([O-])nc([O-])c1N2	-538.18	C01352	cpd00982
cpd15560_c0	Ubiquinone-8 [c0]	C49H74O4	0	ICFIZJQGJAJRSU-SGHXUWJISA-N	COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O	142.5	C17569	cpd15560
cpd00015_c0	FAD [c0]	C27H30N9O15P2	-3	IMGVNJNCCGXBHD-UYBVJOGSSA-K	Cc1cc2nc3c([O-])nc(=O)nc-3n(CC(O)C(O)C(O)COP(=O)([O-])OP(=O)([O-])OCC3OC([n+]4c[nH]c5c(N)ncnc54)C(O)C3O)c2cc1C	-515.07	C00016	cpd00015
cpd15561_c0	Ubiquinol-8 [c0]	C49H76O4	0	LOJUQFSPYHMHEO-SGHXUWJISA-N	COc1c(O)c(C)c(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c(O)c1OC	120.8		cpd15561
cpd11464_c0	Butyryl-ACP [c0]	C15H28N2O8PRS	-2				C05745	cpd11464
cpd11492_c0	Malonyl-acyl-carrierprotein- [c0]	C14H24N2O10PRS	-2				C01209	cpd11492
cpd00011_c0	CO2 [c0]	CO2	0	CURLTUGMZLYLDI-UHFFFAOYSA-N	O=C=O	-92.26	C00011	cpd00011
cpd11486_c0	3-Oxohexanoyl-[acp] [c0]	C17H30N2O9PRS	-2				C05746	cpd11486
cpd11493_c0	ACP [c0]	C11H22N2O7PRS	-2				C00229	cpd11493
cpd00001_c0	H2O [c0]	H2O	0	XLYOFNOQVPJJNP-UHFFFAOYSA-N	O	-56.687	C00001	cpd00001
cpd00003_c0	NAD [c0]	C21H26N7O14P2	-1	BAWFJGJZGIEFAR-NNYOXOHSSA-M	N=C([O-])c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1	-529.59	C00003	cpd00003
cpd02089_c0	5-Oxopentanoate [c0]	C5H7O3	-1	VBKPPDYGFUZOAJ-UHFFFAOYSA-M	O=CCCCC(=O)[O-]	-108.64	C03273	cpd02089
cpd00004_c0	NADH [c0]	C21H27N7O14P2	-2	BOPGDPNILDQYTO-NNYOXOHSSA-L	N=C([O-])C1=CN(C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1	-524.32	C00004	cpd00004
cpd00379_c0	Glutarate [c0]	C5H6O4	-2	JFCQEDHGNNZCLN-UHFFFAOYSA-L	O=C([O-])CCCC(=O)[O-]	-161.34	C00489	cpd00379
cpd00002_c0	ATP [c0]	C10H13N5O13P3	-3	ZKHQWZAMYRWXGA-KQYNXXCUSA-K	Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])C(O)C1O	-673.85	C00002	cpd00002
cpd15237_c0	hexadecenoate [c0]	C16H29O2	-1			-41.71		cpd15237
cpd00012_c0	PPi [c0]	HO7P2	-3	XPPKVPWEQAFLFU-UHFFFAOYSA-L	O=P([O-])([O-])OP(=O)(O)O	-480.93	C00013	cpd00012
cpd00018_c0	AMP [c0]	C10H12N5O7P	-2	UDMBCSSLTHHNCD-KQYNXXCUSA-L	Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])[O-])C(O)C1O	-257.85	C00020	cpd00018
cpd15239_c0	Hexadecenoyl-ACP [c0]	C27H49N2O8PRS	-1					cpd15239
cpd01335_c0	Octanoyl-CoA [c0]	C29H46N7O17P3S	-4	KQMZYOXOBSXMII-CECATXLMSA-J	CCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-776.11	C01944	cpd01335
cpd03130_c0	(2E)-Octenoyl-CoA [c0]	C29H44N7O17P3S	-4	CPSDNAXXKWVYIY-NTLMCJQISA-J	CCCCCC=CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-755.3	C05276	cpd03130
cpd11472_c0	Hexanoyl-ACP [c0]	C17H31N2O8PRS	-2				C05749	cpd11472
cpd11490_c0	3-oxooctanoyl-acp [c0]	C19H34N2O9PRS	-2				C05750	cpd11490
cpd00063_c0	Ca2+ [c0]	Ca	2	BHPQYMZQTOCNFJ-UHFFFAOYSA-N	[Ca+2]		C00076	cpd00063
cpd00067_e0	H+ [e0]	H	1	GPRLSGONYQIRFK-UHFFFAOYSA-N	[H+]	-9.53	C00080	cpd00067
cpd00063_e0	Ca2+ [e0]	Ca	2	BHPQYMZQTOCNFJ-UHFFFAOYSA-N	[Ca+2]		C00076	cpd00063
cpd01260_c0	Lauroyl-CoA [c0]	C33H54N7O17P3S	-4	YMCXGHLSVALICC-GMHMEAMDSA-J	CCCCCCCCCCCC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-769.63	C01832	cpd01260
cpd02060_c0	(2E)-Dodecenoyl-CoA [c0]	C33H52N7O17P3S	-4	IRFYVBULXZMEDE-XCFIPPSPSA-J	CCCCCCCCCC=CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-748.82	C03221	cpd02060
cpd00626_c0	dTDPglucose [c0]	C16H24N2O16P2	-2	YSYKRGRSMLTJNL-URARBOGNSA-L	Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)O2)c(=O)nc1[O-]	-723.12	C00842	cpd00626
cpd00521_c0	dTDP-4-oxo-6-deoxy-D-glucose [c0]	C16H22N2O15P2	-2	PSXWNITXWWECNY-UCBTUHGZSA-L	Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)(O)OC3OC(C)C(=O)C(O)C3O)O2)c(=O)nc1[O-]	-680.33	C11907	cpd00521
cpd00279_c0	Acetoacetyl-CoA [c0]	C25H36N7O18P3S	-4	OJFDKHTZOUZBOS-CITAKDKDSA-J	CC(=O)CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-812.61	C00332	cpd00279
cpd00107_e0	L-Leucine [e0]	C6H13NO2	0	ROHFNLRQFUQHCH-YFKPBYRVSA-N	CC(C)CC(N)C(=O)O	-84.87	C00123	cpd00107
cpd00008_c0	ADP [c0]	C10H13N5O10P2	-2	XTWYTFMLZFPYCI-KQYNXXCUSA-L	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)([O-])[O-])C(O)C1O	-465.85	C00008	cpd00008
