id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn00192_c0	>	Cytosol	BHNFPM_00776_gene	acetyl-CoA:L-glutamate N-acetyltransferase [c0]		-5.29		(1)  cpd00022[c0] + (1)  cpd00023[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00477[c0]	(1)  Acetyl-CoA [c0][c0] + (1)  L-Glutamate [c0][c0] => (1)  CoA [c0][c0] + (1)  H+ [c0][c0] + (1)  N-Acetyl-L-glutamate [c0][c0]	rxn00192	ACGS	R00259	Arginine and proline metabolism	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|ARGSYNBSUB-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis
rxn10126_c0	>	Cytosol	BHNFPM_03159_gene	succinate dehyrdogenase [c0]		-8.12		(1)  cpd00982[c0] + (1)  cpd15560[c0] => (1)  cpd00015[c0] + (1)  cpd00067[c0] + (1)  cpd15561[c0]	(1)  FADH2 [c0][c0] + (1)  Ubiquinone-8 [c0][c0] => (1)  FAD [c0][c0] + (1)  H+ [c0][c0] + (1)  Ubiquinol-8 [c0][c0]	rxn10126	SUCD4			
rxn05346_c0	>	Cytosol	(BHNFPM_01021_gene or BHNFPM_02895_gene)	butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c0]		-7.37		(1)  cpd11464[c0] + (1)  cpd11492[c0] => (1)  cpd00011[c0] + (1)  cpd11486[c0] + (1)  cpd11493[c0]	(1)  Butyryl-ACP [c0][c0] + (1)  Malonyl-acyl-carrierprotein- [c0][c0] => (1)  CO2 [c0][c0] + (1)  3-Oxohexanoyl-[acp] [c0][c0] + (1)  ACP [c0][c0]	rxn05346	3OAS60	R04952	Fatty acid biosynthesis	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|Palmitate-Biosynthesis
rxn01729_c0	>	Cytosol	(BHNFPM_00609_gene or BHNFPM_01082_gene or BHNFPM_01180_gene or BHNFPM_01393_gene or BHNFPM_03424_gene)	glutarate-semialdehyde:NAD+ oxidoreductase [c0]		-9.8		(1)  cpd00001[c0] + (1)  cpd00003[c0] + (1)  cpd02089[c0] => (1)  cpd00004[c0] + (2)  cpd00067[c0] + (1)  cpd00379[c0]	(1)  H2O [c0][c0] + (1)  NAD [c0][c0] + (1)  5-Oxopentanoate [c0][c0] => (1)  NADH [c0][c0] + (2)  H+ [c0][c0] + (1)  Glutarate [c0][c0]	rxn01729	GLUSD	R02401	Lysine degradation	Amino-Acid-Degradation|Degradation|LYSDEGII-PWY|LYSINE-DEG
rxn08017_c0	>	Cytosol	(BHNFPM_01022_gene or BHNFPM_02001_gene)	acyl-[acyl-carrier-protein] synthetase  (n-C16:1) [c0]				(1)  cpd00002[c0] + (1)  cpd11493[c0] + (1)  cpd15237[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (2)  cpd00067[c0] + (1)  cpd15239[c0]	(1)  ATP [c0][c0] + (1)  ACP [c0][c0] + (1)  hexadecenoate [c0][c0] => (1)  PPi [c0][c0] + (1)  AMP [c0][c0] + (2)  H+ [c0][c0] + (1)  Hexadecenoyl-ACP [c0][c0]	rxn08017	AACPS4			
rxn02679_c0	=	Cytosol	(BHNFPM_00492_gene or BHNFPM_02959_gene or BHNFPM_03511_gene or BHNFPM_04190_gene or BHNFPM_04191_gene)	Octanoyl-CoA:oxygen 2-oxidoreductase [c0]		7.23		(1)  cpd00015[c0] + (1)  cpd00067[c0] + (1)  cpd01335[c0] <=> (1)  cpd00982[c0] + (1)  cpd03130[c0]	(1)  FAD [c0][c0] + (1)  H+ [c0][c0] + (1)  Octanoyl-CoA [c0][c0] <=> (1)  FADH2 [c0][c0] + (1)  (2E) -Octenoyl-CoA [c0][c0]	rxn02679	ACOAD3f	R03777	Fatty acid degradation	
rxn05350_c0	>	Cytosol	(BHNFPM_01021_gene or BHNFPM_02895_gene)	hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c0]		-7.37		(1)  cpd00067[c0] + (1)  cpd11472[c0] + (1)  cpd11492[c0] => (1)  cpd00011[c0] + (1)  cpd11490[c0] + (1)  cpd11493[c0]	(1)  H+ [c0][c0] + (1)  Hexanoyl-ACP [c0][c0] + (1)  Malonyl-acyl-carrierprotein- [c0][c0] => (1)  CO2 [c0][c0] + (1)  3-oxooctanoyl-acp [c0][c0] + (1)  ACP [c0][c0]	rxn05350	3OAS80	R04957	Fatty acid biosynthesis	Biosynthesis|Fatty-acid-biosynthesis|Lipid-Biosynthesis|Palmitate-Biosynthesis
rxn05514_c0	=	Cytosol	BHNFPM_00695_gene	calcium transport in/out via proton antiporter [c0]	2.A.19|TC-2.A.19	0		(1)  cpd00063[c0] + (1)  cpd00067[e0] <=> (1)  cpd00063[e0] + (1)  cpd00067[c0]	(1)  Ca2+ [c0][c0] + (1)  H+ [e0][e0] <=> (1)  Ca2+ [e0][e0] + (1)  H+ [c0][c0]	rxn05514	CAt4			
rxn02720_c0	=	Cytosol	(BHNFPM_00492_gene or BHNFPM_02959_gene or BHNFPM_03511_gene or BHNFPM_04190_gene or BHNFPM_04191_gene)	Lauroyl-CoA:(acceptor) 2,3-oxidoreductase [c0]		7.23		(1)  cpd00015[c0] + (1)  cpd00067[c0] + (1)  cpd01260[c0] <=> (1)  cpd00982[c0] + (1)  cpd02060[c0]	(1)  FAD [c0][c0] + (1)  H+ [c0][c0] + (1)  Lauroyl-CoA [c0][c0] <=> (1)  FADH2 [c0][c0] + (1)  (2E) -Dodecenoyl-CoA [c0][c0]	rxn02720	ACOAD5f	R03857	Fatty acid degradation	
rxn01997_c0	>	Cytosol	BHNFPM_03623_gene	dTDPglucose 4,6-hydro-lyase [c0]		-13.9		(1)  cpd00626[c0] => (1)  cpd00001[c0] + (1)  cpd00521[c0]	(1)  dTDPglucose [c0][c0] => (1)  H2O [c0][c0] + (1)  dTDP-4-oxo-6-deoxy-D-glucose [c0][c0]	rxn01997	TDPGDH	R06513	Streptomycin biosynthesis|Polyketide sugar unit biosynthesis|Biosynthesis of vancomycin group antibiotics	Antibiotic-Biosynthesis|Biosynthesis|CARBO-BIOSYNTHESIS|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|DTDPRHAMSYN-PWY|ECASYN-PWY|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|OANTIGEN-PWY|Rhamnose-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|SUGAR-NUCLEOTIDES
