carbon_source,aeration,o2_uptake_bound,max_growth_rate_1_h,growth_coupled_PHB_flux
Glucose,Anaerobic,0.0,0.35342317704330495,2.5919937397206523
Glucose,Microaerobic,2.0,0.3663018766812828,2.7281251081436033
Glucose,Aerobic,20.0,0.37216670123258916,3.3138386185769657
Glucose,Hyperaerobic,40.0,0.3721667012325831,3.3138386185773974
Fructose,Anaerobic,0.0,0.35342317704330506,2.5919937397206487
Fructose,Microaerobic,2.0,0.36630187668128306,2.7281251081435856
Fructose,Aerobic,20.0,0.37216670123258905,3.3138386185771673
Fructose,Hyperaerobic,40.0,0.372166701232589,3.3138386185769786
Glycerol,Anaerobic,0.0,0.35342317704330495,2.5919937397207162
Glycerol,Microaerobic,2.0,0.366301876681283,2.728125108143584
Glycerol,Aerobic,20.0,0.37216670123258844,3.3138386185769972
Glycerol,Hyperaerobic,40.0,0.37216670123258977,3.3138386185769164
Sucrose,Anaerobic,0.0,0.35342317704330534,2.591993739720645
Sucrose,Microaerobic,2.0,0.36630187668128217,2.7281251081436553
Sucrose,Aerobic,20.0,0.3721667012325884,3.313838618577036
Sucrose,Hyperaerobic,40.0,0.3721667012325893,3.31383861857696
Maltose,Anaerobic,0.0,0.39353789738614164,2.819016337335126
Maltose,Microaerobic,2.0,0.421989168048622,3.316365845721618
Maltose,Aerobic,20.0,0.4453701529337642,3.937981513908812
Maltose,Hyperaerobic,40.0,0.44537015293376375,3.9379815139083343
Mannose,Anaerobic,0.0,0.3534231770433045,2.59199373972067
Mannose,Microaerobic,2.0,0.36630187668128283,2.7281251081435616
Mannose,Aerobic,20.0,0.37216670123258944,3.3138386185768605
Mannose,Hyperaerobic,40.0,0.3721667012325884,3.3138386185770496
Mannitol,Anaerobic,0.0,0.35342317704330445,2.591993739720694
Mannitol,Microaerobic,2.0,0.3663018766812824,2.7281251081436086
Mannitol,Aerobic,20.0,0.3721667012325883,3.3138386185770514
Mannitol,Hyperaerobic,40.0,0.37216670123258944,3.3138386185768716
Arabinose,Anaerobic,0.0,0.35342317704330445,2.5919937397208153
Arabinose,Microaerobic,2.0,0.36630187668128245,2.7281251081434457
Arabinose,Aerobic,20.0,0.3721667012325866,3.3138386185769386
Arabinose,Hyperaerobic,40.0,0.3721667012325887,3.3138386185769546
Melibiose,Anaerobic,0.0,0.353423177043305,2.5919937397206834
Melibiose,Microaerobic,2.0,0.3663018766812825,2.7281251081436007
Melibiose,Aerobic,20.0,0.3721667012325849,3.3138386185771647
Melibiose,Hyperaerobic,40.0,0.3721667012325888,3.313838618577177
Acetate,Anaerobic,0.0,0.3534231770433045,2.591993739720585
Acetate,Microaerobic,2.0,0.36630187668128233,2.7281251081436237
Acetate,Aerobic,20.0,0.3721667012325893,3.313838618577004
Acetate,Hyperaerobic,40.0,0.372166701232588,3.3138386185770257
Succinate,Anaerobic,0.0,0.35342317704330317,2.5919937397207327
Succinate,Microaerobic,2.0,0.36630187668128233,2.7281251081436237
Succinate,Aerobic,20.0,0.37216670123258905,3.313838618576976
Succinate,Hyperaerobic,40.0,0.3721667012325894,3.3138386185769084
Pyruvate,Anaerobic,0.0,0.35342317704330417,2.59199373972066
Pyruvate,Microaerobic,2.0,0.366301876681283,2.7281251081435185
Pyruvate,Aerobic,20.0,0.3721667012325889,3.3138386185770403
Pyruvate,Hyperaerobic,40.0,0.37216670123258444,3.313838618577333
