reaction_id,reaction_name,reduced_cost,lower_bound,upper_bound
EX_23camp_e,R_EX_23camp_e,0.0,-10.0,1000.0
EX_23ccmp_e,R_EX_23ccmp_e,0.0,-10.0,1000.0
EX_23cgmp_e,R_EX_23cgmp_e,0.0,-10.0,1000.0
EX_23cump_e,R_EX_23cump_e,0.0,-10.0,1000.0
EX_23dhbzs3_e,R_EX_23dhbzs3_e,0.0,-10.0,1000.0
EX_2ameph_e,R_EX_2ameph_e,0.0,-10.0,1000.0
EX_2ddglcn_e,R_EX_2ddglcn_e,-0.0,-10.0,1000.0
EX_2hxmp_e,R_EX_2hxmp_e,0.0,-10.0,1000.0
EX_2m35mdntha_e,R_EX_2m35mdntha_e,0.0,-10.0,1000.0
EX_2pglyc_e,R_EX_2pglyc_e,0.0,-10.0,1000.0
EX_35dnta_e,R_EX_35dnta_e,0.0,-10.0,1000.0
EX_3amp_e,R_EX_3amp_e,0.0,-10.0,1000.0
EX_3cmp_e,R_EX_3cmp_e,0.0,-10.0,1000.0
EX_3gmp_e,R_EX_3gmp_e,0.0,-10.0,1000.0
EX_3mb_e,R_EX_3mb_e,0.0,-10.0,1000.0
EX_3ump_e,R_EX_3ump_e,-0.0,-10.0,1000.0
EX_4abut_e,R_EX_4abut_e,0.0,-10.0,1000.0
EX_4ahmmp_e,R_EX_4ahmmp_e,0.0,-10.0,1000.0
EX_4hba_e,R_EX_4hba_e,0.0,-10.0,1000.0
EX_4hpro_DC_e,R_EX_4hpro_DC_e,0.0,-10.0,1000.0
EX_4hpro_LT_e,R_EX_4hpro_LT_e,0.0,-10.0,1000.0
EX_LalaLglu_e,R_EX_LalaLglu_e,0.0,-10.0,1000.0
EX_abg4_e,R_EX_abg4_e,0.0,-10.0,1000.0
EX_abt__L_e,R_EX_abt__L_e,0.0,-10.0,1000.0
EX_ac_e,R_EX_ac_e,-0.0,-10.0,1000.0
EX_acac_e,R_EX_acac_e,-0.0,-10.0,1000.0
EX_acald_e,R_EX_acald_e,0.0,-10.0,1000.0
EX_acgam_e,R_EX_acgam_e,0.0,-10.0,1000.0
EX_acmana_e,R_EX_acmana_e,0.0,-10.0,1000.0
EX_acon_C_e,R_EX_acon_C_e,0.0,-10.0,1000.0
EX_actn__R_e,R_EX_actn__R_e,0.0,-10.0,1000.0
EX_ad_e,R_EX_ad_e,-0.0,-10.0,1000.0
EX_agm_e,R_EX_agm_e,0.0,-10.0,1000.0
EX_ala_B_e,R_EX_ala_B_e,0.0,-10.0,1000.0
EX_ala_L_asp__L_e,R_EX_ala_L_asp__L_e,0.0,-10.0,1000.0
EX_ala_L_glu__L_e,R_EX_ala_L_glu__L_e,0.0,-10.0,1000.0
EX_ala_L_thr__L_e,R_EX_ala_L_thr__L_e,0.0,-10.0,1000.0
EX_ala__D_e,R_EX_ala__D_e,0.0,-10.0,1000.0
EX_ala__L_e,R_EX_ala__L_e,0.0,-10.0,1000.0
EX_ala_gln_e,R_EX_ala_gln_e,-0.0,-10.0,1000.0
EX_ala_his_e,R_EX_ala_his_e,0.0,-10.0,1000.0
EX_ala_leu_e,R_EX_ala_leu_e,0.0,-10.0,1000.0
EX_alaala_e,R_EX_alaala_e,0.0,-10.0,1000.0
EX_alagly_e,R_EX_alagly_e,0.0,-10.0,1000.0
EX_alahis_e,R_EX_alahis_e,0.0,-10.0,1000.0
EX_alaleu_e,R_EX_alaleu_e,0.0,-10.0,1000.0
EX_alathr_e,R_EX_alathr_e,0.0,-10.0,1000.0
EX_alatrp_e,R_EX_alatrp_e,0.0,-10.0,1000.0
EX_arab__L_e,R_EX_arab__L_e,0.0,-5.0,10.0
EX_arbt_e,R_EX_arbt_e,0.0,-10.0,1000.0
EX_arg__L_e,R_EX_arg__L_e,0.0,-10.0,1000.0
EX_asn__L_e,R_EX_asn__L_e,0.0,-10.0,1000.0
EX_asp__L_e,R_EX_asp__L_e,0.0,-10.0,1000.0
EX_balaala_e,R_EX_balaala_e,0.0,-10.0,1000.0
EX_balabala_e,R_EX_balabala_e,0.0,-10.0,1000.0
EX_balagly_e,R_EX_balagly_e,0.0,-10.0,1000.0
EX_balaleu_e,R_EX_balaleu_e,0.0,-10.0,1000.0
EX_balamd_e,R_EX_balamd_e,0.0,-10.0,1000.0
EX_bhb_e,R_EX_bhb_e,0.0,-10.0,1000.0
EX_btn_e,R_EX_btn_e,0.0,-10.0,1000.0
EX_but_e,R_EX_but_e,-0.0,-10.0,1000.0
EX_butso3_e,R_EX_butso3_e,0.0,-10.0,1000.0
EX_bz_e,R_EX_bz_e,0.0,-10.0,1000.0
EX_ca2_e,R_EX_ca2_e,0.0,-10.0,1000.0
EX_carn_e,R_EX_carn_e,0.0,-10.0,1000.0
EX_cellb_e,R_EX_cellb_e,0.0,-10.0,1000.0
EX_cgly_e,R_EX_cgly_e,0.0,-10.0,1000.0
EX_chol_e,R_EX_chol_e,0.0,-10.0,1000.0
EX_cit_e,R_EX_cit_e,0.0,-10.0,1000.0
EX_cl_e,R_EX_cl_e,0.0,-10.0,1000.0
EX_cmcbtt_e,R_EX_cmcbtt_e,0.0,-10.0,1000.0
EX_co2_e,R_EX_co2_e,0.0,-10.0,1000.0
EX_co_e,R_EX_co_e,0.0,-10.0,1000.0
EX_cobalt2_e,R_EX_cobalt2_e,0.0,-10.0,1000.0
EX_cpgn_e,R_EX_cpgn_e,0.0,-10.0,1000.0
EX_cpgn_un_e,R_EX_cpgn_un_e,0.0,-10.0,1000.0
EX_cu2_e,R_EX_cu2_e,0.0,-10.0,1000.0
EX_cys__L_e,R_EX_cys__L_e,0.0,-10.0,1000.0
EX_cytd_e,R_EX_cytd_e,0.0,-10.0,1000.0
EX_d23hb_e,R_EX_d23hb_e,0.0,-10.0,1000.0
EX_dca_e,R_EX_dca_e,0.0,-10.0,1000.0
EX_dcyt_e,R_EX_dcyt_e,0.0,-10.0,1000.0
EX_ddca_e,R_EX_ddca_e,-0.0,-10.0,1000.0
EX_drib_e,R_EX_drib_e,-0.0,-10.0,1000.0
EX_enter_e,R_EX_enter_e,0.0,-10.0,1000.0
EX_ethso3_e,R_EX_ethso3_e,0.0,-10.0,1000.0
EX_etoh_e,R_EX_etoh_e,0.0,-10.0,1000.0
EX_fald_e,R_EX_fald_e,0.0,-10.0,1000.0
EX_fcmcbtt_e,R_EX_fcmcbtt_e,0.0,-10.0,1000.0
EX_fe2_e,R_EX_fe2_e,0.0,-10.0,1000.0
EX_fe3_e,R_EX_fe3_e,-0.0,-10.0,1000.0
EX_fe3dcit_e,R_EX_fe3dcit_e,0.0,-10.0,1000.0
EX_fe3dhbzs3_e,R_EX_fe3dhbzs3_e,0.0,-10.0,1000.0
EX_fe3mcbtt_e,R_EX_fe3mcbtt_e,0.0,-10.0,1000.0
EX_fe3pyovd_kt_e,R_EX_fe3pyovd_kt_e,0.0,-10.0,1000.0
EX_feenter_e,R_EX_feenter_e,0.0,-10.0,1000.0
EX_feoxam_e,R_EX_feoxam_e,0.0,-10.0,1000.0
EX_feoxam_un_e,R_EX_feoxam_un_e,0.0,-10.0,1000.0
EX_fol_e,R_EX_fol_e,0.0,-10.0,1000.0
EX_for_e,R_EX_for_e,0.0,-10.0,1000.0
EX_fru_e,R_EX_fru_e,0.0,-7.0,10.0
EX_fum_e,R_EX_fum_e,0.0,-10.0,1000.0
EX_gal_bD_e,R_EX_gal_bD_e,0.0,-10.0,1000.0
EX_gal_e,R_EX_gal_e,0.0,-10.0,1000.0
EX_galt_e,R_EX_galt_e,0.0,-10.0,1000.0
EX_galur_e,R_EX_galur_e,0.0,-10.0,1000.0
EX_gam_e,R_EX_gam_e,0.0,-10.0,1000.0
EX_glc__D_e,R_EX_glc__D_e,0.0,-10.0,10.0
EX_glc__aD_e,R_EX_glc__aD_e,0.0,-10.0,1000.0
EX_glcn__D_e,R_EX_glcn__D_e,0.0,0.0,0.0
EX_glcn_e,R_EX_glcn_e,0.0,-10.0,1000.0
EX_glcr_e,R_EX_glcr_e,0.0,-10.0,1000.0
EX_glcur_e,R_EX_glcur_e,0.0,-10.0,1000.0
EX_gln__L_e,R_EX_gln__L_e,0.0,-10.0,1000.0
EX_glu__L_e,R_EX_glu__L_e,0.0,-10.0,1000.0
EX_gly_asn__L_e,R_EX_gly_asn__L_e,0.0,-10.0,1000.0
EX_gly_asp__L_e,R_EX_gly_asp__L_e,0.0,-10.0,1000.0
EX_gly_cys_e,R_EX_gly_cys_e,0.0,-10.0,1000.0
EX_gly_e,R_EX_gly_e,0.0,-10.0,1000.0
EX_gly_gln_e,R_EX_gly_gln_e,0.0,-10.0,1000.0
EX_gly_glu__L_e,R_EX_gly_glu__L_e,0.0,-10.0,1000.0
EX_gly_leu_e,R_EX_gly_leu_e,0.0,-10.0,1000.0
EX_gly_met_e,R_EX_gly_met_e,0.0,-10.0,1000.0
EX_gly_phe_e,R_EX_gly_phe_e,0.0,-10.0,1000.0
EX_gly_pro__L_e,R_EX_gly_pro__L_e,0.0,-10.0,1000.0
EX_gly_tyr_e,R_EX_gly_tyr_e,0.0,-10.0,1000.0
EX_glyald_e,R_EX_glyald_e,0.0,-10.0,1000.0
EX_glyb_e,R_EX_glyb_e,0.0,-10.0,1000.0
EX_glyc_e,R_EX_glyc_e,0.0,-10.0,1000.0
EX_glygln_e,R_EX_glygln_e,0.0,-10.0,1000.0
EX_glyglu_e,R_EX_glyglu_e,0.0,-10.0,1000.0
EX_glygly_e,R_EX_glygly_e,0.0,-10.0,1000.0
