metabolite_id,metabolite_name,shadow_price
nmn_e,NMN C11H14N2O8P,-0.02735688900084544
23camp_e,"2',3'-Cyclic AMP",-0.0
23cgmp_e,"2',3'-Cyclic GMP",-0.0
23ccmp_e,"2',3'-Cyclic CMP",0.0
23dhbzs3_e,2-3-dihydroxybenzoylserine trimer,0.0
2ameph_e,2-Aminoethylphosphonate,0.0
2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate,0.0
23cump_e,"2',3'-Cyclic UMP",0.0
2m35mdntha_e,N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline,0.0
2pglyc_e,2-Phosphoglycolate,0.0
35dnta_e,N N bis 3 5 dinitrotolyl  amine,0.0
3amp_e,3  AMP C10H12N5O7P,0.0
3cmp_e,3  CMP C9H12N3O8P,0.0
3gmp_e,Guanosine 3  phosphate C10H12N5O8P,-0.0
3mb_e,3-Methylbutanoic acid,-0.0
2hxmp_e,2  Hydroxymethyl phenol C7H8O2,0.0
4abut_e,4-Aminobutanoate,-0.0
4ahmmp_e,4-Amino-5-hydroxymethyl-2-methylpyrimidine,0.0
4hba_e,4-Hydroxy-benzyl alcohol,-0.0
4hpro_DC_e,Cis 4 Hydroxy D proline,0.0
4hpro_LT_e,Trans 4 Hydroxy L proline C5H9NO3,0.0
LalaLglu_e,L-alanine-L-glutamate,0.0
abg4_e,4-aminobenzoate-glutamate,-0.0
abt__L_e,L Arabinitol C5H12O5,-0.0
ac_e,Acetate,0.0
acac_e,Acetoacetate,0.0
acald_e,Acetaldehyde,-0.0
acgam_e,N-Acetyl-D-glucosamine,-0.0
acmana_e,N-Acetyl-D-mannosamine,-0.0
acon_C_e,Cis-Aconitate,0.0
actn__R_e, R  Acetoin C4H8O2,0.0
3ump_e,3  UMP C9H11N2O9P,0.0
agm_e,Agmatine,0.0
ala_B_e,Beta-Alanine,0.0
ala_L_asp__L_e,Ala L asp L C7H11N2O5,0.0
ala_L_glu__L_e,Ala L glu L C8H13N2O5,0.0
ala_L_thr__L_e,Ala-L-Thr-L,0.0
ala__D_e,D-Alanine,0.0
ala__L_e,L-Alanine,-0.0
ala_gln_e,Ala-Gln,0.0
ala_his_e,Ala-His,0.0
ala_leu_e,Ala-Leu,0.0
alaala_e,D-Alanyl-D-alanine,0.0
alagly_e,L-alanylglycine,0.0
alahis_e,L alaninylhistidine,0.0
alaleu_e,L alaninylleucine,0.0
alathr_e,L alaninylthreonine,0.0
alatrp_e,L alaninyltryptophan,0.0
arab__L_e,L-Arabinose,0.0
arbt_e,Arbutin C12H16O7,0.0
arg__L_e,L-Arginine,-0.0
asn__L_e,L-Asparagine,-0.0
asp__L_e,L-Aspartate,0.0
balaala_e,Beta alanylL alanine,0.0
balabala_e,Beta alanyl beta alanine,0.0
balagly_e,Beta alanylL glycine,0.0
balaleu_e,Beta alanylL leucine,0.0
balamd_e,Beta Alaninamide,0.0
bhb_e,(R)-3-Hydroxybutanoate,0.0
btn_e,Biotin,0.0
but_e,Butyrate (n-C4:0),-0.0
