reaction_id,reaction_name,distance_from_PHB,flux,abs_flux,capacity_bound,flux_to_capacity_ratio,bottleneck_score
RU5PS,Ribulose-5-P Synthetase,2,-10.0,10.0,10.0,1.0,0.5036438826974781
AH6PI,Arabino-3-hexulose-6-P Isomerase,2,-9.999999999999998,9.999999999999998,10.0,0.9999999999999998,0.5036438826974778
ATPM,R_ATPM,2,8.39,8.39,10.0,0.8390000000000001,0.3545255055522915
PHBS_syn_1,Polyhydroxybutyrate synthase,0,3.9379815139086913,3.9379815139086913,10.0,0.39379815139086916,0.07810357435834925
AACOAR_syn,Acetoacetyl-CoA reductase (R-specific),1,3.9379815139086918,3.9379815139086918,10.0,0.39379815139086916,0.07810357435834925
OXAtpp,OxalateH antiporter  periplasm,2,-2.5562042003154533,2.5562042003154533,10.0,0.25562042003154534,0.03290899741984961
PYK,Pyruvate kinase,2,19.855299237311822,19.855299237311822,1000.0,0.019855299237311823,0.019855299237311823
H2Otex,H2O transport via diffusion (extracellular to periplasm),3,19.232257836490135,19.232257836490135,1000.0,0.019232257836490133,0.018628766913477833
RPE,Ribulose 5-phosphate 3-epimerase,3,13.332665010881836,13.332665010881836,1000.0,0.013332665010881836,0.008952771457523467
O2tpp,O2 transport via diffusion (periplasm),3,10.483938191498728,10.483938191498728,1000.0,0.010483938191498728,0.0055356989934766945
O2tex,Oxygen transport via diffusion (extracellular to periplasm),4,10.483938191498728,10.483938191498728,1000.0,0.010483938191498728,0.0055356989934766945
ALAtpp,L-alanine export via facilited diffusion,2,10.000000000000002,10.000000000000002,1000.0,0.010000000000000002,0.005036438826974782
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,2,10.0,10.0,1000.0,0.01,0.005036438826974781
NMNP,NMN permease,3,10.0,10.0,1000.0,0.01,0.005036438826974781
VALDHr,Valine dehydrogenase,2,-10.0,10.0,1000.0,0.01,0.005036438826974781
PGMT,Phosphoglucomutase,3,-10.0,10.0,1000.0,0.01,0.005036438826974781
PGM,Phosphoglycerate mutase,3,-10.0,10.0,1000.0,0.01,0.005036438826974781
PGK,Phosphoglycerate kinase,2,-10.0,10.0,1000.0,0.01,0.005036438826974781
ENO,Enolase,2,10.0,10.0,1000.0,0.01,0.005036438826974781
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),2,10.0,10.0,1000.0,0.01,0.005036438826974781
ALAtex,L-alanine transport via diffusion (extracellular to periplasm),3,-10.0,10.0,1000.0,0.01,0.005036438826974781
FALDep,Formaldehyde extrusion pump,2,9.999999999999998,9.999999999999998,1000.0,0.009999999999999998,0.0050364388269747784
NMNDA,Nicotinamide-nucleotide amidase,2,9.99908690211245,9.99908690211245,1000.0,0.009999086902112451,0.00503551911663524
NAPRT,NAPRTase (rev),2,-9.999086902112449,9.999086902112449,1000.0,0.009999086902112448,0.005035519116635237
NACt,Nicotinic acid transport,3,-9.999086902112449,9.999086902112449,1000.0,0.009999086902112448,0.005035519116635237
A6PAG,,2,9.91782920678372,9.91782920678372,1000.0,0.00991782920678372,0.004954009254622015
GALpts,Galactose transport via PTS,2,-9.91782920678372,9.91782920678372,1000.0,0.00991782920678372,0.004954009254622015
GALKr,Galactokinase,2,-9.91782920678372,9.91782920678372,1000.0,0.00991782920678372,0.004954009254622015
GALT,Galactose 1 phosphate uridylyltransferase,2,-9.91782920678372,9.91782920678372,1000.0,0.00991782920678372,0.004954009254622015
UDPG4E,UDPglucose 4-epimerase,3,9.917829206783718,9.917829206783718,1000.0,0.009917829206783718,0.004954009254622012
PRPPS,Phosphoribosylpyrophosphate synthetase,2,-9.762349239358095,9.762349239358095,1000.0,0.009762349239358094,0.004799900597423509
VPAMTr,Valine-pyruvate aminotransferase,2,-9.673189396335006,9.673189396335006,1000.0,0.009673189396335007,0.004712625681386426
PItex,Phosphate transport via diffusion (extracellular to periplasm),3,-9.616128918245069,9.616128918245069,1000.0,0.009616128918245068,0.004657191728369461
GSNt2pp,Guanosine transport in via proton symport (periplasm),2,9.534239910724535,9.534239910724535,1000.0,0.009534239910724536,0.004578210058120466
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",2,9.534239910724533,9.534239910724533,1000.0,0.009534239910724534,0.004578210058120464
3NTD9pp,3'-nucleotidase (GMP) (periplasm),3,9.534239910724533,9.534239910724533,1000.0,0.009534239910724534,0.004578210058120464
23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),3,9.534239910724533,9.534239910724533,1000.0,0.009534239910724534,0.004578210058120464
3NUCLE4,3  nucleotidase  guanosine 3  phosphate,2,-9.43719299727101,9.43719299727101,1000.0,0.009437192997271011,0.004485483225575339
3GMPtex_1,3GMP transport via diffusion (extracellular to cytoplasm),3,-9.437192997271008,9.437192997271008,1000.0,0.00943719299727101,0.004485483225575337
CYTBD2pp,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),2,8.25523184708649,8.25523184708649,1000.0,0.00825523184708649,0.0034322752850325508
ACS,Acetyl-CoA synthetase,1,7.6903044174405055,7.6903044174405055,1000.0,0.007690304417440505,0.0029785893088817494
TKT2,Transketolase,2,6.666332505440917,6.666332505440917,1000.0,0.006666332505440917,0.002238192864380866
TKT1,Transketolase,3,6.666332505440917,6.666332505440917,1000.0,0.006666332505440917,0.002238192864380866
PTAr,Phosphotransacetylase,1,6.498868030294556,6.498868030294556,1000.0,0.0064988680302945565,0.002127154326428717
ACKr,Acetate kinase,2,-6.498868030294556,6.498868030294556,1000.0,0.0064988680302945565,0.002127154326428717
FADMQOR,Menaquinone:FAD oxidoreductase,2,5.625792012364678,5.625792012364678,1000.0,0.005625792012364678,0.0015940095078955452
CYTB_B3,Menauinol oxidase  72 protons,2,5.625792012364678,5.625792012364678,1000.0,0.005625792012364678,0.0015940095078955452
SUCD2,Succinate dehydrogenase dehydrogenase (menaquinone 8 as acceptor),2,5.625792012364678,5.625792012364678,1000.0,0.005625792012364678,0.0015940095078955452
GTHPe,Glutathione peroxidase,3,5.0,5.0,1000.0,0.005,0.0012591097067436953
TALA,Transaldolase,2,4.87202921081065,4.87202921081065,1000.0,0.00487202921081065,0.0011954827951616365
FRDx,Fumarate reductase NADH,2,4.335421912988047,4.335421912988047,1000.0,0.004335421912988047,0.0009466431575252192
HEX1,Hexokinase (D-glucose:ATP),2,4.230819141874215,4.230819141874215,1000.0,0.004230819141874215,0.0009015140188676753
MAL6PG,Maltose 6  phosphate glucosidase,2,4.230819141874214,4.230819141874214,1000.0,0.004230819141874214,0.0009015140188676749
PEPA,MNXR86162,2,4.230819141874214,4.230819141874214,1000.0,0.004230819141874214,0.0009015140188676749
MALTt2,Maltose transport in via proton symport,2,4.230819141874214,4.230819141874214,1000.0,0.004230819141874214,0.0009015140188676749
ACACT1r,Acetyl-CoA C-acetyltransferase,1,3.9379815139086918,3.9379815139086918,1000.0,0.003937981513908692,0.0007810357435834925
13PPDH2,"1,3-propanediol dehydrogenase",2,-3.350267819286648,3.350267819286648,1000.0,0.003350267819286648,0.0005653047242851502
13PPDH,"1,3-propanediol dehydrogenase",2,3.3502678192866475,3.3502678192866475,1000.0,0.0033502678192866477,0.0005653047242851501
RPI,Ribose-5-phosphate isomerase,2,3.3327543966715307,3.3327543966715307,1000.0,0.0033327543966715305,0.0005594099457166988
THRt2r,L threonine reversible transport via proton symport,2,2.9032771967023745,2.9032771967023745,1000.0,0.0029032771967023746,0.0004245223595045244
FE3PYOVDL2,Ferripyoverdine complex formation  P putida KT2440 specific,2,-2.872751198754416,2.872751198754416,1000.0,0.002872751198754416,0.0004156421593705607
FE3DCITexs,Dicitrate Fe(III) binding (spontaneous),2,2.8696214936157163,2.8696214936157163,1000.0,0.002869621493615716,0.00041473701394269095
GLYAT,Glycine C-acetyltransferase,1,-2.8015910405137974,2.8015910405137974,1000.0,0.002801591040513797,0.0003953056695079974
THRD,L-threonine dehydrogenase,2,2.8015910405137974,2.8015910405137974,1000.0,0.002801591040513797,0.0003953056695079974
NADHPO,NADH peroxidase,2,2.726028365119819,2.726028365119819,1000.0,0.002726028365119819,0.0003742693856496084
NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons),2,2.6294398347218126,2.6294398347218126,1000.0,0.002629439834721813,0.00034821705589957875
GLYO1,Glycine oxidase,2,2.5562042003154533,2.5562042003154533,1000.0,0.0025562042003154533,0.00032908997419849604
GLXO1,Glyoxylate oxidase,2,2.5562042003154533,2.5562042003154533,1000.0,0.0025562042003154533,0.00032908997419849604
OXFOtex,Oxalate:Formate antiporter (extracellular to periplasm),3,-2.556204200315453,2.556204200315453,1000.0,0.002556204200315453,0.00032908997419849593
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",2,1.7943032946302668,1.7943032946302668,1000.0,0.001794303294630267,0.00016214937254992065
PFK_4,Phosphofructokinase (s7p),2,1.7943032946302668,1.7943032946302668,1000.0,0.001794303294630267,0.00016214937254992065
TPI,Triose-phosphate isomerase,2,1.5397742522286206,1.5397742522286206,1000.0,0.0015397742522286206,0.00011940916727010763
PGI,Glucose-6-phosphate isomerase,3,-1.5383617162515686,1.5383617162515686,1000.0,0.0015383617162515685,0.00011919018402811419
