reaction_1,reaction_2,pearson_r,coupling_type
KAS4,KAS6,1.0000000000000002,positive (co-directional)
FACOAL150_anteiso,FACOAL160_ISO,1.0000000000000002,positive (co-directional)
FACOAL150_anteiso,KAS3,1.0000000000000002,positive (co-directional)
FACOAL150_anteiso,KAS6,1.0000000000000002,positive (co-directional)
FACOAL170_anteiso,KAS6,1.0000000000000002,positive (co-directional)
FACOAL170_anteiso,KAS3,1.0000000000000002,positive (co-directional)
KAS12,KAS6,1.0000000000000002,positive (co-directional)
KAS12,KAS3,1.0000000000000002,positive (co-directional)
PHBS_syn_1,AACOAR_syn,1.0,positive (co-directional)
3OXCOAT,PACCOAL,1.0,positive (co-directional)
ACACT4r,ACACT5r_1,1.0,positive (co-directional)
ACACT5r,FACOAL100t2pp,1.0,positive (co-directional)
FACOAL150_ISO,KAS12,1.0,positive (co-directional)
FACOAL150_ISO,KAS3,1.0,positive (co-directional)
FACOAL150_anteiso,KAS12,1.0,positive (co-directional)
FACOAL170_ISO,KAS11,1.0,positive (co-directional)
KAS3,KAS6,1.0,positive (co-directional)
KAS3,KAS4,1.0,positive (co-directional)
FACOAL170_anteiso,KAS4,1.0,positive (co-directional)
ACACT8r,KAS17,1.0,positive (co-directional)
FACOAL150_ISO,FACOAL160_ISO,1.0,positive (co-directional)
FACOAL150_ISO,FACOAL170_anteiso,1.0,positive (co-directional)
FACOAL150_ISO,KAS6,1.0,positive (co-directional)
FACOAE120,FAS140,1.0,positive (co-directional)
FACOAL160_ISO,KAS3,1.0,positive (co-directional)
FACOAE180,FACOAL180t2pp,1.0,positive (co-directional)
AGPATr_BS,G3POA_BS,1.0,positive (co-directional)
FACOAL150_anteiso,KAS4,1.0,positive (co-directional)
FACOAL160_ISO,KAS6,1.0,positive (co-directional)
FACOAL160_ISO,KAS4,1.0,positive (co-directional)
FACOAL170_anteiso,KAS12,1.0,positive (co-directional)
FACOAL150_ISO,KAS4,1.0,positive (co-directional)
FACOAL150_ISO,FACOAL150_anteiso,1.0,positive (co-directional)
FACOAL160_ISO,KAS12,1.0,positive (co-directional)
FACOAL160_ISO,FACOAL170_anteiso,1.0,positive (co-directional)
KAS12,KAS4,1.0,positive (co-directional)
FACOAL150_anteiso,FACOAL170_anteiso,1.0,positive (co-directional)
FACOAL170_ISO,FACOAL170_anteiso,0.9999999999999999,positive (co-directional)
FACOAL170_ISO,KAS12,0.9999999999999999,positive (co-directional)
FACOAL170_ISO,KAS4,0.9999999999999999,positive (co-directional)
FACOAL150_anteiso,KAS11,0.9999999999999999,positive (co-directional)
FACOAL170_anteiso,KAS11,0.9999999999999999,positive (co-directional)
KAS11,KAS4,0.9999999999999999,positive (co-directional)
FACOAL150_anteiso,FACOAL170_ISO,0.9999999999999999,positive (co-directional)
KAS11,KAS12,0.9999999999999999,positive (co-directional)
FACOAL150_ISO,KAS11,0.9999999999999996,positive (co-directional)
FACOAL170_ISO,KAS3,0.9999999999999996,positive (co-directional)
FACOAL150_ISO,FACOAL170_ISO,0.9999999999999996,positive (co-directional)
Growth,KAS11,0.9999999999999996,positive (co-directional)
FACOAL160_ISO,KAS11,0.9999999999999996,positive (co-directional)
FACOAL160_ISO,FACOAL170_ISO,0.9999999999999996,positive (co-directional)
FACOAL170_ISO,KAS6,0.9999999999999996,positive (co-directional)
KAS11,KAS6,0.9999999999999996,positive (co-directional)
KAS11,KAS3,0.9999999999999996,positive (co-directional)
