reaction_id,reaction_name,subsystem,distance_from_PHB,minimum,maximum,flux_range
PHBS_syn_1,Polyhydroxybutyrate synthase,,0,0.0,3.9379815139086287,3.9379815139086287
3OXCOAT,3-oxoadipyl-CoA thiolase,,1,0.0,1.9307074362310022,1.9307074362310022
AACLAM,Acetyl adenylate CoA ligase AMP-forming,,1,0.0,11.710142772010803,11.710142772010803
AACOAR_syn,Acetoacetyl-CoA reductase (R-specific),,1,0.0,3.9379815139086554,3.9379815139086554
ACACT1r,Acetyl-CoA C-acetyltransferase,,1,-2.574620334820532,3.937981513908665,6.512601848729197
ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),,1,-1.0892908064073847,0.002315924795255595,1.0916067312026403
ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),,1,-1.0892908064073874,0.002315924795255574,1.091606731202643
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),,1,-1.0892908064073996,0.0023159247952555706,1.0916067312026552
ACACT5r,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),,1,0.0,1.091375138723104,1.091375138723104
ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,,1,-1.0892908064073976,0.0023159247952551625,1.0916067312026527
ACACT6r_1,Acetyl CoA C acyltransferase  dodecanoyl CoA,,1,-1.0892908064073983,0.0023159247952555663,1.0916067312026538
ACACT7r,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),,1,-0.2851425561730736,0.0017814806117350509,0.28692403678480866
ACACT8r,"Acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)",,1,0.0,0.25807129985126526,0.25807129985126526
ACGS,N-acetylglutamate synthase,,1,0.0,1.2888333333333262,1.2888333333333262
ACPS,Acyl Carrier Protein Synthase,,1,0.0,1.2888333333333057,1.2888333333333057
ACPS1,Acyl-carrier protein synthase,,1,0.0,1.2888333333333153,1.2888333333333153
ACPS1_1,"CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase, cytosol",,1,0.0,1.2888333333333126,1.2888333333333126
ACS,Acetyl-CoA synthetase,,1,0.0,11.71014277201079,11.71014277201079
ACS2,Acetyl-CoA synthase (propionate),,1,0.0,11.710142772010698,11.710142772010698
ACS_1,Acetyl-CoA synthetase,,1,0.0,0.0,0.0
ACTD2,Acetoin dehydrogenase,,1,0.0,2.5776666666665413,2.5776666666665413
AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,,1,0.008016662752807758,0.008907403058675241,0.0008907403058674834
AKGDH,2-Oxogluterate dehydrogenase,,1,0.0,2.577666666666646,2.577666666666646
APATi,Tetrahydrodipicolinate acetyltransferase,,1,0.0,1.3616168148826449,1.3616168148826449
BSCT,Benzoylsuccinyl-CoA thiolase,,1,-4.4371554300881574e-05,0.552317059543373,0.5523614310976739
CS,Citrate synthase,,1,0.0,7.564409465217626,7.564409465217626
DHNCOAT,"1,4-dihydroxy-2-napthoyl-CoA thioesterase",,1,0.0,4.28104875978121e-05,4.28104875978121e-05
DHPACCOAHIT,"1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA Hydratase/Isomerase/Ketothiolase complex",,1,0.0,1.9307074362310432,1.9307074362310432
DPCOAK,Dephospho-CoA kinase,,1,0.0002308798872809036,1.289064213220593,1.288833333333312
FACOAE120,Fatty-acid-CoA thioesterase (dodecanoate),,1,0.0,0.6063195215128506,0.6063195215128506
FACOAE140,Fatty-acid-CoA thioesterase (tetradecanoate),,1,0.0,2.5776666666666244,2.5776666666666244
FACOAE160,Fatty-acid-CoA thioesterase (hexadecanoate),,1,0.0,2.5776666666666013,2.5776666666666013
FACOAE161,Fatty-acid-CoA thioesterase (hexadecenoate),,1,0.0,2.5776666666665893,2.5776666666665893
FACOAE180,Fatty-acid-CoA thioesterase (octadecanoate),,1,0.0,0.8592222222221984,0.8592222222221984
FACOAL100t2pp,Fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling),,1,0.0,1.0913751387231132,1.0913751387231132
FACOAL120t2pp,Fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling),,1,0.0,1.0913751387231156,1.0913751387231156
FACOAL140,Fatty acid  CoA ligase  tetradecanoate,,1,0.0,2.577666666666611,2.577666666666611
FACOAL140_ISO,Fatty acid  CoA ligase  Iso C140,,1,0.00016033325505615518,0.00017814806117350538,1.78148061173502e-05
FACOAL140t2pp,Fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling),,1,0.0,1.091375138723107,1.091375138723107
FACOAL141t2pp,Fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),,1,0.0,1.0913751387231048,1.0913751387231048
FACOAL150_ISO,Fatty acid  CoA ligase  Iso C150,,1,0.003206665101123103,0.0035629612234701065,0.0003562961223470035
FACOAL150_anteiso,Fatty acid  CoA ligase  anteiso C150,,1,0.0054513306719092755,0.006057034079899197,0.0006057034079899213
FACOAL160,Fatty acid  CoA ligase  hexadecanoate,,1,0.0,2.577666666666657,2.577666666666657
FACOAL160_ISO,Fatty acid  CoA ligase  Iso C160,,1,0.0008016662752807756,0.0008907403058675268,8.90740305867512e-05
FACOAL160t2pp,Fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling),,1,0.0,1.0310666666666428,1.0310666666666428
