,minimum,maximum
PHBS_syn_1,5.000000000000001,10.0
3OXCOAT,0.0,10.000000000000009
AACLAM,0.0,30.776666666666713
AACOAR_syn,5.000000000000001,10.00000000000001
ACACT1r,-10.0,15.79092592592592
ACACT2r,-8.944166666666657,0.0020007899003734245
ACACT3r,-8.944166666666655,0.0020008231037044904
APATi,0.0,10.0
BSCT,-3.242423928036757e-05,4.990810810810809
CS,0.0,19.96599999999994
DHNCOAT,0.0,3.431979979896833e-05
DHPACCOAHIT,0.0,10.000000000000004
DPCOAK,0.0,10.258888888888885
FACOAE120,0.0,5.504102564102564
FACOAE140,0.0,15.388333333333334
FACOAE160,0.0,15.38833333333334
FACOAE161,0.0,15.388333333333337
FACOAE180,0.0,6.155333333333333
FACOAL100t2pp,0.0,8.895040160642578
FACOAL120t2pp,0.0,8.13990094105992
FACOAL140,0.0,15.3883333333337
FACOAL140_ISO,0.0,0.00015487092369863176
FACOAL140t2pp,0.0,7.148460323726801
FACOAL141t2pp,0.0,7.232219730698815
FACOAL150_ISO,0.0,0.0031007364455400994
FACOAL150_anteiso,0.0,0.005271251957418157
FACOAL160,0.0,15.388333333334334
FACOAL160_ISO,0.0,0.0007751841113850241
FACOAL160t2pp,0.0,7.694166666666657
FACOAL161,0.0,15.388333333333287
FACOAL161t2pp,0.0,6.155333333333328
FACOAL170_ISO,0.0,0.0010852577559390339
FACOAL170_anteiso,0.0,0.0026356259787090816
FACOAL180_2,0.0,0.00046511046683101435
FACOAL180t2pp,0.0,6.155333333333333
FACOAL181,0.0,2.114784580498867
FACOAL181t2pp,0.0,1.7764190476190487
FACOAL60t2pp,0.0,8.944166666666641
FACOAL80t2pp,0.0,8.944166666666645
FAS140,0.0,5.504102564102551
G1PACT,0.0,10.000000000000004
G3POA_BS,0.0,0.007751841113850256
GLYAT,-10.0,10.000000000000016
Growth,0.0,0.3875920556925127
HIBHr,0.0,10.661145833333316
HSERTA,0.0,9.232999999999961
IPPS,0.0,9.296111111111108
KAS1,0.0,0.00015503626190955098
KAS11,0.0,0.001085257755939039
KAS12,0.0,0.0026356259787090833
KAS13,0.0,0.0004651104668310147
KAS17,0.0,2.11478458049886
KAS2,0.0,2.6123809523809474
KAS3,0.0,0.0031007364455400968
KAS4,0.0,0.005271251957418167
KAS6,0.0,0.0007751841113850247
KAS7,0.0,2.3373934837092647
KAS8,0.0,2.3373934837092674
MACCOAT,0.0,11.444166666666666
MALS,0.0,11.643999999999991
MCITS,0.0,18.339722222222203
MMSAD1,0.0,10.661145833333316
MMSAD2,0.0,16.590246913580227
MMSAD3,0.0,9.999999999999988
MMSDHir,0.0,10.66114583333334
NPHS,0.0,3.8452477150328076e-05
OBDHc,0.0,11.092222222222212
OIVD1r,-10.0,8.27129629629632
OIVD2,0.0,7.057241379310338
OIVD3,0.0,11.444166666666666
OXDHCOAT,0.0,10.000000000000004
PACCOAL,0.0,10.000000000000002
PBUTT,-10.0,10.000000000000002
PDH,0.0,16.444166666666668
PDHbr,0.0,16.444166666666668
POR_syn,0.0,15.53464566929136
PTA2,0.0,30.77666666666653
PTAr,-10.0,10.0
PTRCAT1,0.0,7.694166666666648
SERAT,0.0,18.136825396825405
SSCOARy,-10.0,22.205238095238112
SUCBZL,0.0,4.990810810810814
