reaction_id,reaction_name,imbalance
2AACLPGT160,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -2.0}
2AACLPGT161,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -1.0}
2AACLPGT180,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -2.0}
2AACLPGT181,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -1.0}
2AACLPPEAT160,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -1.0}
2AACLPPEAT161,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -2.0}
2AACLPPEAT180,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -2.0}
2AACLPPEAT181,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase  n C160,{'H': -1.0}
2S6HCCi,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,{'H': -2.0}
A6PAG,,{'H': -2.0}
A6PAG2,,{'H': -2.0}
AACLAM,Acetyl adenylate CoA ligase AMP-forming,{'H': 2.0}
AACPS3,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),{'H': 1.0}
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),{'H': 2.0}
AACPS5,Acyl-[acyl-carrier-protein] synthetase  (n-C18:1),{'H': 1.0}
AACPS6,Acyl-[acyl-carrier-protein] synthetase  (n-C18:0),{'H': 2.0}
AACPS9,Acyl-[acyl-carrier-protein] synthetase  (n-C8:0),{'H': 2.0}
ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,{'H': 4.0}
ACACT6r_1,Acetyl CoA C acyltransferase  dodecanoyl CoA,{'H': 4.0}
ACHBS,2-aceto-2-hydroxybutanoate synthase,{'H': -1.0}
ACLS_a,Acetolactate synthase,{'H': -2.0}
ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,{'H': 2.0}
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,{'H': 3.0}
ACMANApts,N-acetyl-D-mannosamine transport via PTS,{'H': -2.0}
ACOAD3,Acyl-CoA dehydrogenase (octanoyl-CoA),{'H': -4.0}
ACOAD4_1,Acyl CoA dehydrogenase  decanoyl CoA,{'H': 4.0}
ACOAD6,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),{'H': -4.0}
ACOAM,Acetate CoA ligase AMP-forming,{'H': -2.0}
ACP1_FMN,Acid phosphatase (FMN),{'H': 2.0}
ACPPAT160,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:0),{'H': -2.0}
ACPPAT161,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1),{'H': -3.0}
ACPPAT180,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0),{'H': -3.0}
ACPPAT181,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:1),{'H': -2.0}
ACPS1,Acyl-carrier protein synthase,{'H': -1.0}
ACPS1_1,"CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase, cytosol",{'H': -1.0}
ACPpds,[acyl-carrier-protein] phosphodiesterase,{'H': 1.0}
ACSERHS,O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide),{'H': 2.0}
ADK2,Adenylate kinase (Inorganic triphosphate),{'H': 4.0}
ADMDC,Adenosylmethionine decarboxylase,{'H': 2.0}
ADPDA,N6 acetyl LL 2 6 diaminoheptanedioate amidohydrolase,{'H': 1.0}
ADPRDP,ADPribose diphosphatase,{'H': -2.0}
ADPRDP_1,ADPribose diphosphatase,{'H': -2.0}
ADSL1r,Adenylsuccinate lyase,{'H': 4.0}
ADSS,Adenylosuccinate synthase,{'H': -4.0}
AEPPYRTA,2 aminoethylphosphonate pyruvate transaminase,{'H': -2.0}
