reaction_id,reaction_name,growth,growth_fraction_of_wt,classification,growth_coupled_PHB_after_knockout
EX_fum_e,R_EX_fum_e,0.44537015293376375,0.9999999999999989,non-essential,3.9379815139087433
H2tpp,Hydrogen transport diffusion (periplasm),0.44537015293376375,0.9999999999999989,non-essential,3.903542952847017
ACPS1_1,"CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase, cytosol",0.44537015293376375,0.9999999999999989,non-essential,3.9379815139087753
TNTR1x,TNT nitroreductase 4 Hydroxylamino 2 6 dinitrotoluene,0.44537015293376375,0.9999999999999989,non-essential,3.937981513909306
GLUabc,L-glutamate transport via ABC system,0.44537015293376375,0.9999999999999989,non-essential,3.937981513908642
EX_nmn_e,R_EX_nmn_e,0.1595436791786791,0.35822714685239926,critical,5.917026706756857
EX_2ameph_e,R_EX_2ameph_e,0.4453701529337627,0.9999999999999966,non-essential,3.9379815139086807
UAGDP,UDP-N-acetylglucosamine diphosphorylase,-7.535692786508365e-17,-1.6920066908096282e-16,essential,
AI2tex,"Ai2 transport, outer membrane",0.44537015293376414,0.9999999999999998,non-essential,3.9379815139080896
LIPO2S24_BS,Lipoteichoic acid synthesis  n24   linked  N acetylglucosamine substituted,0.0,0.0,essential,
EX_k_e,R_EX_k_e,0.0,0.0,essential,
HISDr,Histidase r,0.44537015293376475,1.000000000000001,non-essential,3.9379815139087024
EX_fe3dhbzs3_e,R_EX_fe3dhbzs3_e,0.4453701529337638,0.999999999999999,non-essential,3.9379815139097882
TRPS1,Tryptophan synthase (indoleglycerol phosphate),0.4453701529337638,0.999999999999999,non-essential,3.9379815139101906
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,5.625789202125121e-17,1.2631715810021495e-16,essential,
ACOADH2,Acyl CoA dehydrogenase  isobutyryl CoA,0.4453701529337635,0.9999999999999982,non-essential,3.7803107518964825
GLYPHEAP,Gly-Phe aminopeptidase,0.4453701529337643,1.0000000000000002,non-essential,3.937981513908664
PAPSR,Phosphoadenylyl-sulfate reductase (thioredoxin),0.4453701529337643,1.0000000000000002,non-essential,3.937981513908662
PRAIi,Phosphoribosylanthranilate isomerase (irreversible),0.4453701529337643,1.0000000000000002,non-essential,3.9379815139087864
BLAMDtex,Beta Alaninamide transport via diffusion  extracellular to periplasm,0.4453701529337643,1.0000000000000002,non-essential,3.937981513908704
23CUMPtex,23cUMP transport via diffusion (extracellular to periplasm),0.4453701529337643,1.0000000000000002,non-essential,3.9379815139087198
EX_succ_e,R_EX_succ_e,0.4453701529337643,1.0000000000000002,non-essential,3.9379815139083143
NH4tpp_1,Ammonia ireversible transport (periplasm),0.4453701529337643,1.0000000000000002,non-essential,3.9379815139088534
RHCCE,S-ribosylhomocysteine cleavage enzyme,0.4453701529337643,1.0000000000000002,non-essential,3.937981513908741
EX_carn_e,R_EX_carn_e,0.4453701529337643,1.0000000000000002,non-essential,3.9379815139084506
VPAMTr,Valine-pyruvate aminotransferase,0.44537015293376436,1.0000000000000002,non-essential,3.937981513908471
PPAtex,Propionate transport via diffusion,0.4453701529337636,0.9999999999999986,non-essential,3.9379815139087677
EX_acald_e,R_EX_acald_e,0.4453701529337636,0.9999999999999986,non-essential,3.9379815139087175
MCSNAH,5-Methylcytosine aminohydrolase,0.44537015293376375,0.9999999999999989,non-essential,3.937981513907881
SHCHF_2,Sirohydrochlorin ferrochetalase,0.44537015293376375,0.9999999999999989,non-essential,3.937981513908683
PFK_2,Phosphofructokinase,0.44537015293376375,0.9999999999999989,non-essential,3.937981513908761
GLCADpts,,0.44537015293376375,0.9999999999999989,non-essential,3.9379815139085976
METt3pp,L-methionine tranport out via proton antiport (periplasm),0.44537015293376375,0.9999999999999989,non-essential,3.9379815139087193
NTD9,5'-nucleotidase (GMP),0.44537015293376375,0.9999999999999989,non-essential,3.9379815139086753
GLUt2rpp,"L-glutamate transport via proton symport, reversible (periplasm)",0.44537015293376375,0.9999999999999989,non-essential,3.937981513908418
PGPP181pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)",0.44537015293376375,0.9999999999999989,non-essential,3.9379815139086336
AMPTASEHG,Aminopeptidase  His Gly,0.44537015293376375,0.9999999999999989,non-essential,3.9379815139086185
G5SD,Glutamate-5-semialdehyde dehydrogenase,0.44537015293376375,0.9999999999999989,non-essential,3.937981513908714
RIBabcpp,D-ribose transport via ABC system (periplasm),0.44537015293376375,0.9999999999999989,non-essential,3.937981513908744
TMDS,Thymidylate synthase,0.44533659703880135,0.9999246561657941,non-essential,3.9404037693419545
PTHPS,6-pyruvoyltetrahydropterin synthase,0.44537015293376375,0.9999999999999989,non-essential,3.937981513908735
MOBDabc,Molybdate transport via ABC system,0.44537015293376353,0.9999999999999983,non-essential,3.9379815139088508
PLIPA2A161pp,"Phospholipase A2 (phosphatidate, n-C16:1) (periplasm)",0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087744
MLDEP1pp,"Murein L,D-endopeptidase (murein3px3p) (periplasm)",0.44537015293376353,0.9999999999999983,non-essential,3.9379815139088508
ACONCtupp,Cisaconitate transport periplasm,0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087744
TSULP,Thiosulfate permease,0.44537015293376353,0.9999999999999983,non-essential,3.9379815139088508
Kabc,Potassium ABC transporter,0.44537015293376353,0.9999999999999983,non-essential,3.9379815139087744
TKT2,Transketolase,0.37375023912837746,0.8391901358148754,non-essential,2.7329555029755594
ALAt4,Alanine-Sodium symporter,0.4453701529337646,1.0000000000000007,non-essential,3.937981513909824
ALCD2y,"Alcohol dehydrogenase (ethanol, NADP)",0.445370152933764,0.9999999999999993,non-essential,3.937981513908796
PTHRP,Phospho-threonine phosphatase,0.445370152933764,0.9999999999999993,non-essential,3.937981513908698
CYTDt2,Cytidine transport in via proton symport,0.445370152933764,0.9999999999999993,non-essential,3.937981513908834
GLYBtex,Glycine betaine transport via diffusion (extracellular to periplasm),0.44537015293376386,0.9999999999999991,non-essential,3.937981513908831
BGLA,Beta-glucosidase,0.44537015293376386,0.9999999999999991,non-essential,3.9379815139088006
23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),0.3446191415899199,0.7737814025475837,non-essential,3.012488562211957
RIBtex,Ribose transport via diffusion (extracellular to periplasm),0.44537015293376364,0.9999999999999987,non-essential,3.9379815139086514
NTP5,Nucleoside-triphosphatase (CTP),0.44537015293376436,1.0000000000000002,non-essential,3.937981513909078
SUCBZT1,Succinyl:benzoate CoA transferase,0.4453665619061773,0.999991936981939,non-essential,3.938006917268846
ALAALAr,D-alanine-D-alanine ligase (reversible),8.068833747810548e-16,1.8117140752830264e-15,essential,
ALAHIStex,L Alaninylhistidine transport via diffusion  extracellular to periplasm,0.4453701529337641,0.9999999999999997,non-essential,3.9379815139087366
ALAt2pp,L-alanine transport in via proton symport (periplasm),0.44537015293376436,1.0000000000000002,non-essential,3.93798151390876
UDPG4E,UDPglucose 4-epimerase,0.3420073161416765,0.767917009904658,non-essential,3.008048148154624
EX_met__D_e,R_EX_met__D_e,0.44537015293376453,1.0000000000000007,non-essential,3.9379815139086762
GALt2_3,,0.44537015293376325,0.9999999999999978,non-essential,3.9379815139087726
PHEt2r,L phenylalanine reversible transport via proton symport,0.4439490652351886,0.9968091986200365,non-essential,3.9369309483598323
LPLIPAL1A160pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)",0.4453701529337642,0.9999999999999999,non-essential,3.9379815139087326
FACOAL181,Fatty acid  CoA ligase  octadecenoate,0.44537015293376325,0.9999999999999978,non-essential,3.937981513908803
HMR_9610,Na+/succinate symporter,0.44537015293376325,0.9999999999999978,non-essential,3.93798151390873
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",0.44537015293376314,0.9999999999999976,non-essential,3.9379815139087047
GLYCLTDx,Glycolate dehydrogenase (NAD),0.4453701529337636,0.9999999999999986,non-essential,3.937981513908674
NTPP9,Nucleoside triphosphate pyrophosphorylase (itp),0.4453701529337636,0.9999999999999986,non-essential,3.9379815139087517
MCITL2,Methylisocitrate lyase,0.4453701529337636,0.9999999999999986,non-essential,3.780310751896211
EX_progly_e,R_EX_progly_e,0.4453701529337636,0.9999999999999986,non-essential,3.937981513908607
r0963,Facilitated diffusion,0.44534956174159174,0.9999537661155853,non-essential,3.938100363971763
EX_glymet_e,R_EX_glymet_e,0.44537015293376403,0.9999999999999996,non-essential,3.9379815139086967
ORNTA,Ornithine transaminase,0.44537015293376414,0.9999999999999998,non-essential,3.937981513908796
SO3abcpp,Sulfite transport via ABC system (periplasm),0.44537015293376414,0.9999999999999998,non-essential,3.9379815139087033
SMIA1,Staphyloferrin A Mediated Iron Acquisition,0.44537015293376414,0.9999999999999998,non-essential,3.937981513908781
AHCi,Adenosylhomocysteinase,0.44536970405215043,0.9999989921156349,non-essential,3.937981182061996
NTD2,5'-nucleotidase (UMP),0.4453701529337635,0.9999999999999982,non-essential,3.937981513908631
4HALDD,Aldehyde dehydrogenase  4 hydroxyphenylacetaldehyde  NAD,0.445370152933765,1.0000000000000016,non-essential,3.9379815139087837
3NTD2pp,3'-nucleotidase (UMP) (periplasm),0.445370152933765,1.0000000000000016,non-essential,3.9379815139087433
METSOX1abc,L-Methionine S-oxide transport via ABC system,0.445370152933765,1.0000000000000016,non-essential,3.937981513908783
HISHISabcpp,L Histidinylhistidine  His His  transport via ABC system  periplasm,0.445370152933765,1.0000000000000016,non-essential,3.9379815139087526
MDDCP3pp,"Murein D,D-carboxypeptidase (murein5p5p) (periplasm)",0.445370152933765,1.0000000000000016,non-essential,3.937981513908783
FACOAL140,Fatty acid  CoA ligase  tetradecanoate,0.445370152933765,1.0000000000000016,non-essential,3.9379815139087526
EX_ethso3_e,R_EX_ethso3_e,0.445370152933765,1.0000000000000016,non-essential,3.937981513908783
Cobalt2abcppI,Cobalt II transport via ABC system periplasm I,0.445370152933765,1.0000000000000016,non-essential,3.9379815139087526
EX_maltttr_e,R_EX_maltttr_e,0.445370152933765,1.0000000000000016,non-essential,3.937981513908783
DHNCOAT,"1,4-dihydroxy-2-napthoyl-CoA thioesterase",0.445370152933765,1.0000000000000016,non-essential,3.9379815139087193
GLYPHEHYc,Hydrolysis of glycylphenylalanine,0.445370152933765,1.0000000000000016,non-essential,3.937981513908793
THRA2,L-allo-Threonine Aldolase,0.445370152933765,1.0000000000000016,non-essential,3.9379815139087637
FALDep,Formaldehyde extrusion pump,0.4309717903017416,0.9676710203026021,non-essential,3.810670589496874
ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",0.4453701529337634,0.9999999999999981,non-essential,3.9035429528471446
APATi,Tetrahydrodipicolinate acetyltransferase,0.4453701529337635,0.9999999999999982,non-essential,3.937981513908761
FE2Gabcpp,Iron (II) transport via ABC system (GTP) (periplasm),0.4453701529337635,0.9999999999999982,non-essential,3.937981513908819
FE2tex,Iron (II) transport via diffusion (extracellular to periplasm),0.4453701529337635,0.9999999999999982,non-essential,3.937981513908667
ACOAD7,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),0.44521630367480386,0.9996545586677802,non-essential,3.9378677779786755
OCTAtex,Octanoate transport via diffusion (extracellular to periplasm),0.4453701529337638,0.999999999999999,non-essential,3.9379815139087166
LIPO4S24_BS,Lipoteichoic acid synthesis  n24   linked  unsubstituted,-8.42419337546047e-17,-1.8915038019427678e-16,essential,
