knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
2HXMPt6 + 2INSD,2,0.4453701529337636,0.0
12PPDRDH + AACOAR_syn,2,0.4453701529337635,0.0
13PPDH + AACOAR_syn,2,0.44537015293334664,0.0
13PPDH2 + AACOAR_syn,2,0.4453701529337644,0.0
13PPDH2_1 + AACOAR_syn,2,0.4453701529337644,0.0
23CAMPtex + AACOAR_syn,2,0.4453701529337644,0.0
23CCMPtex + AACOAR_syn,2,0.4453701529337644,0.0
23CGMPtex + AACOAR_syn,2,0.34461914158992,0.0
23CUMPtex + AACOAR_syn,2,0.4453701529337648,0.0
23PDE2pp + AACOAR_syn,2,0.4453701529337636,0.0
AACOAR_syn + XYLt2,2,0.4453701529337636,0.0
AACOAR_syn + XYLabcpp,2,0.4453701529337636,0.0
2INSD + 3AMPt6,2,0.4453701529337632,0.0
2MAHMP + 3AMPt6,2,0.4453701529337632,0.0
2PGLYCt6 + 3AMPt6,2,0.4453701529337632,0.0
2S6HCCi + 3AMPt6,2,0.4453701529337632,0.0
34HPPOR + 3AMPt6,2,0.4453701529337632,0.0
2HXMPt6 + 3CMPt6,2,0.4453701529337636,0.0
2INSD + 3CMPt6,2,0.4453701529337636,0.0
2MAHMP + 3CMPt6,2,0.4453701529337636,0.0
2PGLYCt6 + 3CMPt6,2,0.4453701529337636,0.0
2S6HCCi + 3CMPt6,2,0.4453701529337636,0.0
34HPPOR + 3CMPt6,2,0.4453701529337636,0.0
3AMPt6 + 3CMPt6,2,0.4453701529337639,0.0
2HXMPt6 + 3GMPtex_1,2,0.17156762868766035,0.0
2INSD + 3GMPtex_1,2,0.17156762868766035,0.0
2MAHMP + 3GMPtex_1,2,0.17156762868766035,0.0
2PGLYCt6 + 3GMPtex_1,2,0.17156762868766035,0.0
12PPDRDH + 23CCMPtex,2,0.44537015293376353,0.0
12PPDRDH + 23CAMPtex,2,0.4453701529337638,0.0
12PPDRDH + 13PPDH2_1,2,0.4453701529337638,0.0
12PPDRDH + 13PPDH2,2,0.4453701529337638,0.0
12PPDRDH + 13PPDH,2,0.4453701529337638,0.0
2HXMPt6 + AACOAR_syn,2,0.4453701529337638,0.0
2INSD + AACOAR_syn,2,0.4453701529337638,0.0
2MAHMP + AACOAR_syn,2,0.4453701529337638,0.0
2PGLYCt6 + AACOAR_syn,2,0.4453701529337638,0.0
2S6HCCi + AACOAR_syn,2,0.4453701529337638,0.0
34HPPOR + AACOAR_syn,2,0.4453701529337638,0.0
3AMPt6 + AACOAR_syn,2,0.4453701529337638,0.0
3CMPt6 + AACOAR_syn,2,0.44537015293376436,0.0
3GMPtex_1 + AACOAR_syn,2,0.1715676286876599,0.0
3MBt2pp + AACOAR_syn,2,0.4453701529337636,0.0
3MBt4pp + AACOAR_syn,2,0.4453701529337636,0.0
12PPDRDH + VALtex,2,0.4453701529337628,0.0
12PPDRDH + VECOAH,2,0.4453701529337628,0.0
12PPDRDH + VNDH_2,2,0.4453701529337628,0.0
12PPDRDH + VPAMTr,2,0.4453701529337628,0.0
12PPDRDH + XANt2,2,0.4453701529337628,0.0
12PPDRDH + XPPT,2,0.4453701529337628,0.0
12PPDRDH + XTSNH,2,0.4453701529337628,0.0
12PPDRDH + XYLI1,2,0.4453701529337628,0.0
12PPDRDH + XYLI2,2,0.4453701529337628,0.0
12PPDRDH + XYLK,2,0.4453701529337628,0.0
12PPDRDH + XYLabc,2,0.4453701529337628,0.0
12PPDRDH + XYLabcpp,2,0.4453701529337628,0.0
12PPDRDH + XYLt2,2,0.4453701529337628,0.0
12PPDRDH + 23PDE2pp,2,0.44537015293376303,0.0
12PPDRDH + 23CUMPtex,2,0.44537015293376375,0.0
12PPDRDH + 23CGMPtex,2,0.34461914158991985,0.0
12PPDRDH + 2INSD,2,0.44537015293376375,0.0
12PPDRDH + 2MAHMP,2,0.44537015293376375,0.0
12PPDRDH + 2PGLYCt6,2,0.44537015293376375,0.0
12PPDRDH + 2S6HCCi,2,0.44537015293376375,0.0
12PPDRDH + 34HPPOR,2,0.44537015293376375,0.0
12PPDRDH + 3AMPt6,2,0.44537015293376375,0.0
12PPDRDH + 3CMPt6,2,0.4453701529337648,0.0
12PPDRDH + 3GMPtex_1,2,0.17156762868790626,0.0
12PPDRDH + 3MBt2pp,2,0.4453701529337637,0.0
12PPDRDH + 3MBt4pp,2,0.4453701529337637,0.0
12PPDRDH + 3MBtex,2,0.44537015293376286,0.0
12PPDRDH + 3NTD2pp,2,0.4453701529337628,0.0
12PPDRDH + 3NTD4pp,2,0.4453701529337628,0.0
12PPDRDH + VALt2r,2,0.4453701529337627,0.0
12PPDRDH + VALt2rpp,2,0.4453701529337627,0.0
12PPDRDH + VALt3pp,2,0.4453701529337627,0.0
13PPDH + XPPT,2,0.4453701529337634,0.0
13PPDH + XTSNH,2,0.4453701529337634,0.0
13PPDH + XYLI1,2,0.4453701529337634,0.0
13PPDH + XYLI2,2,0.4453701529337634,0.0
13PPDH + XYLK,2,0.4453701529337634,0.0
13PPDH + XYLabc,2,0.4453701529337634,0.0
13PPDH + XYLabcpp,2,0.4453701529337634,0.0
13PPDH + XYLt2,2,0.4453701529337634,0.0
13PPDH + 23PDE2pp,2,0.44537015293376336,0.0
13PPDH + 23CUMPtex,2,0.44537015293376525,0.0
13PPDH + 23CGMPtex,2,0.34461914158991974,0.0
13PPDH + 23CCMPtex,2,0.4453701529337638,0.0
13PPDH + 23CAMPtex,2,0.44537015293376375,0.0
13PPDH + 13PPDH2_1,2,0.44537015293376375,0.0
13PPDH + 13PPDH2,2,0.44537015293376375,0.0
12PPDRDH + 2HXMPt6,2,0.44537015293376375,0.0
13PPDH + 3AMPt6,2,0.4453701529337635,0.0
13PPDH + 3CMPt6,2,0.44537015293376514,0.0
13PPDH + 3GMPtex_1,2,0.1715676286876591,0.0
13PPDH + 3MBt2pp,2,0.4453701529337641,0.0
13PPDH + 3MBt4pp,2,0.4453701529337641,0.0
13PPDH + 3MBtex,2,0.4453701529337634,0.0
13PPDH + 3NTD2pp,2,0.4453701529337634,0.0
13PPDH + 3NTD4pp,2,0.4453701529337634,0.0
13PPDH + VALt2r,2,0.44537015293376353,0.0
13PPDH + VALt2rpp,2,0.44537015293376353,0.0
13PPDH + VALt3pp,2,0.44537015293376353,0.0
13PPDH + VALtex,2,0.4453701529337634,0.0
