reaction_id,loopless_flux,standard_flux,delta
12PPDRDH,0.0,0.0,0.0
13PPDH,0.0,0.0,0.0
13PPDH2,0.0,0.0,0.0
13PPDH2_1,0.0,0.0,0.0
23CAMPtex,0.09098778613390986,0.09098778613389533,1.4530043834781736e-14
23CCMPtex,0.0,0.0,0.0
23CGMPtex,9.482488789694019,9.482488789694061,-4.263256414560601e-14
23CUMPtex,0.0,0.0,0.0
23PDE2pp,0.0,0.0,0.0
23PDE4pp,0.0,0.0,0.0
23PDE7pp,0.09098778613390986,0.09098778613389533,1.4530043834781736e-14
23PDE9pp,9.482488789694017,9.48248878969406,-4.263256414560601e-14
2AACLPGT160,0.0,0.0,0.0
2AACLPGT161,0.0,0.0,0.0
2AACLPGT180,0.0,0.0,0.0
2AACLPGT181,0.0,0.0,0.0
2AACLPPEAT160,0.0,0.0,0.0
2AACLPPEAT161,0.0,0.0,0.0
2AACLPPEAT180,0.0,0.0,0.0
2AACLPPEAT181,0.0,0.0,0.0
2AGPE160tipp,0.0,0.0,0.0
2AGPE161tipp,0.0,0.0,0.0
2AGPE180tipp,0.0,0.0,0.0
2AGPE181tipp,0.0,0.0,0.0
2AGPG160tipp,0.0,0.0,0.0
2AGPG161tipp,0.0,0.0,0.0
2AGPG180tipp,0.0,0.0,0.0
2AGPG181tipp,0.0,0.0,0.0
2HXMPt6,0.0,0.0,0.0
2INSD,0.0,0.0,0.0
2MAHMP,0.0,0.0,0.0
2PGLYCt6,0.0,0.0,0.0
2S6HCCi,0.0,0.0,0.0
34HPPOR,0.0,0.0,0.0
3AMPt6,0.0,0.0,0.0
3CMPt6,0.0,0.0,0.0
3GMPtex_1,-9.374658885856766,-9.374658885856812,4.618527782440651e-14
3MBt2pp,0.0,0.0,0.0
3MBt4pp,0.22248160821221116,0.22248160821220886,2.3037127760972e-15
3MBtex,0.22248160821221116,0.2224816082122089,2.275957200481571e-15
3NTD2pp,0.0,0.0,0.0
3NTD4pp,0.0,0.0,0.0
3NTD7pp,0.09098778613390986,0.09098778613389533,1.4530043834781736e-14
3NTD9pp,9.482488789694017,9.482488789694061,-4.440892098500626e-14
3NUCLE1,0.0,0.0,0.0
3NUCLE2,0.0,0.0,0.0
3NUCLE3,0.0,0.0,0.0
3NUCLE4,-9.374658885856766,-9.37465888585681,4.440892098500626e-14
3OXCOAT,0.0,0.0,0.0
3PEPTabcpp,0.0,0.0,0.0
3UMPt6,0.0,0.0,0.0
4ABUTD,0.0,0.0,0.0
4HALDD,0.0,0.0,0.0
4HBAt,0.0,0.0,0.0
4HPRODCabcpp,0.0,0.0,0.0
4HPRODCtex,0.0,0.0,0.0
4HPROE,0.0,0.0,0.0
4HPROLTabcpp,0.0,0.0,0.0
4HPROLTtex,0.0,0.0,0.0
4HPRO_LT_Et,0.0,0.0,0.0
4HTHRA,0.0,0.0,0.0
4HTHRS_1,0.0,0.0,0.0
4PCP,0.0,0.0,0.0
4PEPTabcpp,0.0,0.0,0.0
5DGLCNR,0.0,0.0,0.0
5DKGR,0.0,0.0,0.0
6PHBG_2,0.0,0.0,0.0
A6PAG,9.90869911864848,9.90869911864858,-9.947598300641403e-14
A6PAG2,0.0,0.0,0.0
AABTN,0.0,0.0,0.0
AACLAM,0.0,0.0,0.0
AACPS3,0.0,0.0,0.0
AACPS4,0.0,0.0,0.0
AACPS5,0.0,0.0,0.0
AACPS6,0.0,0.0,0.0
AACPS9,0.0,0.0,0.0
AB6PGH,0.0,0.0,0.0
ABG4t2,0.0,0.0,0.0
ABTA,0.351718451135301,0.35171845113529915,1.8318679906315083e-15
ABTt_1,0.0,0.0,0.0
ABUTD,0.0,0.0,0.0
ABUTt2r,0.351718451135301,0.3517184511352991,1.887379141862766e-15
ACACCT,0.0,0.0,0.0
ACACT1r,0.003384813162296595,0.0033848131622966067,-1.1709383462843448e-17
ACACT2r,0.002315924795255566,0.0023159247952555737,-7.806255641895632e-18
ACACT3r,0.002315924795255566,0.0023159247952555737,-7.806255641895632e-18
ACACT4r,0.002315924795255566,0.0023159247952555737,-7.806255641895632e-18
ACACT5r,0.0,0.0,0.0
ACACT5r_1,0.0023159247952555663,0.002315924795255574,-7.806255641895632e-18
ACACT6r_1,0.002315924795255566,0.002315924795255574,-8.239936510889834e-18
ACACT7r,0.0017814806117350504,0.001781480611735057,-6.5052130349130266e-18
ACACT8r,0.0,0.0,0.0
ACACt2pp,0.0,0.0,0.0
ACACtex,0.0,0.0,0.0
