reaction_id,loopless_flux,standard_flux,delta
12PPDRDH,0.0,0.0,0.0
13PPDH,9.999999999999643,9.999999999999998,-3.552713678800501e-13
13PPDH2,-9.999999999999645,-10.0,3.552713678800501e-13
13PPDH2_1,0.0,0.0,0.0
23CAMPtex,0.0,0.0,0.0
23CCMPtex,0.0,0.0,0.0
23CGMPtex,9.999999999999735,9.999999999999723,1.2434497875801753e-14
23CUMPtex,0.0,0.0,0.0
23PDE2pp,0.0,0.0,0.0
23PDE4pp,0.0,0.0,0.0
23PDE7pp,0.0,0.0,0.0
23PDE9pp,9.999999999999734,9.999999999999723,1.0658141036401503e-14
2AACLPGT160,0.0,0.0,0.0
2AACLPGT161,0.0,0.0,0.0
2AACLPGT180,0.0,0.0,0.0
2AACLPGT181,0.0,0.0,0.0
2AACLPPEAT160,0.0,0.0,0.0
2AACLPPEAT161,0.0,0.0,0.0
2AACLPPEAT180,0.0,0.0,0.0
2AACLPPEAT181,0.0,0.0,0.0
2AGPE160tipp,0.0,0.0,0.0
2AGPE161tipp,0.0,0.0,0.0
2AGPE180tipp,0.0,0.0,0.0
2AGPE181tipp,0.0,0.0,0.0
2AGPG160tipp,0.0,0.0,0.0
2AGPG161tipp,0.0,0.0,0.0
2AGPG180tipp,0.0,0.0,0.0
2AGPG181tipp,0.0,0.0,0.0
2HXMPt6,0.0,0.0,0.0
2INSD,0.0,0.0,0.0
2MAHMP,0.0,0.0,0.0
2PGLYCt6,0.0,0.0,0.0
2S6HCCi,0.0,0.0,0.0
34HPPOR,0.0,0.0,0.0
3AMPt6,0.0,0.0,0.0
3CMPt6,0.0,0.0,0.0
3GMPtex_1,-9.999999999999732,-10.0,2.682298827494378e-13
3MBt2pp,0.0,0.0,0.0
3MBt4pp,1.1102230246251205e-15,-9.173499615804645e-15,1.0283722640429765e-14
3MBtex,1.1102230246251205e-15,-9.173499615804645e-15,1.0283722640429765e-14
3NTD2pp,0.0,0.0,0.0
3NTD4pp,0.0,0.0,0.0
3NTD7pp,0.0,0.0,0.0
3NTD9pp,9.999999999999735,9.999999999999721,1.4210854715202004e-14
3NUCLE1,0.0,0.0,0.0
3NUCLE2,0.0,0.0,0.0
3NUCLE3,0.0,0.0,0.0
3NUCLE4,-9.999999999999732,-9.99999999999971,-2.1316282072803006e-14
3OXCOAT,0.0,0.0,0.0
3PEPTabcpp,0.0,0.0,0.0
3UMPt6,0.0,0.0,0.0
4ABUTD,-3.750539944679775e-14,-3.750539944679775e-14,0.0
4HALDD,0.0,0.0,0.0
4HBAt,0.0,0.0,0.0
4HPRODCabcpp,0.0,0.0,0.0
4HPRODCtex,0.0,0.0,0.0
4HPROE,0.0,0.0,0.0
4HPROLTabcpp,0.0,0.0,0.0
4HPROLTtex,0.0,0.0,0.0
4HPRO_LT_Et,0.0,0.0,0.0
4HTHRA,0.0,0.0,0.0
4HTHRS_1,0.0,0.0,0.0
4PCP,0.0,0.0,0.0
4PEPTabcpp,0.0,0.0,0.0
5DGLCNR,0.0,0.0,0.0
5DKGR,0.0,0.0,0.0
6PHBG_2,0.0,0.0,0.0
A6PAG,9.999999999999673,10.000000000000002,-3.2862601528904634e-13
A6PAG2,0.0,0.0,0.0
AABTN,0.0,0.0,0.0
AACLAM,0.0,0.0,0.0
AACPS3,0.0,0.0,0.0
AACPS4,0.0,0.0,0.0
AACPS5,0.0,0.0,0.0
AACPS6,0.0,0.0,0.0
AACPS9,0.0,0.0,0.0
AB6PGH,0.0,0.0,0.0
ABG4t2,0.0,0.0,0.0
ABTA,0.0,0.0,0.0
ABTt_1,0.0,0.0,0.0
ABUTD,0.0,0.0,0.0
ABUTt2r,3.7505399446797745e-14,3.7505399446797745e-14,0.0
ACACCT,9.999999999999481,9.999999999999991,-5.098144129078719e-13
ACACT1r,-1.0042983498561836e-15,-1.8483267663639752e-15,8.440284165077916e-16
ACACT2r,0.0,-3.691223673514685e-31,3.691223673514685e-31
ACACT3r,0.0,-3.6912236735146857e-31,3.6912236735146857e-31
ACACT4r,0.0,-3.6912236735146852e-31,3.6912236735146852e-31
ACACT5r,0.0,0.0,0.0
ACACT5r_1,0.0,-3.6912236735146857e-31,3.6912236735146857e-31
ACACT6r_1,0.0,-3.6912236735146852e-31,3.6912236735146852e-31
ACACT7r,0.0,-2.3118690288773323e-31,2.3118690288773323e-31
ACACT8r,0.0,0.0,0.0
ACACt2pp,3.998214285714294,3.998214285714294,0.0
ACACtex,3.9982142857142935,3.9982142857142935,0.0
ACALDt,-10.000000000000014,-10.0,-1.4210854715202004e-14
ACALDtpp,0.0,0.0,0.0
ACCOAC,0.0,0.0,0.0
ACGAMK,0.0,0.0,0.0
ACGApts,0.0,0.0,0.0
ACGAptspp,0.0,0.0,0.0
ACGAtex,0.0,0.0,0.0
ACGK,0.0,0.0,0.0
ACGS,0.0,0.0,0.0
ACHBS,0.0,-8.05577483025983e-19,8.05577483025983e-19
ACKr,0.0,0.0,0.0
ACLDC,0.0,0.0,0.0
ACLS,-5.665811905659767e-16,0.0,-5.665811905659767e-16
ACLS_a,0.0,0.0,0.0
ACLS_d,0.0,0.0,0.0
ACM6PH,0.0,0.0,0.0
ACMANApts,0.0,0.0,0.0
ACOAD1,0.0,0.0,0.0
ACOAD1fr,0.0,0.0,0.0
ACOAD2,0.0,-3.6912236735146852e-31,3.6912236735146852e-31
ACOAD20,0.0,0.0,0.0
ACOAD3,0.0,3.6912236735146852e-31,-3.6912236735146852e-31
ACOAD4_1,0.0,3.6912236735146852e-31,-3.6912236735146852e-31
ACOAD5,0.0,0.0,0.0
ACOAD5_1,0.0,3.691223673514685e-31,-3.691223673514685e-31
ACOAD6,0.0,3.691223673514685e-31,-3.691223673514685e-31
ACOAD7,0.0,2.3118690288773327e-31,-2.3118690288773327e-31
ACOADH2,0.0,9.920677972824343e-16,-9.920677972824343e-16
ACOAM,0.0,0.0,0.0
ACODA,0.0,0.0,0.0
ACONCt4pp,0.0,0.0,0.0
ACONCtex,0.0,0.0,0.0
ACONCtupp,0.0,0.0,0.0
ACONT,0.0,8.980676850064125e-34,-8.980676850064125e-34
ACONTa,0.0,0.0,0.0
ACONTb,0.0,0.0,0.0
ACOTA,0.0,0.0,0.0
ACOXT,0.0,0.0,0.0
ACP1_FMN,0.0,0.0,0.0
ACPPAT160,0.0,0.0,0.0
ACPPAT161,0.0,0.0,0.0
ACPPAT180,0.0,0.0,0.0
ACPPAT181,0.0,0.0,0.0
ACPS,-1.6768042151910968e-15,4.164835351047507e-15,-5.841639566238604e-15
ACPS1,0.0,0.0,0.0
ACPS1_1,0.0,0.0,0.0
ACPpds,0.0,0.0,0.0
ACS,19.99999999999968,20.0000000000002,-5.186961971048731e-13
ACS2,0.0,0.0,0.0
ACSERHS,0.0,0.0,0.0
ACS_1,0.0,0.0,0.0
ACTD,0.0,0.0,0.0
ACTD2,0.0,0.0,0.0
ACTD_1,0.0,0.0,0.0
ACTDa,0.0,0.0,0.0
ACTNabc,0.0,0.0,0.0
ACTNabc1,0.0,0.0,0.0
ACt2rpp,0.0,0.0,0.0
ACt4pp,0.0,0.0,0.0
ACtex,0.0,0.0,0.0
ADADir,0.0,0.0,0.0
ADAPAT,0.0,0.0,0.0
ADCL,0.0,0.0,0.0
ADCS,0.0,0.0,0.0
ADD,0.0,0.0,0.0
ADK1,9.999999999999957,10.000000000000146,-1.8829382497642655e-13
ADK2,0.0,0.0,0.0
ADMDC,0.0,0.0,0.0
ADNCYC,0.0,0.0,0.0
ADNK1,0.0,-4.131711514665965e-15,4.131711514665965e-15
ADNUC,0.0,0.0,0.0
ADNt2pp,0.0,0.0,0.0
ADPDA,0.0,0.0,0.0
ADPGLC,0.0,0.0,0.0
ADPRDP,0.0,0.0,0.0
ADPRDP_1,0.0,0.0,0.0
ADPT,0.0,0.0,0.0
ADSK,0.0,0.0,0.0
ADSL1r,0.0,0.0,0.0
ADSL2r,0.0,0.0,0.0
ADSS,0.0,0.0,0.0
ADtr,0.0,0.0,0.0
AEPPYRTA,0.0,0.0,0.0
AEPabcpp,0.0,0.0,0.0
AEPtex,0.0,0.0,0.0
AGDC,0.0,0.0,0.0
AGM3PApp,0.0,0.0,0.0
AGM3PH,0.0,0.0,0.0
AGM4PApp,0.0,0.0,0.0
AGM4PCP,0.0,0.0,0.0
AGM4PH,0.0,0.0,0.0
AGM4Pt2pp,0.0,0.0,0.0
AGMH,0.0,0.0,0.0
AGMPTRCtpp,0.0,0.0,0.0
AGMT,0.0,0.0,0.0
AGMt2pp,0.0,0.0,0.0
AGMtex,0.0,0.0,0.0
AGPAT160,0.0,0.0,0.0
AGPAT161,0.0,0.0,0.0
AGPAT180,0.0,0.0,0.0
AGPAT181,0.0,0.0,0.0
AGPATr_BS,0.0,0.0,0.0
AGPR,0.0,0.0,0.0
AH6PI,-9.999999999999996,-9.999999999999998,1.7763568394002505e-15
AHCYSNS,0.0,0.0,0.0
AHCi,0.0,0.0,0.0
AHMMPS_1,0.0,0.0,0.0
AHSERL2,0.0,0.0,0.0
AHSERL4,0.0,0.0,0.0
AI2tex,0.0,0.0,0.0
AI2tpp,0.0,0.0,0.0
AICART,0.0,0.0,0.0
AIRC1,0.0,0.0,0.0
AIRCr,0.0,0.0,0.0
AKGDH,0.0,0.0,0.0
AKP1,0.0,0.0,0.0
ALAALAabcpp,0.0,0.0,0.0
ALAALAr,0.0,0.0,0.0
ALAD_L,0.0,0.0,0.0
ALAGLNtr,0.0,0.0,0.0
ALAGLUabcpp,0.0,0.0,0.0
ALAGLYtr,0.0,0.0,0.0
ALAHISabcpp,0.0,0.0,0.0
ALAHIStex,0.0,0.0,0.0
ALAHIStr,0.0,0.0,0.0
ALALEUabcpp,0.0,0.0,0.0
ALALEUt,0.0,0.0,0.0
ALALEUtex,0.0,0.0,0.0
ALAR,0.0,0.0,0.0
ALATA_D,0.0,0.0,0.0
ALATA_D2,0.0,0.0,0.0
ALATA_L,0.0,0.0,0.0
ALATA_L2,0.0,0.0,0.0
ALATHRabcpp,0.0,0.0,0.0
ALATHRtex,0.0,0.0,0.0
ALATHRtr,0.0,0.0,0.0
ALATRPabcpp,0.0,0.0,0.0
ALATRPtex,0.0,0.0,0.0
ALAabc,0.0,0.0,0.0
ALAabcpp,0.0,0.0,0.0
ALAt2pp,0.0,0.0,0.0
ALAt2r,0.0,0.0,0.0
ALAt4,0.0,0.0,0.0
ALAtex,-9.99999999999969,-10.0,3.1086244689504383e-13
ALAtpp,9.999999999999691,10.000000000000002,-3.1086244689504383e-13
ALCD19,0.0,0.0,0.0
ALCD19y,-10.0,-10.0,0.0
ALCD2ir,0.0,0.0,0.0
ALCD2x,10.00000000000002,10.00000000000002,0.0
ALCD2y,0.0,0.0,0.0
ALDD1,0.0,0.0,0.0
ALDD19xr,0.0,0.0,0.0
ALDD20x,0.0,0.0,0.0
ALDD20y,0.0,0.0,0.0
ALDD2x,0.0,0.0,0.0
ALDD2y,0.0,0.0,0.0
ALDD3,0.0,0.0,0.0
ALDD31_1,0.0,0.0,0.0
ALDD3y,0.0,0.0,0.0
ALDD4,0.0,0.0,0.0
ALDD6,0.0,0.0,0.0
ALKP,0.0,0.0,0.0
ALLTAMH,0.0,0.0,0.0
ALLTN,0.0,0.0,0.0
ALPHNH,0.0,0.0,0.0
ALR2,0.0,0.0,0.0
ALR3,0.0,0.0,0.0
ALR4x,0.0,0.0,0.0
ALTRH,0.0,0.0,0.0
AM3PA,0.0,0.0,0.0
AM4PA,0.0,0.0,0.0
AMANAPEr,0.0,0.0,0.0
AMANK,0.0,0.0,0.0
AMANK_1,0.0,0.0,0.0
AMID4,0.0,0.0,0.0
AMID_1,0.0,0.0,0.0
AMMQLT8,0.0,0.0,0.0
AMMQT8_2,0.0,0.0,0.0
AMPD2,-2.95260020795238e-15,-1.1040575226145133e-14,8.087975018192753e-15
AMPEP1,0.0,0.0,0.0
AMPEP10,0.0,0.0,0.0
AMPEP11,0.0,0.0,0.0
AMPEP12,0.0,0.0,0.0
AMPEP13,0.0,0.0,0.0
AMPEP14,0.0,0.0,0.0
AMPEP15,0.0,0.0,0.0
