reaction_id,loopless_flux,step_7.3_flux,delta_vs_step_7.3
ACS,19.99999999999968,5.057744680851077,14.942255319148604
PYK,19.999999999999357,8.429574468085116,11.57042553191424
Htex,19.99999999999947,9.534808510638271,10.4651914893612
PBUTT,10.000000000000204,0.0,10.000000000000204
BUTKr,-10.000000000000199,0.0,-10.000000000000199
BUTCT,10.000000000000197,0.0,10.000000000000197
EX_etoh_e,-10.00000000000002,0.0,-10.00000000000002
ETOHtex,10.00000000000002,0.0,10.00000000000002
ALCD2x,10.00000000000002,0.0,10.00000000000002
ETOHtrpp,10.00000000000002,0.0,10.00000000000002
EX_acald_e,10.000000000000016,0.0,10.000000000000016
ACALDt,-10.000000000000014,0.0,-10.000000000000014
GLUDy,0.0,10.000000000000009,-10.000000000000009
EX_glyald_e,10.0,0.0,10.0
ALCD19y,-10.0,0.0,-10.0
GLYALDt,-10.0,0.0,-10.0
GLYCt,-10.0,0.0,-10.0
EX_glyc_e,-10.0,0.0,-10.0
EX_fald_e,9.999999999999998,0.0,9.999999999999998
RU5PS,-9.999999999999998,0.0,-9.999999999999998
AH6PI,-9.999999999999996,0.0,-9.999999999999996
FALDep,9.999999999999996,0.0,9.999999999999996
ADK1,9.999999999999957,-4.9097055999061846e-15,9.999999999999963
PPA,9.999999999999954,0.0,9.999999999999954
GALpts,-9.999999999999673,0.0,-9.999999999999673
A6PAG,9.999999999999673,0.0,9.999999999999673
EX_gal_e,9.999999999999673,0.0,9.999999999999673
PGMT,-9.999999999999666,0.0,-9.999999999999666
GALT,-9.999999999999664,0.0,-9.999999999999664
GALKr,-9.999999999999664,0.0,-9.999999999999664
GALUi,9.999999999999664,0.0,9.999999999999664
UDPG4E,9.999999999999662,0.0,9.999999999999662
13PPDH2,-9.999999999999645,0.0,-9.999999999999645
13PPDH,9.999999999999643,0.0,9.999999999999643
EX_h2o_e,-9.999999999999735,-0.1154893617021605,-9.884510638297575
H2Otex,19.99999999999947,10.115489361702162,9.884510638297309
GLUDxi,0.0,-9.689872340425516,9.689872340425516
RPE,11.460952380952303,3.371829787234045,8.089122593718258
O2tpp,8.000892857142821,1.2306170212765957,6.770275835866226
EX_o2_e,-8.000892857142821,-1.2306170212765957,-6.770275835866226
O2tex,8.000892857142821,1.2306170212765957,6.770275835866226
G3PD1ir,6.001785714285513,0.0,6.001785714285513
G3PD4,6.001785714285512,0.0,6.001785714285512
HEX7,6.00178571428545,0.0,6.00178571428545
XYLI2,6.001785714285449,0.0,6.001785714285449
PGI,-5.327976190475988,0.0,-5.327976190475988
QMO2,5.000000000000065,0.0,5.000000000000065
SPODM,5.000000000000065,0.0,5.000000000000065
TRDR,5.000000000000065,0.0,5.000000000000065
THIORDXi,5.000000000000064,0.0,5.000000000000064
NADPHQR2,5.000000000000064,0.0,5.000000000000064
EX_pi_e,10.0,5.057744680851082,4.942255319148918
NAPRT,-9.999999999999725,-5.057744680851068,-4.942255319148656
NMNDA,9.999999999999725,5.057744680851069,4.942255319148655
PItex,-9.999999999999735,-5.057744680851081,-4.9422553191486545
3NTD9pp,9.999999999999735,5.057744680851081,4.9422553191486545
23CGMPtex,9.999999999999735,5.057744680851081,4.9422553191486545
NACt,-9.999999999999723,-5.057744680851068,-4.9422553191486545
PRPPS,-9.999999999999723,-5.057744680851068,-4.9422553191486545
EX_nac_e,9.999999999999723,5.057744680851068,4.9422553191486545
NMNP,9.999999999999726,5.057744680851073,4.942255319148654
EX_nmn_e,-9.999999999999726,-5.057744680851073,-4.942255319148654
23PDE9pp,9.999999999999734,5.057744680851081,4.942255319148653
GSNt2pp,9.999999999999734,5.057744680851081,4.942255319148653
3GMPtex_1,-9.999999999999732,-5.057744680851081,-4.942255319148651
EX_3gmp_e,9.999999999999732,5.057744680851081,4.942255319148651
3NUCLE4,-9.999999999999732,-5.057744680851081,-4.942255319148651
EX_23cgmp_e,-9.999999999999723,-5.057744680851081,-4.942255319148642
ACACCT,9.999999999999481,5.057744680851077,4.942255319148404
OCOAT1,-3.696653532727951e-15,4.787191489361699,-4.787191489361702
SUCOAS,0.0,4.7871914893617,-4.7871914893617
MAL6PG,4.672023809523677,0.0,4.672023809523677
PEPA,4.672023809523677,0.0,4.672023809523677
TKT2,5.730476190476152,1.6859148936170223,4.044561296859129
TKT1,5.730476190476152,1.6859148936170223,4.044561296859129
EX_malt_e,-4.007142857142799,0.0,-4.007142857142799
MALTt2,4.007142857142795,0.0,4.007142857142795
ACACt2pp,3.998214285714294,0.0,3.998214285714294
ACACtex,3.9982142857142935,0.0,3.9982142857142935
EX_acac_e,-3.9982142857142935,0.0,-3.9982142857142935
EX_cit_e,-6.666666666666788,-2.90004255319151,-3.766624113475278
TALA,3.595714285714384,0.0,3.595714285714384
CYTB_B3,6.001785714285512,2.461234042553192,3.5405516717323207
BHBtpp,6.001785714285179,9.534808510638282,-3.5330227963531025
BDH,6.001785714285179,9.534808510638282,-3.5330227963531025
EX_bhb_e,-6.0017857142851785,-9.53480851063828,3.5330227963531016
RHA40tex,-6.001785714285179,-9.53480851063828,3.5330227963531007
NH4t,0.0,3.061702127659552,-3.061702127659552
EX_nh4_e,0.0,-3.061702127659552,3.061702127659552
EX_rib__D_e,2.8085714285712666,0.0,2.8085714285712666
RIBabc1,2.8085714285712666,0.0,2.8085714285712666
R5PP,2.8085714285712493,0.0,2.8085714285712493
SUCD2,0.0,1.9960425531915016,-1.9960425531915016
RPI,1.46095238095231,3.371829787234045,-1.910877406281735
EX_fe3dcit_e,3.3333333333333943,1.4500212765957552,1.8833120567376391
FE3DCITexs,3.333333333333394,1.450021276595755,1.883312056737639
EX_pyovd_kt_e,3.333333333333394,1.450021276595755,1.883312056737639
FE3PYOVDL2,-3.333333333333394,-1.450021276595755,-1.883312056737639
EX_fe3pyovd_kt_e,-3.333333333333394,-1.450021276595755,-1.883312056737639
SUCD1,0.0,-1.840978723404305,1.840978723404305
FBA,0.0,1.6859148936170223,-1.6859148936170223
PFK,0.0,1.6859148936170223,-1.6859148936170223
VALDHr,-9.999999999999726,-8.429574468085114,-1.570425531914612
VPAMTr,-9.999999999999726,-8.429574468085114,-1.570425531914612
ALAtpp,9.999999999999691,8.429574468085114,1.5704255319145766
ALAtex,-9.99999999999969,-8.429574468085114,-1.5704255319145748
EX_ala__L_e,9.99999999999969,8.429574468085114,1.5704255319145748
PGM,-9.999999999999686,-8.429574468085114,-1.5704255319145712
PGK,-9.999999999999684,-8.429574468085113,-1.5704255319145712
GAPD,9.999999999999684,8.429574468085113,1.5704255319145712
ENO,9.999999999999686,8.429574468085116,1.5704255319145695
TPI,2.1347619047617665,3.3718297872340446,-1.237067882472278
MLTG2,0.6648809523808824,0.0,0.6648809523808824
MALTTTRabc,0.6648809523808824,0.0,0.6648809523808824
MLTG1,0.6648809523808824,0.0,0.6648809523808824
EX_maltttr_e,-0.6648809523808824,0.0,-0.6648809523808824
FADH2D,0.0,0.4651914893616897,-0.4651914893616897
PFK_4,2.1347619047617674,1.6859148936170223,0.4488470111447451
FBA3,2.1347619047617674,1.6859148936170223,0.4488470111447451
EX_leu__L_e,1.1102230246251203e-15,-0.3101276595744925,0.3101276595744936
MCCC,0.0,0.3101276595744929,-0.3101276595744929
MGCH,0.0,0.3101276595744929,-0.3101276595744929
MBCOAi,0.0,0.3101276595744929,-0.3101276595744929
HMGL,0.0,0.3101276595744929,-0.3101276595744929
HCO3E,0.0,0.3101276595744928,-0.3101276595744928
OIVD1r,0.0,0.3101276595744925,-0.3101276595744925
LEUTA,0.0,0.3101276595744924,-0.3101276595744924
LEUt2r,0.0,0.3101276595744924,-0.3101276595744924
ACACT1r,-1.0042983498561836e-15,0.1550638297872255,-0.1550638297872265
FRDx,0.0,0.1550638297871971,-0.1550638297871971
SK_phb_c,9.999999999999478,9.999999999999998,-5.204725539442734e-13
PHBS_syn_1,9.99999999999948,10.0,-5.204725539442734e-13
AACOAR_syn,9.999999999999481,10.0,-5.186961971048731e-13
EX_udcpdp_e,-2.6395855561353747e-13,0.0,-2.6395855561353747e-13
UDCPDPex,2.6395855561353747e-13,0.0,2.6395855561353747e-13
EX_udcpp_e,2.6395855561353747e-13,0.0,2.6395855561353747e-13
4ABUTD,-3.750539944679775e-14,0.0,-3.750539944679775e-14
EX_ptrc_e,3.7505399446797745e-14,0.0,3.7505399446797745e-14
EX_4abut_e,-3.7505399446797745e-14,0.0,-3.7505399446797745e-14
PTRCabc,-3.7505399446797745e-14,0.0,-3.7505399446797745e-14
ABUTt2r,3.7505399446797745e-14,0.0,3.7505399446797745e-14
PTRCTA2,-3.7505399446797745e-14,0.0,-3.7505399446797745e-14
RECOAH2,0.0,9.514758891783403e-15,-9.514758891783403e-15
ECOAH5_1,0.0,9.203261174876004e-15,-9.203261174876004e-15
ACOAD4_1,0.0,-9.203261174876004e-15,9.203261174876004e-15
HACD4,0.0,9.203261174876004e-15,-9.203261174876004e-15
HACD5,0.0,9.203261174876004e-15,-9.203261174876004e-15
ACACT5r_1,0.0,9.203261174876004e-15,-9.203261174876004e-15
ACACT4r,0.0,9.203261174876004e-15,-9.203261174876004e-15
ECOAH4,0.0,9.203261174876004e-15,-9.203261174876004e-15
ACOAD3,0.0,-9.203261174876004e-15,9.203261174876004e-15
RECOAH3,0.0,9.203261174876002e-15,-9.203261174876002e-15
ACACT6r_1,0.0,9.203261174876002e-15,-9.203261174876002e-15
ACACT3r,0.0,9.203261174876002e-15,-9.203261174876002e-15
RHACOAR80,0.0,9.203261174876002e-15,-9.203261174876002e-15
HACD6,0.0,9.203261174876002e-15,-9.203261174876002e-15
ACOAD5_1,0.0,-9.203261174876002e-15,9.203261174876002e-15
ACOAD2,0.0,9.203261174876002e-15,-9.203261174876002e-15
ECOAH6,0.0,9.203261174875999e-15,-9.203261174875999e-15
CTECOAI6,0.0,-8.833704290407611e-15,8.833704290407611e-15
FACOAL141t2pp,0.0,-8.833704290407611e-15,8.833704290407611e-15
GALS3,7.203793316387268e-15,0.0,7.203793316387268e-15
NADDPp_1,0.0,-4.083491847933738e-15,4.083491847933738e-15
PPM,4.062823232577501e-15,0.0,4.062823232577501e-15
PPM2,-4.0628232325775e-15,0.0,-4.0628232325775e-15
DRPA,-4.062823232577499e-15,0.0,-4.062823232577499e-15
DGK1,2.9526002079523804e-15,0.0,2.9526002079523804e-15
PUNP4,-2.9526002079523804e-15,0.0,-2.9526002079523804e-15
PUNP3,2.9526002079523804e-15,0.0,2.9526002079523804e-15
GK1,-2.9526002079523804e-15,0.0,-2.9526002079523804e-15
NTD8,-2.95260020795238e-15,0.0,-2.95260020795238e-15
RNDR2,-2.95260020795238e-15,0.0,-2.95260020795238e-15
AMPD2,-2.95260020795238e-15,0.0,-2.95260020795238e-15
GMPS2,-2.95260020795238e-15,0.0,-2.95260020795238e-15
IMPD,-2.9526002079523796e-15,0.0,-2.9526002079523796e-15
GLUSy,2.9526002079523796e-15,0.0,2.9526002079523796e-15
GDH1,2.9526002079523796e-15,0.0,2.9526002079523796e-15
NAtex,2.787027239816217e-15,0.0,2.787027239816217e-15
NAt3_1,2.7870272398162167e-15,0.0,2.7870272398162167e-15
VALtex,2.6128702665819447e-15,0.0,2.6128702665819447e-15
EX_val__L_e,-2.6128702665819447e-15,0.0,-2.6128702665819447e-15
VALt3pp,-2.6128702665819447e-15,0.0,-2.6128702665819447e-15
CYSDS,-1.6768042151910972e-15,0.0,-1.6768042151910972e-15
BPNT_1,-1.6768042151910972e-15,0.0,-1.6768042151910972e-15
H2St1,-1.6768042151910972e-15,0.0,-1.6768042151910972e-15
PPCDC,1.676804215191097e-15,0.0,1.676804215191097e-15
PPNCL,1.676804215191097e-15,0.0,1.676804215191097e-15
EX_h2s_e,-1.6768042151910968e-15,0.0,-1.6768042151910968e-15
PNTK,1.6768042151910968e-15,0.0,1.6768042151910968e-15
PNTOt4pp,1.6768042151910968e-15,0.0,1.6768042151910968e-15
ACPS,-1.6768042151910968e-15,0.0,-1.6768042151910968e-15
PNTOtex,1.6768042151910968e-15,0.0,1.6768042151910968e-15
EX_pnto__R_e,-1.6768042151910968e-15,0.0,-1.6768042151910968e-15
NDPK3,1.6768042151910968e-15,0.0,1.6768042151910968e-15
NADDP,-1.1690931943875683e-15,0.0,-1.1690931943875683e-15
3MBt4pp,1.1102230246251205e-15,0.0,1.1102230246251205e-15
LEUtex,-1.1102230246251203e-15,0.0,-1.1102230246251203e-15
LLEUDr,-1.11022302462512e-15,0.0,-1.11022302462512e-15
LEUt3pp,1.11022302462512e-15,0.0,1.11022302462512e-15
NTD3,-1.1102230246251195e-15,0.0,-1.1102230246251195e-15
EX_dcyt_e,-1.1102230246251195e-15,0.0,-1.1102230246251195e-15
PYNP2r,1.1102230246251195e-15,0.0,1.1102230246251195e-15
DCYTt2,1.1102230246251195e-15,0.0,1.1102230246251195e-15
URIK1,-1.1102230246251195e-15,0.0,-1.1102230246251195e-15
CYTK2,1.1102230246251195e-15,0.0,1.1102230246251195e-15
UMPK,-1.1102230246251195e-15,0.0,-1.1102230246251195e-15
NDPK7,1.1102230246251193e-15,0.0,1.1102230246251193e-15
NDPK2,-1.1102230246251193e-15,0.0,-1.1102230246251193e-15
RNTR3,-1.1102230246251193e-15,0.0,-1.1102230246251193e-15
DURIPP,-1.1102230246251193e-15,0.0,-1.1102230246251193e-15
CTPS1,-1.1102230246251193e-15,0.0,-1.1102230246251193e-15
NTD1,-1.110223024625119e-15,0.0,-1.110223024625119e-15
3MBtex,1.1102230246251205e-15,4.06808109226938e-16,7.034149153981825e-16
EX_3mb_e,-1.1102230246251203e-15,-4.06808109226938e-16,-7.034149153981823e-16
OCOAT2r,1.11022302462512e-15,4.06808109226938e-16,7.034149153981821e-16
ACLS,-5.665811905659767e-16,0.0,-5.665811905659767e-16
KARA1,5.665811905659767e-16,0.0,5.665811905659767e-16
3MBt2pp,0.0,4.06808109226938e-16,-4.06808109226938e-16
ACOAD6,0.0,-3.6955688446839024e-16,3.6955688446839024e-16
ASPTA6,0.0,-3.454084639948298e-16,3.454084639948298e-16
ASPK,0.0,-3.454084639948297e-16,3.454084639948297e-16
ASAD,0.0,3.454084639948297e-16,-3.454084639948297e-16
HSDy,0.0,3.454084639948297e-16,-3.454084639948297e-16
HSK,0.0,-3.4540846399482964e-16,3.4540846399482964e-16
MCA,0.0,3.1149771690740286e-16,-3.1149771690740286e-16
MCITL2,0.0,3.1149771690740286e-16,-3.1149771690740286e-16
MMSDHir,0.0,3.1149771690740286e-16,-3.1149771690740286e-16
MCITS,0.0,3.1149771690740286e-16,-3.1149771690740286e-16
ECOAH2,0.0,-3.114977169074028e-16,3.114977169074028e-16
HACOADr,0.0,3.114977169074028e-16,-3.114977169074028e-16
ACACT2r,0.0,-3.114977169074028e-16,3.114977169074028e-16
HACD2,0.0,-3.114977169074028e-16,3.114977169074028e-16
EX_oxa_e,-1.5777218104420236e-30,0.0,-1.5777218104420236e-30
OXAtpp,0.0,0.0,0.0
