gene_id,growth,growth_fraction_of_wt,classification,status
MPDKNC_04080,-4.0123373901339925e-15,-9.008994796134688e-15,essential,optimal
MPDKNC_00895,-3.751488275713777e-15,-8.423304190911288e-15,essential,optimal
MPDKNC_00894,-1.950235027581058e-15,-4.378908228884161e-15,essential,optimal
MPDKNC_02084,-7.941708257479467e-16,-1.783170292208729e-15,essential,optimal
MPDKNC_00133,-4.4223039966684636e-16,-9.929502387031652e-16,essential,optimal
MPDKNC_00065,-2.8424776320530934e-16,-6.3822813750068e-16,essential,optimal
MPDKNC_04084,-2.507317084685171e-16,-5.629737574843864e-16,essential,optimal
MPDKNC_04072,-2.507317084685171e-16,-5.629737574843864e-16,essential,optimal
MPDKNC_03672,-2.2741002736870724e-16,-5.106090425474197e-16,essential,optimal
MPDKNC_02064,-1.5565096329974706e-16,-3.4948674102751463e-16,essential,optimal
MPDKNC_00069,-1.1819177970055008e-16,-2.6537876173782943e-16,essential,optimal
MPDKNC_02713,-1.1179238594805245e-16,-2.5101005357374787e-16,essential,optimal
MPDKNC_02560,-9.950964766584883e-17,-2.234313346108938e-16,essential,optimal
MPDKNC_01938,-7.825978247186035e-17,-1.757185162866071e-16,essential,optimal
MPDKNC_04081,-5.646209795986601e-17,-1.2677566646066444e-16,essential,optimal
MPDKNC_03200,-4.9093287763379856e-17,-1.102303049272389e-16,essential,optimal
MPDKNC_01941,-4.5643713596582464e-17,-1.024848955322128e-16,essential,optimal
MPDKNC_02943,-1.8618182144339964e-17,-4.180383894541957e-17,essential,optimal
MPDKNC_03823,-1.6714522699651802e-17,-3.7529507959949886e-17,essential,optimal
MPDKNC_01485,-4.99272658256593e-18,-1.1210285533679334e-17,essential,optimal
MPDKNC_01718,0.0,0.0,essential,optimal
MPDKNC_02344,0.0,0.0,essential,optimal
MPDKNC_00650,0.0,0.0,essential,optimal
MPDKNC_02847,0.0,0.0,essential,optimal
MPDKNC_00048,0.0,0.0,essential,optimal
MPDKNC_00218,0.0,0.0,essential,optimal
MPDKNC_01940,0.0,0.0,essential,optimal
MPDKNC_01977,0.0,0.0,essential,optimal
MPDKNC_00327,0.0,0.0,essential,optimal
MPDKNC_00896,0.0,0.0,essential,optimal
MPDKNC_03277,0.0,0.0,essential,optimal
MPDKNC_00733,0.0,0.0,essential,optimal
MPDKNC_04074,0.0,0.0,essential,optimal
MPDKNC_04000,1.8959987480004237e-17,4.2571302443843784e-17,essential,optimal
MPDKNC_02846,4.466317129751251e-17,1.0028326102076007e-16,essential,optimal
MPDKNC_02076,7.732215240751259e-17,1.7361323361741305e-16,essential,optimal
MPDKNC_00018,7.732215240751259e-17,1.7361323361741305e-16,essential,optimal
MPDKNC_04085,7.825978247186036e-17,1.7571851628660713e-16,essential,optimal
MPDKNC_03357,1.0053146593425974e-16,2.257256470197518e-16,essential,optimal
MPDKNC_00897,1.0180898046523661e-16,2.285940802152894e-16,essential,optimal
MPDKNC_02240,1.5464430481502518e-16,3.472264672348261e-16,essential,optimal
MPDKNC_00134,1.5489670696957315e-16,3.477931916838834e-16,essential,optimal
MPDKNC_00326,1.6877367606375362e-16,3.7895147430064484e-16,essential,optimal
MPDKNC_03323,2.739092386515114e-16,6.150148070031252e-16,essential,optimal
MPDKNC_01989,3.126110580377209e-16,7.019129054304019e-16,essential,optimal
MPDKNC_01749,7.327155287560397e-16,1.6451832794125513e-15,essential,optimal
MPDKNC_02086,9.49288287612167e-16,2.131459150010319e-15,essential,optimal
MPDKNC_04083,1.0918688060461551e-15,2.4515985160966513e-15,essential,optimal
MPDKNC_02693,1.486973303604499e-15,3.3387358668052516e-15,essential,optimal
MPDKNC_00091,4.420487357712815e-14,9.925423445181413e-14,essential,optimal
MPDKNC_01917,9.55838160503091e-13,2.1461657324963218e-12,essential,optimal
MPDKNC_01979,2.9262521766304784e-12,6.57038231537189e-12,essential,optimal
