gene_id,reaction_id,reaction_essential_in_step_7_20,has_gpr
MPDKNC_04080,TECA2S45,True,True
MPDKNC_04080,TECA3S45,True,True
MPDKNC_04080,TECA1S45,True,True
MPDKNC_00895,TECA2S45,True,True
MPDKNC_00895,LIPO3S24_BS,True,True
MPDKNC_00894,TECA2S45,True,True
MPDKNC_00894,LIPO3S24_BS,True,True
MPDKNC_02084,ASAD,True,True
MPDKNC_00133,MEPCT,True,True
MPDKNC_00065,CDPMEK,True,True
MPDKNC_04084,TECA2S45,True,True
MPDKNC_04084,TECA3S45,True,True
MPDKNC_04084,TECA1S45,True,True
MPDKNC_04072,TECA2S45,True,True
MPDKNC_04072,TECA3S45,True,True
MPDKNC_04072,TECA1S45,True,True
MPDKNC_03672,UAGPT3,True,True
MPDKNC_03672,UGT_BS,True,True
MPDKNC_02064,DXPRIi,True,True
MPDKNC_00069,UAGDP,True,True
MPDKNC_00069,G1PACT,True,True
MPDKNC_02713,NDPK3,False,True
MPDKNC_02713,NDPK9,False,True
MPDKNC_02713,NDPK8,False,True
MPDKNC_02713,NDPK7,False,True
MPDKNC_02713,NDPK6,False,True
MPDKNC_02713,NDPK5,False,True
MPDKNC_02713,NDPK4,False,True
MPDKNC_02713,NDPK1,True,True
MPDKNC_02713,NDPK2,True,True
MPDKNC_02560,DAPE,True,True
MPDKNC_01938,UAAGDS,True,True
MPDKNC_04081,G3PCT,True,True
MPDKNC_03200,DPCOAK,True,True
MPDKNC_01941,UAMAGS,True,True
MPDKNC_02943,MECDPDH2,True,True
MPDKNC_03823,UAPGR,True,True
MPDKNC_01485,KAS17,False,True
MPDKNC_01485,KAS4,True,True
MPDKNC_01485,KAS1,True,True
MPDKNC_01485,KAS12,True,True
MPDKNC_01485,KAS13,True,True
MPDKNC_01485,KAS2,False,True
MPDKNC_01485,KAS3,True,True
MPDKNC_01485,KAS8,False,True
MPDKNC_01485,KAS11,True,True
MPDKNC_01485,KAS7,False,True
MPDKNC_01485,KAS6,True,True
MPDKNC_01718,KAS17,False,True
MPDKNC_01718,KAS4,True,True
MPDKNC_01718,KAS1,True,True
MPDKNC_01718,KAS12,True,True
MPDKNC_01718,KAS13,True,True
MPDKNC_01718,KAS2,False,True
MPDKNC_01718,KAS3,True,True
MPDKNC_01718,KAS8,False,True
MPDKNC_01718,KAS11,True,True
MPDKNC_01718,KAS7,False,True
MPDKNC_01718,KAS6,True,True
MPDKNC_02344,ACONTb,False,True
MPDKNC_02344,ACONTa,False,True
MPDKNC_02344,ACONT,False,True
MPDKNC_00650,CLtex,False,True
MPDKNC_00650,Htex,False,True
MPDKNC_00650,LEUtex,False,True
MPDKNC_00650,NI2tex,False,True
MPDKNC_00650,Ktex,False,True
MPDKNC_00650,PPAtex,False,True
MPDKNC_00650,CU2tex,True,True
MPDKNC_00650,MOBDtex,False,True
MPDKNC_00650,SO4tex,False,True
MPDKNC_00650,MG2tex,False,True
MPDKNC_00650,CA2tex,False,True
MPDKNC_00650,VALtex,False,True
MPDKNC_00650,CD2tex,False,True
MPDKNC_00650,MEOHtex,False,True
MPDKNC_00650,NH4tex,False,True
MPDKNC_00650,BUTtex,False,True
MPDKNC_00650,OXFOtex,False,True
MPDKNC_00650,PYRtex,False,True
MPDKNC_00650,FORtex,False,True
MPDKNC_00650,HYXNtex,False,True
MPDKNC_00650,COBALT2tex,False,True
MPDKNC_00650,GLCURtex,False,True
MPDKNC_00650,ACtex,False,True
MPDKNC_00650,MSO3tex,False,True
MPDKNC_00650,TSULtex,False,True
MPDKNC_00650,H2Otex,False,True
MPDKNC_00650,LYStex,False,True
MPDKNC_00650,NO3tex,False,True
MPDKNC_00650,ETOHtex,False,True
MPDKNC_00650,SULFACtex,False,True
MPDKNC_00650,TAURtex,False,True
MPDKNC_00650,ISETACtex,False,True
MPDKNC_00650,CRO4tex,False,True
MPDKNC_00650,NAtex,False,True
MPDKNC_00650,Zn2tex,False,True
MPDKNC_00650,ILEtex,False,True
