carbon_source,carbon_exchange,aeration,o2_uptake_bound,max_growth_rate_1_h,growth_coupled_PHB_flux
Glucose,EX_glc__D_e,Anaerobic,0.0,0.3534,0.0361
Glucose,EX_glc__D_e,Microaerobic,-2.0,0.3663,0.0374
Glucose,EX_glc__D_e,Aerobic,-20.0,0.3722,0.2283
Glucose,EX_glc__D_e,Hyperaerobic,-40.0,0.3722,0.2283
Fructose,EX_fru_e,Anaerobic,0.0,0.3534,0.0361
Fructose,EX_fru_e,Microaerobic,-2.0,0.3663,0.0374
Fructose,EX_fru_e,Aerobic,-20.0,0.3722,0.2283
Fructose,EX_fru_e,Hyperaerobic,-40.0,0.3722,0.2283
Glycerol,EX_glyc_e,Anaerobic,0.0,0.3534,0.0361
Glycerol,EX_glyc_e,Microaerobic,-2.0,0.3663,0.0374
Glycerol,EX_glyc_e,Aerobic,-20.0,0.3722,0.2283
Glycerol,EX_glyc_e,Hyperaerobic,-40.0,0.3722,0.2283
Sucrose,EX_sucr_e,Anaerobic,0.0,0.3534,0.0361
Sucrose,EX_sucr_e,Microaerobic,-2.0,0.3663,0.0374
Sucrose,EX_sucr_e,Aerobic,-20.0,0.3722,0.2283
Sucrose,EX_sucr_e,Hyperaerobic,-40.0,0.3722,0.2283
Maltose,EX_malt_e,Anaerobic,0.0,0.3935,0.0402
Maltose,EX_malt_e,Microaerobic,-2.0,0.422,0.0431
Maltose,EX_malt_e,Aerobic,-20.0,0.4454,0.2294
Maltose,EX_malt_e,Hyperaerobic,-40.0,0.4454,0.2294
Mannose,EX_man_e,Anaerobic,0.0,0.3534,0.0361
Mannose,EX_man_e,Microaerobic,-2.0,0.3663,0.0374
Mannose,EX_man_e,Aerobic,-20.0,0.3722,0.2283
Mannose,EX_man_e,Hyperaerobic,-40.0,0.3722,0.2283
Mannitol,EX_mnl_e,Anaerobic,0.0,0.3534,0.0361
Mannitol,EX_mnl_e,Microaerobic,-2.0,0.3663,0.0374
Mannitol,EX_mnl_e,Aerobic,-20.0,0.3722,0.2283
Mannitol,EX_mnl_e,Hyperaerobic,-40.0,0.3722,0.2283
Arabinose,EX_arab__L_e,Anaerobic,0.0,0.3534,0.0361
Arabinose,EX_arab__L_e,Microaerobic,-2.0,0.3663,0.0374
Arabinose,EX_arab__L_e,Aerobic,-20.0,0.3722,0.2283
Arabinose,EX_arab__L_e,Hyperaerobic,-40.0,0.3722,0.2283
Melibiose,EX_melib_e,Anaerobic,0.0,0.3534,0.0361
Melibiose,EX_melib_e,Microaerobic,-2.0,0.3663,0.0374
Melibiose,EX_melib_e,Aerobic,-20.0,0.3722,0.2283
Melibiose,EX_melib_e,Hyperaerobic,-40.0,0.3722,0.2283
Acetate,EX_ac_e,Anaerobic,0.0,0.3534,0.0361
Acetate,EX_ac_e,Microaerobic,-2.0,0.3663,0.0374
Acetate,EX_ac_e,Aerobic,-20.0,0.3722,0.2283
Acetate,EX_ac_e,Hyperaerobic,-40.0,0.3722,0.2283
Succinate,EX_succ_e,Anaerobic,0.0,0.3534,0.0361
Succinate,EX_succ_e,Microaerobic,-2.0,0.3663,0.0374
Succinate,EX_succ_e,Aerobic,-20.0,0.3722,0.2283
Succinate,EX_succ_e,Hyperaerobic,-40.0,0.3722,0.2283
Pyruvate,EX_pyr_e,Anaerobic,0.0,0.3534,0.0361
Pyruvate,EX_pyr_e,Microaerobic,-2.0,0.3663,0.0374
Pyruvate,EX_pyr_e,Aerobic,-20.0,0.3722,0.2283
Pyruvate,EX_pyr_e,Hyperaerobic,-40.0,0.3722,0.2283
