carbon_source,carbon_exchange,aeration,o2_uptake_bound_corrected,max_growth_rate_1_h_corrected,growth_coupled_PHB_flux_corrected,o2_uptake_bound_original,max_growth_rate_1_h_original,growth_coupled_PHB_flux_original,growth_delta,phb_delta
Glucose,EX_glc__D_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.3534231770433049,2.5919937397206523,-2.3177043304900558e-05,-2.5558937397206525
Glucose,EX_glc__D_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.3663018766812828,2.7281251081436038,-1.876681282764192e-06,-2.690725108143604
Glucose,EX_glc__D_e,Aerobic,-20.0,0.3722,0.2283,20.0,0.3721667012325891,3.3138386185769657,3.329876741087201e-05,-3.0855386185769658
Glucose,EX_glc__D_e,Hyperaerobic,-40.0,0.3722,0.2283,40.0,0.3721667012325831,3.3138386185773974,3.3298767416867214e-05,-3.0855386185773974
Fructose,EX_fru_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.353423177043305,2.5919937397206487,-2.317704330501158e-05,-2.555893739720649
Fructose,EX_fru_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.366301876681283,2.7281251081435856,-1.8766812829862367e-06,-2.6907251081435857
Fructose,EX_fru_e,Aerobic,-20.0,0.3722,0.2283,20.0,0.372166701232589,3.3138386185771678,3.329876741098303e-05,-3.085538618577168
Fructose,EX_fru_e,Hyperaerobic,-40.0,0.3722,0.2283,40.0,0.372166701232589,3.3138386185769786,3.329876741098303e-05,-3.0855386185769786
Glycerol,EX_glyc_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.3534231770433049,2.591993739720716,-2.3177043304900558e-05,-2.555893739720716
Glycerol,EX_glyc_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.366301876681283,2.728125108143584,-1.8766812829862367e-06,-2.6907251081435843
Glycerol,EX_glyc_e,Aerobic,-20.0,0.3722,0.2283,20.0,0.3721667012325884,3.313838618576997,3.3298767411593655e-05,-3.085538618576997
Glycerol,EX_glyc_e,Hyperaerobic,-40.0,0.3722,0.2283,40.0,0.3721667012325897,3.3138386185769164,3.329876741026139e-05,-3.0855386185769165
Sucrose,EX_sucr_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.3534231770433053,2.591993739720645,-2.3177043305289136e-05,-2.5558937397206454
Sucrose,EX_sucr_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.3663018766812821,2.7281251081436557,-1.8766812820980583e-06,-2.690725108143656
Sucrose,EX_sucr_e,Aerobic,-20.0,0.3722,0.2283,20.0,0.3721667012325884,3.313838618577036,3.3298767411593655e-05,-3.085538618577036
Sucrose,EX_sucr_e,Hyperaerobic,-40.0,0.3722,0.2283,40.0,0.3721667012325893,3.31383861857696,3.3298767410649965e-05,-3.08553861857696
Maltose,EX_malt_e,Anaerobic,0.0,0.3935,0.0402,0.0,0.3935378973861416,2.819016337335126,-3.789738614157212e-05,-2.778816337335126
Maltose,EX_malt_e,Microaerobic,-2.0,0.422,0.0431,2.0,0.421989168048622,3.316365845721618,1.0831951377965332e-05,-3.273265845721618
Maltose,EX_malt_e,Aerobic,-20.0,0.4454,0.2294,20.0,0.4453701529337642,3.937981513908812,2.9847066235821895e-05,-3.708581513908812
Maltose,EX_malt_e,Hyperaerobic,-40.0,0.4454,0.2294,40.0,0.4453701529337637,3.9379815139083343,2.9847066236321496e-05,-3.7085815139083342
Mannose,EX_man_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.3534231770433045,2.59199373972067,-2.317704330451198e-05,-2.5558937397206702
Mannose,EX_man_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.3663018766812828,2.7281251081435616,-1.876681282764192e-06,-2.6907251081435617
Mannose,EX_man_e,Aerobic,-20.0,0.3722,0.2283,20.0,0.3721667012325894,3.3138386185768605,3.3298767410594454e-05,-3.0855386185768605
Mannose,EX_man_e,Hyperaerobic,-40.0,0.3722,0.2283,40.0,0.3721667012325884,3.3138386185770496,3.3298767411593655e-05,-3.0855386185770497
Mannitol,EX_mnl_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.3534231770433044,2.591993739720694,-2.3177043304400957e-05,-2.5558937397206942
Mannitol,EX_mnl_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.3663018766812824,2.7281251081436086,-1.876681282375614e-06,-2.6907251081436088
Mannitol,EX_mnl_e,Aerobic,-20.0,0.3722,0.2283,20.0,0.3721667012325883,3.3138386185770514,3.3298767411649166e-05,-3.0855386185770515
Mannitol,EX_mnl_e,Hyperaerobic,-40.0,0.3722,0.2283,40.0,0.3721667012325894,3.313838618576872,3.3298767410594454e-05,-3.085538618576872
Arabinose,EX_arab__L_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.3534231770433044,2.5919937397208157,-2.3177043304400957e-05,-2.555893739720816
Arabinose,EX_arab__L_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.3663018766812824,2.7281251081434457,-1.876681282375614e-06,-2.690725108143446
Arabinose,EX_arab__L_e,Aerobic,-20.0,0.3722,0.2283,20.0,0.3721667012325866,3.3138386185769386,3.329876741337001e-05,-3.0855386185769387
Arabinose,EX_arab__L_e,Hyperaerobic,-40.0,0.3722,0.2283,40.0,0.3721667012325887,3.3138386185769546,3.329876741126059e-05,-3.0855386185769547
Melibiose,EX_melib_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.353423177043305,2.591993739720684,-2.317704330501158e-05,-2.555893739720684
Melibiose,EX_melib_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.3663018766812825,2.7281251081436007,-1.8766812824866363e-06,-2.6907251081436008
Melibiose,EX_melib_e,Aerobic,-20.0,0.3722,0.2283,20.0,0.3721667012325849,3.3138386185771647,3.329876741509086e-05,-3.0855386185771647
Melibiose,EX_melib_e,Hyperaerobic,-40.0,0.3722,0.2283,40.0,0.3721667012325888,3.313838618577177,3.3298767411149566e-05,-3.085538618577177
Acetate,EX_ac_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.3534231770433045,2.591993739720585,-2.317704330451198e-05,-2.5558937397205854
Acetate,EX_ac_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.3663018766812823,2.728125108143624,-1.8766812822645917e-06,-2.6907251081436243
Acetate,EX_ac_e,Aerobic,-20.0,0.3722,0.2283,20.0,0.3721667012325893,3.313838618577004,3.3298767410649965e-05,-3.085538618577004
Acetate,EX_ac_e,Hyperaerobic,-40.0,0.3722,0.2283,40.0,0.372166701232588,3.3138386185770257,3.329876741198223e-05,-3.0855386185770257
Succinate,EX_succ_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.3534231770433031,2.5919937397207327,-2.31770433031242e-05,-2.555893739720733
Succinate,EX_succ_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.3663018766812823,2.728125108143624,-1.8766812822645917e-06,-2.6907251081436243
Succinate,EX_succ_e,Aerobic,-20.0,0.3722,0.2283,20.0,0.372166701232589,3.313838618576976,3.329876741098303e-05,-3.085538618576976
Succinate,EX_succ_e,Hyperaerobic,-40.0,0.3722,0.2283,40.0,0.3721667012325894,3.3138386185769084,3.3298767410594454e-05,-3.0855386185769085
Pyruvate,EX_pyr_e,Anaerobic,0.0,0.3534,0.0361,0.0,0.3534231770433041,2.59199373972066,-2.31770433041234e-05,-2.55589373972066
Pyruvate,EX_pyr_e,Microaerobic,-2.0,0.3663,0.0374,2.0,0.366301876681283,2.7281251081435185,-1.8766812829862367e-06,-2.6907251081435186
