time_h,biomass_gL,glucose_mM,ammonium_mM,PHB_mM
0.0,0.05,20.0,1.0,0.0
0.05,0.051113425382334404,20.0,1.0,0.0
0.1,0.05225164508630934,20.0,1.0,0.0
0.15,0.053415211244465854,20.0,1.0,0.0
0.2,0.054604688284512704,20.0,1.0,0.0
0.25,0.05582065320312139,20.0,1.0,0.0
0.3,0.057063695845818226,20.0,1.0,0.0
0.35,0.05833441919310911,20.0,1.0,0.0
0.4,0.05963343965297597,20.0,1.0,0.0
0.45,0.06096138735988658,20.0,1.0,0.0
0.5,0.06231890648046293,20.0,1.0,0.0
0.55,0.06370665552595635,20.0,1.0,0.0
0.6,0.06512530767168104,20.0,1.0,0.0
0.65,0.06657555108356078,20.0,1.0,0.0
0.7,0.06805808925194752,20.0,1.0,0.0
0.75,0.0695736413328735,20.0,1.0,0.0
0.8,0.07112294249690253,20.0,1.0,0.0
0.85,0.07270674428574976,20.0,1.0,0.0
0.9,0.07432581497684278,20.0,1.0,0.0
0.95,0.07598093995600093,20.0,1.0,0.0
1.0,0.07767292209841369,20.0,1.0,0.0
1.05,0.07940258215810282,20.0,1.0,0.0
1.1,0.08117075916605732,20.0,1.0,0.0
1.15,0.08297831083723414,20.0,1.0,0.0
1.2,0.08482611398662235,20.0,1.0,0.0
1.25,0.08671506495457228,20.0,1.0,0.0
1.3,0.08864608004159623,20.0,1.0,0.0
1.35,0.09062009595285143,20.0,1.0,0.0
1.4,0.09263807025252112,20.0,1.0,0.0
1.45,0.09470098182831381,20.0,1.0,0.0
1.5,0.09680983136630648,20.0,1.0,0.0
1.55,0.09896564183636167,20.0,1.0,0.0
1.6,0.10116945898835408,20.0,1.0,0.0
1.65,0.10342235185944754,20.0,1.0,0.0
1.7,0.1057254132926681,20.0,1.0,0.0
1.75,0.10807976046702514,20.0,1.0,0.0
1.8,0.1104865354394373,20.0,1.0,0.0
1.85,0.11294690569872648,20.0,1.0,0.0
1.9,0.11546206473194832,20.0,1.0,0.0
1.95,0.1180332326033341,20.0,1.0,0.0
2.0,0.12066165654612476,20.0,1.0,0.0
2.05,0.12334861156758418,20.0,1.0,0.0
2.1,0.1260954010674853,20.0,1.0,0.0
2.15,0.1289033574703688,20.0,1.0,0.0
2.2,0.13177384287188146,20.0,1.0,0.0
2.25,0.13470824969950743,20.0,1.0,0.0
2.3,0.13770800138801287,20.0,1.0,0.0
2.35,0.14077455306993197,20.0,1.0,0.0
2.4,0.14390939228142885,20.0,1.0,0.0
2.45,0.14711403968387807,20.0,1.0,0.0
2.5,0.1503900498015137,20.0,1.0,0.0
2.55,0.1537390117755045,20.0,1.0,0.0
2.6,0.15716255013482158,20.0,1.0,0.0
2.65,0.16066232558427185,20.0,1.0,0.0
2.7,0.1642400358100799,20.0,1.0,0.0
2.75,0.167897416303409,20.0,1.0,0.0
2.8,0.17163624120222062,20.0,1.0,0.0
2.85,0.17545832415188106,20.0,1.0,0.0
2.9,0.1793655191849323,20.0,1.0,0.0
2.95,0.18335972162045414,20.0,1.0,0.0
3.0,0.1874428689834538,20.0,1.0,0.0
3.05,0.191616941944729,20.0,1.0,0.0
3.1,0.1958839652816602,20.0,1.0,0.0
3.15,0.20024600886039842,20.0,1.0,0.0
3.2,0.20470518863992498,20.0,1.0,0.0
3.25,0.20926366769846988,20.0,1.0,0.0
3.3,0.21392365728278726,20.0,1.0,0.0
3.35,0.2186874178807965,20.0,1.0,0.0
3.4,0.22355726031810946,20.0,1.0,0.0
3.45,0.22853554687897593,20.0,1.0,0.0
3.5,0.23362469245219045,20.0,1.0,0.0
3.55,0.2388271657025172,20.0,1.0,0.0
3.6,0.24414549026820054,20.0,1.0,0.0
3.65,0.24958224598514236,20.0,1.0,0.0
3.7,0.2551400701383401,20.0,1.0,0.0
3.75,0.2608216587411923,20.0,1.0,0.0
3.8,0.2666297678432924,20.0,1.0,0.0
3.85,0.2725672148673454,20.0,1.0,0.0
3.9,0.27863687997585534,20.0,1.0,0.0
3.95,0.284841707468247,20.0,1.0,0.0
4.0,0.29118470720909934,20.0,1.0,0.0
4.05,0.2976689560881838,20.0,1.0,0.0
4.1,0.30429759951301516,20.0,1.0,0.0
4.15,0.31107385293463957,20.0,1.0,0.0
4.2,0.31800100340739934,20.0,1.0,0.0
4.25,0.3250824111834315,20.0,1.0,0.0
4.3,0.33232151134267357,20.0,1.0,0.0
4.35,0.33972181545916685,20.0,1.0,0.0
4.4,0.34728691330446604,20.0,1.0,0.0
4.45,0.3550204745889812,20.0,1.0,0.0
4.5,0.3629262507420968,20.0,1.0,0.0
4.55,0.371008076731931,20.0,1.0,0.0
4.6,0.37926987292561903,20.0,1.0,0.0
4.65,0.38771564699102157,20.0,1.0,0.0
4.7,0.3963494958407817,20.0,1.0,0.0
4.75,0.40517560761967314,20.0,1.0,0.0
4.8,0.41419826373620333,20.0,1.0,0.0
4.85,0.4234218409394579,20.0,1.0,0.0
4.9,0.43285081344219295,20.0,1.0,0.0
4.95,0.4424897550912056,20.0,1.0,0.0
5.0,0.45234334158603523,20.0,1.0,0.0
5.05,0.46241635274707227,20.0,1.0,0.0
5.1,0.47271367483417404,20.0,1.0,0.0
5.15,0.48324030291691283,20.0,1.0,0.0
5.2,0.494001343297606,20.0,1.0,0.0
5.25,0.5050020159883029,20.0,1.0,0.0
5.3,0.5162476572429313,20.0,1.0,0.0
5.35,0.5277437221458303,20.0,1.0,0.0
5.4,0.5394957872579264,20.0,1.0,0.0
5.45,0.5515095533218355,20.0,1.0,0.0
5.5,0.5637908480272042,20.0,1.0,0.0
5.55,0.5763456288376309,20.0,1.0,0.0
5.6,0.5891799858805369,20.0,1.0,0.0
5.65,0.6023001449013932,20.0,1.0,0.0
5.7,0.6157124702837312,20.0,1.0,0.0
5.75,0.6294234681364057,20.0,1.0,0.0
5.8,0.6434397894496062,20.0,1.0,0.0
5.85,0.6577682333211481,20.0,1.0,0.0
5.9,0.6724157502546085,20.0,1.0,0.0
5.95,0.6873894455309068,20.0,1.0,0.0
6.0,0.7026965826549644,20.0,1.0,0.0
6.05,0.7183445868791181,20.0,1.0,0.0
6.1,0.7343410488049927,20.0,1.0,0.0
6.15,0.7506937280655837,20.0,1.0,0.0
6.2,0.7674105570893329,20.0,1.0,0.0
6.25,0.7844996449480259,20.0,1.0,0.0
6.3,0.8019692812903751,20.0,1.0,0.0
6.35,0.8198279403631988,20.0,1.0,0.0
6.4,0.8380842851221453,20.0,1.0,0.0
6.45,0.8567471714339568,20.0,1.0,0.0
6.5,0.8758256523723122,20.0,1.0,0.0
6.55,0.8953289826093307,20.0,1.0,0.0
6.6,0.915266622904868,20.0,1.0,0.0
6.65,0.9356482446957834,20.0,1.0,0.0
6.7,0.9564837347874018,20.0,1.0,0.0
6.75,0.9777832001494478,20.0,1.0,0.0
6.8,0.9995569728187789,20.0,1.0,0.0
6.85,1.0218156149112942,20.0,1.0,0.0
6.9,1.0445699237454518,20.0,1.0,0.0
6.95,1.0678309370798778,20.0,1.0,0.0
7.0,1.091609938467611,20.0,1.0,0.0
7.05,1.1159184627295777,20.0,1.0,0.0
7.1,1.1407683015499517,20.0,1.0,0.0
7.15,1.1661715091961162,20.0,1.0,0.0
7.2,1.1921404083659997,20.0,1.0,0.0
7.25,1.2186875961656238,20.0,1.0,0.0
7.3,1.245825950219762,20.0,1.0,0.0
7.35,1.2735686349186732,20.0,1.0,0.0
7.4,1.3019291078039419,20.0,1.0,0.0
7.45,1.3309211260965197,20.0,1.0,0.0
7.5,1.3605587533701387,20.0,1.0,0.0
7.55,1.39085636637333,20.0,1.0,0.0
7.6,1.4218286620033593,20.0,1.0,0.0
7.65,1.4534906644354615,20.0,1.0,0.0
7.7,1.4858577324108322,20.0,1.0,0.0
7.75,1.5189455666869134,20.0,1.0,0.0
7.8,1.5527702176535838,20.0,1.0,0.0
7.85,1.587348093118952,20.0,1.0,0.0
7.9,1.6226959662685272,20.0,1.0,0.0
7.95,1.6588309838016277,20.0,1.0,0.0
8.0,1.6957706742489773,20.0,1.0,0.0
8.05,1.73353295647552,20.0,1.0,0.0
8.1,1.7721361483725808,20.0,1.0,0.0
8.15,1.811598975743588,20.0,1.0,0.0
8.2,1.8519405813876664,20.0,1.0,0.0
8.25,1.8931805343855095,20.0,1.0,0.0
8.3,1.9353388395920341,20.0,1.0,0.0
8.35,1.9784359473404218,20.0,1.0,0.0
8.4,2.0224927633622545,20.0,1.0,0.0
8.45,2.067530658928558,20.0,1.0,0.0
8.5,2.113571481216671,20.0,1.0,0.0
8.55,2.160637563907966,20.0,1.0,0.0
8.6,2.208751738021572,20.0,1.0,0.0
8.65,2.257937342989341,20.0,1.0,0.0
8.7,2.308218237977442,20.0,1.0,0.0
8.75,2.3596188134600675,20.0,1.0,0.0
8.8,2.412164003050872,20.0,1.0,0.0
8.85,2.465879295597876,20.0,1.0,0.0
8.9,2.520790747547707,20.0,1.0,0.0
8.95,2.576924995585174,20.0,1.0,0.0
9.0,2.634309269554304,20.0,1.0,0.0
9.05,2.692971405667115,20.0,1.0,0.0
9.1,2.7529398600065256,20.0,1.0,0.0
9.15,2.8142437223299535,20.0,1.0,0.0
9.2,2.876912730180302,20.0,1.0,0.0
9.25,2.940977283311176,20.0,1.0,0.0
9.3,3.0064684584333268,20.0,1.0,0.0
9.35,3.073418024289476,20.0,1.0,0.0
9.4,3.141858457064835,20.0,1.0,0.0
9.45,3.2118229561407947,20.0,1.0,0.0
9.5,3.283345460199424,20.0,1.0,0.0
9.55,3.3564606636865935,20.0,1.0,0.0
9.6,3.431204033641706,20.0,1.0,0.0
9.65,3.5076118269022034,20.0,1.0,0.0
9.7,3.585721107691189,20.0,1.0,0.0
9.75,3.665569765596701,20.0,1.0,0.0
9.8,3.7471965339513593,20.0,1.0,0.0
9.85,3.8306410086212983,20.0,1.0,0.0
9.9,3.9159436672134986,20.0,1.0,0.0
9.95,4.003145888710842,20.0,1.0,0.0
10.0,4.092289973544407,20.0,1.0,0.0
10.05,4.183419164112745,20.0,1.0,0.0
10.1,4.276577665758092,20.0,1.0,0.0
10.15,4.371810668209681,20.0,1.0,0.0
10.2,4.469164367504581,20.0,1.0,0.0
10.25,4.568685988396663,20.0,1.0,0.0
10.3,4.670423807264591,20.0,1.0,0.0
10.35,4.774427175529937,20.0,1.0,0.0
10.4,4.88074654359678,20.0,1.0,0.0
10.45,4.989433485324412,20.0,1.0,0.0
10.5,5.100540723045,20.0,1.0,0.0
10.55,5.214122153138372,20.0,1.0,0.0
10.6,5.3302328721763,20.0,1.0,0.0
10.65,5.448929203648985,20.0,1.0,0.0
10.7,5.570268725286705,20.0,1.0,0.0
10.75,5.694310296989859,20.0,1.0,0.0
10.8,5.821114089380992,20.0,1.0,0.0
10.85,5.9507416129926165,20.0,1.0,0.0
10.9,6.083255748105008,20.0,1.0,0.0
10.95,6.2187207752484435,20.0,1.0,0.0
11.0,6.3572024063846815,20.0,1.0,0.0
11.05,6.498767816782802,20.0,1.0,0.0
11.1,6.643485677604881,20.0,1.0,0.0
11.15,6.791426189217288,20.0,1.0,0.0
11.2,6.942661115243791,20.0,1.0,0.0
11.25,7.097263817376961,20.0,1.0,0.0
11.3,7.255309290964782,20.0,1.0,0.0
11.35,7.416874201389718,20.0,1.0,0.0
11.4,7.582036921257888,20.0,1.0,0.0
11.45,7.75087756841639,20.0,1.0,0.0
11.5,7.923478044817214,20.0,1.0,0.0
11.55,8.09992207624659,20.0,1.0,0.0
11.6,8.280295252939066,20.0,1.0,0.0
11.65,8.464685071095975,20.0,1.0,0.0
11.7,8.653180975328482,20.0,1.0,0.0
11.75,8.84587440204576,20.0,1.0,0.0
11.8,9.04285882380936,20.0,1.0,0.0
11.85,9.24422979467528,20.0,1.0,0.0
11.9,9.450084996545748,20.0,1.0,0.0
11.95,9.660524286553178,20.0,1.0,0.0
12.0,9.875649745499304,20.0,1.0,0.0
12.05,10.095565727372968,20.0,1.0,0.0
12.1,10.320378909970614,20.0,1.0,0.0
12.15,10.550198346644013,20.0,1.0,0.0
12.2,10.785135519200331,20.0,1.0,0.0
12.25,11.02530439198021,20.0,1.0,0.0
12.3,11.270821467140085,20.0,1.0,0.0
12.35,11.52180584116555,20.0,1.0,0.0
12.4,11.7783792626432,20.0,1.0,0.0
12.45,12.040666191318962,20.0,1.0,0.0
12.5,12.308793858471567,20.0,1.0,0.0
12.55,12.582892328630448,20.0,1.0,0.0
12.6,12.863094562668008,20.0,1.0,0.0
12.65,13.149536482296853,20.0,1.0,0.0
12.7,13.442357036003283,20.0,1.0,0.0
12.75,13.741698266449033,20.0,1.0,0.0
12.8,14.047705379373934,20.0,1.0,0.0
12.85,14.360526814032943,20.0,1.0,0.0
12.9,14.680314315201704,20.0,1.0,0.0
12.95,15.007223006785557,20.0,1.0,0.0
13.0,15.341411467067713,20.0,1.0,0.0
13.05,15.6830418056331,20.0,1.0,0.0
13.1,16.03227974200517,20.0,1.0,0.0
13.15,16.389294686033853,20.0,1.0,0.0
13.2,16.75425982007362,20.0,1.0,0.0
13.25,17.12735218299153,20.0,1.0,0.0
13.3,17.508752756045997,20.0,1.0,0.0
13.35,17.898646550677977,20.0,1.0,0.0
13.4,18.297222698257116,20.0,1.0,0.0
13.45,18.70467454182641,20.0,1.0,0.0
