reaction_id,reaction_name,imbalance,distance_from_PHB
Growth,Biomass reaction,"{'charge': 0.40572400000003306, 'C': -38.83041899999989, 'H': -60.16409599999967, 'N': -10.768223000000091, 'O': -18.219038000000197, 'S': -0.25062599999999996, 'P': -1.4040929999999974, 'Ca': -0.005205, 'Cl': -0.005205, 'Co': -0.0001, 'Cu': -0.000709, 'Fe': -0.014523, 'K': -0.195193, 'Mg': -0.008675, 'Mn': -0.000691, 'Zn': -0.000341}",1
ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,{'H': 4.0},1
ACACT6r_1,Acetyl CoA C acyltransferase  dodecanoyl CoA,{'H': 4.0},1
SUCBZL,O-succinylbenzoate-CoA ligase,{'H': -5.0},1
NPHS,Naphthoate synthase,{'H': 5.0},1
MMSDHir,Methylmalonate semialdehyde dehydrogenase  acylating,{'H': 1.0},1
MACCOAT,2-Methylacetyl-CoA thiolase,{'H': 4.0},1
HIBHr,3 hydroxyisobutyryl CoA hydrolase,{'H': 3.0},1
KAS1,B-ketoacyl synthetase (Iso-C14:0),{'H': -1.0},1
KAS11,B-ketoacyl synthetase (Iso-C17:0),{'H': -1.0},1
KAS12,B-ketoacyl synthetase (Anteiso-C17:0),{'H': -1.0},1
KAS3,B-ketoacyl synthetase (Iso-C15:0),{'H': -1.0},1
KAS4,B-ketoacyl synthetase (Anteiso-C15:0),{'H': -1.0},1
KAS6,B-ketoacyl synthetase (Iso-C16:0),{'H': -1.0},1
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,{'H': -2.0},1
G3POA_BS,Glycerol 3 phosphate O acyltransferase,{'H': 1.48},1
FACOAL140_ISO,Fatty acid  CoA ligase  Iso C140,{'H': -3.0},1
FACOAL141t2pp,Fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),{'H': -4.0},1
FACOAL150_ISO,Fatty acid  CoA ligase  Iso C150,{'H': -3.0},1
FACOAL150_anteiso,Fatty acid  CoA ligase  anteiso C150,{'H': -3.0},1
FACOAL160_ISO,Fatty acid  CoA ligase  Iso C160,{'H': -3.0},1
FACOAL170_ISO,Fatty acid  CoA ligase  Iso C170,{'H': -3.0},1
FACOAL170_anteiso,Fatty acid  CoA ligase  anteiso C170,{'H': -3.0},1
FACOAL180_2,Fatty acid  CoA ligase  octadecanoate,{'H': -4.0},1
ACPS1,Acyl-carrier protein synthase,{'H': -1.0},1
ACPS1_1,"CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase, cytosol",{'H': -1.0},1
DHPACCOAHIT,"1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA Hydratase/Isomerase/Ketothiolase complex",{'H': 4.0},1
BSCT,Benzoylsuccinyl-CoA thiolase,{'H': 5.0},1
AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,{'H': 3.4799999999999858},1
AACLAM,Acetyl adenylate CoA ligase AMP-forming,{'H': 2.0},1
LIPO4S24_BS,Lipoteichoic acid synthesis  n24   linked  unsubstituted,{'H': -2400.0},2
PFK_2,Phosphofructokinase,{'H': -2.0},2
PFK,Phosphofructokinase,{'H': -4.0},2
PAP_BS,Phosphatidic acid phosphatase,{'H': 2.0},2
PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",{'H': -3.0},2
PAP,Phosphatidate phosphatase,{'H': 2.0},2
OXCOAHDH,"Oxepin-CoA hydrolase/ 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (NADP+)",{'H': -1.0},2
LPLIPAL2G181,"Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)",{'H': -1.0},2
LPLIPAL1A161pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)",{'H': 2.0},2
PFK_4,Phosphofructokinase (s7p),{'H': -4.0},2
LIPO3S24_BS,Lipoteichoic acid synthesis  n24   unliked  D alanine substituted,{'H': -2400.0},2
LIPO2S24_BS,Lipoteichoic acid synthesis  n24   linked  N acetylglucosamine substituted,{'H': -2400.0},2
LIPO1S24_BS,Lipoteichoic acid synthesis  n24   linked  glucose substituted,{'H': -2400.0},2
LIPATPT_2,Lipoate-ATP adenylate transferase,{'H': -1.0},2
LIPAMPL,Lipoyl-adenylate protein ligase,{'H': 2.0},2
MLTGY4pp,Murein lytic transglycosylase (murein4px4p4p) (periplasm),{'H': -4.0},2
MLTGY3pp,Murein lytic transglycosylase (murein3p3p) (periplasm),{'H': -4.0},2
MLTGY2pp,Murein lytic transglycosylase (murein4p3p) (periplasm),{'H': -2.0},2
MGCH,Methylglutaconyl-CoA hydratase,{'H': 5.0},2
PRASCSi,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,{'H': 3.0},2
PRAMPC_1,Phosphoribosyl AMP cyclohydrolase,{'H': 4.0},2
PPTGS_BS,Peptidoglycan subunit synthesis,{'H': -1.0},2
PPNDH,Prephenate dehydratase,{'H': 2.0},2
PPND,Prephenate dehydrogenase,{'H': 2.0},2
PPM2,Phosphopentomutase 2 (deoxyribose),{'H': 2.0},2
PPM,Phosphopentomutase,{'H': -2.0},2
PLPS_1,Pyridoxal-5-phosphate synthase,{'H': 2.0},2
MLDEP1pp,"Murein L,D-endopeptidase (murein3px3p) (periplasm)",{'H': 4.0},2
MEPCT,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,{'H': 2.0},2
MDDEP3pp,"Murein D,D-endopeptidase (murein5px4p) (periplasm)",{'H': 4.0},2
MDDEP1pp,"Murein D,D-endopeptidase (murein4px4p) (periplasm)",{'H': 4.0},2
MDDCP2pp,"Murein D,D-carboxypeptidase (murein5px4px4p) (periplasm)",{'H': 6.0},2
MCTP2App,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),{'H': -6.0},2
MCTP1App,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),{'H': -4.0},2
PGPP181pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)",{'H': 3.0},2
PGI1c,"Glucose-6-phosphateisomerase,glycosome",{'H': 2.0},2
GTPDPK_1,ATP:GTP 3'-diphosphotransferase,{'H': -7.0},2
MANGLYCptspp,2-O-alpha-mannosyl-D-glycerate transport via PEP:Pyr PTS (periplasm),{'H': -3.0},2
MAN6PI,Mannose-6-phosphate isomerase,{'H': 2.0},2
HACD9,3 hydroxyacyl CoA dehydrogenase  2 Methylacetoacetyl CoA,{'H': -4.0},2
HACD8i,3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA),{'H': 4.0},2
HACD8,"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal",{'H': -4.0},2
HACD3,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),{'H': -4.0},2
HACD1_1,3 hydroxyacyl CoA dehydrogenase  acetoacetyl CoA,{'H': -4.0},2
GUI2,Glucuronate isomerase (D-galacturonate),{'H': -1.0},2
MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,{'H': 1.0},2
GTPDPK,GTP diphosphokinase,{'H': -7.0},2
GPDDA4,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),{'H': 1.0},2
GLYTYRabc,Gly-Try ABC transporters,{'H': 1.0},2
GLYTYRAP,Gly-Try aminopeptidase,{'H': -1.0},2
GLYPHEtr,Gly-Phe ABC transporters,{'H': 1.0},2
GLYPHEAP,Gly-Phe aminopeptidase,{'H': -1.0},2
GLYLEUtr,Gly-Leu ABC transporters,{'H': 1.0},2
GLYLEUAP,Gly-Leu aminopeptidase,{'H': -1.0},2
HEX4,Hexokinase (D-mannose:ATP),{'H': -2.0},2
MLDCP3App,"Murein L,D-carboxypeptidase (murein5px3p) (periplasm)",{'H': -4.0},2
MLDCP1App,"Murein L,D-carboxypeptidase (murein5px4p) (periplasm)",{'H': 4.0},2
MHPGLUT2,5-methyltetrahydropteroyltriglutamate methyltransferase,{'H': 4.0},2
MHPGLUT,5 methyltetrahydropteroyltriglutamate homocysteine S methyltransferase,{'H': 4.0},2
KARA2,Ketol-acid reductoisomerase (2-Acetolactate),{'H': 1.0},2
ILEDHr,Isoleucine dehydrogenase,{'H': -1.0},2
ICHORT,Isochorismatase,{'H': -1.0},2
HKM1PP,2 hydroxy 3 keto 5 methylthiopentenyl 1 phosphate phophatase,{'H': 1.0},2
PRATPP,Phosphoribosyl-ATP pyrophosphatase,{'H': 2.0},2
HEMEOS_1,Heme O synthase,{'H': -2.0},2
HDECH,,{'H': -2.0},2
HCYSMT2,Homocysteine Methyltransferase,{'H': -1.0},2
HACOADr,3 hydroxyacyl CoA dehydrogenase,{'H': -1.0},2
MCTC_1,,{'H': -5.0},2
MCCC,Methylcrotonoyl-CoA carboxylase,{'H': -5.0},2
MCBTFUexs,Mycobactin Fe loading reaction  spontaneous,{'H': 3.0},2
MANpts,D-mannose transport via PEP:Pyr PTS,{'H': -2.0},2
ACOAM,Acetate CoA ligase AMP-forming,{'H': -2.0},2
RPI,Ribose-5-phosphate isomerase,{'H': 2.0},2
RHACOAR80,3R  3 Hydroxyacyl CoANADP oxidoreductase,{'H': -4.0},2
REPHACCOAI,"Ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",{'H': -4.0},2
ACPPAT181,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:1),{'H': -2.0},2
ACPPAT180,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0),{'H': -3.0},2
ACPPAT161,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1),{'H': -3.0},2
ACPPAT160,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:0),{'H': -2.0},2
ACP1_FMN,Acid phosphatase (FMN),{'H': 2.0},2
RU5PS,Ribulose-5-P Synthetase,{'H': -2.0},2
ACOAD6,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),{'H': -4.0},2
ACOAD4_1,Acyl CoA dehydrogenase  decanoyl CoA,{'H': 4.0},2
