carbon_source,reaction_id,flux
Glucose,PGM,-10.000000000000002
Glucose,EX_gthrd_e,-10.0
Glucose,EX_h2o_e,-10.0
Glucose,PGK,-10.0
Glucose,EX_nmn_e,-10.0
Fructose,PGM,-10.0
Fructose,EX_gthrd_e,-10.0
Fructose,EX_h2o_e,-10.0
Fructose,PGK,-10.0
Fructose,EX_nmn_e,-10.0
Glycerol,PGM,-10.0
Glycerol,EX_gthrd_e,-10.0
Glycerol,EX_h2o_e,-10.0
Glycerol,PGK,-10.0
Glycerol,EX_nmn_e,-10.0
Sucrose,PGM,-10.0
Sucrose,EX_gthrd_e,-10.0
Sucrose,EX_h2o_e,-10.0
Sucrose,PGK,-10.0
Sucrose,EX_nmn_e,-10.0
Maltose,PGM,-10.0
Maltose,EX_gthrd_e,-10.0
Maltose,AH6PI,-9.999999999999998
Maltose,EX_h2o_e,-10.0
Maltose,PGK,-10.0
Maltose,EX_nmn_e,-10.0
Maltose,RU5PS,-10.0
Maltose,PGMT,-10.0
Mannose,PGM,-10.0
Mannose,EX_gthrd_e,-10.0
Mannose,EX_h2o_e,-10.0
Mannose,PGK,-10.0
Mannose,EX_nmn_e,-10.0
Mannitol,PGM,-10.0
Mannitol,EX_gthrd_e,-10.0
Mannitol,EX_h2o_e,-10.0
Mannitol,PGK,-10.0
Mannitol,EX_nmn_e,-10.0
Arabinose,PGM,-10.0
Arabinose,EX_gthrd_e,-10.0
Arabinose,EX_h2o_e,-10.0
Arabinose,PGK,-10.0
Arabinose,EX_nmn_e,-10.0
Melibiose,PGM,-10.0
Melibiose,EX_gthrd_e,-10.0
Melibiose,EX_h2o_e,-10.0
Melibiose,PGK,-10.0
Melibiose,EX_nmn_e,-10.0
Acetate,PGM,-10.0
Acetate,EX_gthrd_e,-10.0
Acetate,EX_h2o_e,-10.0
Acetate,PGK,-10.0
Acetate,EX_nmn_e,-10.0
Succinate,PGM,-10.0
Succinate,EX_gthrd_e,-10.0
Succinate,EX_h2o_e,-10.0
Succinate,PGK,-10.0
Succinate,EX_nmn_e,-10.0
Pyruvate,PGM,-10.0
Pyruvate,EX_gthrd_e,-10.0
Pyruvate,EX_h2o_e,-10.0
Pyruvate,PGK,-10.0
Pyruvate,EX_nmn_e,-10.0
