substrate,reaction_id,reaction_name,bounds,flux_in_own_scenario
Glucose,EX_glc__D_e,R_EX_glc__D_e,"(-10.0, 10.0)",0.0
Glucose,GLCpts,D-glucose transport via PEP:Pyr PTS,"(0.0, 1000.0)",0.0
Glucose,GLCabc,D-glucose transport via ABC system,"(0.0, 1000.0)",0.0
Glucose,GLCptspp,D-glucose transport via PEP:Pyr PTS (periplasm),"(0.0, 1000.0)",0.0
Glucose,HEX1,Hexokinase (D-glucose:ATP),"(0.0, 1000.0)",0.0
Glucose,PGI,Glucose-6-phosphate isomerase,"(-10.0, 1000.0)",-3.1963274815530096
Maltose,EX_malt_e,R_EX_malt_e,"(-8.0, 10.0)",-4.250586057331685
Maltose,MALTabc,Maltose transport via ABC system,"(0.0, 1000.0)",0.0
Maltose,MALTpts,Maltose transport via PEP:Pyr PTS,"(0.0, 1000.0)",0.0
Maltose,MALTt2,Maltose transport in via proton symport,"(0.0, 1000.0)",4.250586057331685
Maltose,MALT,Alpha glucosidase,"(0.0, 1000.0)",0.0
Fructose,EX_fru_e,R_EX_fru_e,"(-7.0, 10.0)",0.0
Fructose,FRUpts,D-fructose transport via PEP:Pyr PTS,"(0.0, 1000.0)",0.0
Fructose,FRUpts2,Fructose transport via PEP:Pyr PTS (f6p generating),"(0.0, 1000.0)",0.0
Fructose,HEX7,Hexokinase (D-fructose:ATP),"(0.0, 1000.0)",0.0
Sucrose,EX_sucr_e,R_EX_sucr_e,"(-9.0, 10.0)",0.0
Sucrose,SUCpts,Sucrose transport via PEP:Pyr PTS,"(0.0, 1000.0)",0.0
Sucrose,SUCR,Sucrose hydrolyzing enzyme,"(0.0, 1000.0)",0.0
Sucrose,SUCRt2,Sucrose transport in via proton symport,"(0.0, 1000.0)",0.0
