reaction_id,reaction_name,flux
AACOAR_syn,Acetoacetyl-CoA reductase (R-specific),30.334581673306758
SK_phb_c,Demand reaction for PHB accumulation,30.334581673306758
PHBS_syn_1,PHB synthetase,30.334581673306758
O2tpp,O2 transport via diffusion (periplasm),20.000000000000007
PYK,Pyruvate kinase,20.000000000000004
EX_co2_e,R_EX_co2_e,20.0
O2tex,Oxygen transport via diffusion (extracellular to periplasm),20.0
EX_o2_e,R_EX_o2_e,-20.0
H2Otex,H2O transport via diffusion (extracellular to periplasm),19.999999999999996
ALCD19,Alcohol dehydrogenase (glycerol),19.999999999999996
ACACT1r,Acetyl-CoA C-acetyltransferase,15.21125719344857
OCOAT1,3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate),10.77666666666671
13PPDH,"1,3-propanediol dehydrogenase",10.759141212925625
ALATA_L,L-alanine transaminase,-10.000000000000036
EX_succ_e,R_EX_succ_e,10.000000000000002
ENO,Enolase,10.000000000000002
GLYCK,Glycerate kinase,10.000000000000002
EX_nac_e,R_EX_nac_e,10.000000000000002
PGM,Phosphoglycerate mutase,-10.000000000000002
TARTDC,Tartrate decarboxylase,10.000000000000002
NAPRT,NAPRTase (rev),-10.000000000000002
GALpts,Galactose transport via PTS,-10.0
3NUCLE4,3  nucleotidase  guanosine 3  phosphate,-10.0
EX_23cgmp_e,R_EX_23cgmp_e,-10.0
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),10.0
NACt,Nicotinic acid transport,-10.0
CO2tpp,CO2 transporter via diffusion (periplasm),-10.0
GLYALDt,Glyceraldehyde facilitated diffusion,10.0
CO2tex,CO2 transport via diffusion (extracellular to periplasm),-10.0
CO2t,CO2 transporter via diffusion,-10.0
ALAtpp,L-alanine export via facilited diffusion,10.0
ACACtex,Acetoacetate transport via diffusion (extracellular to periplasm),10.0
ALAtex,L-alanine transport via diffusion (extracellular to periplasm),-10.0
A6PAG,,10.0
EX_nh4_e,R_EX_nh4_e,10.0
EX_nmn_e,R_EX_nmn_e,-10.0
ALCD19y,Alcohol dehydrogenase  glycerol  NADP,-10.0
EX_tartr__L_e,R_EX_tartr__L_e,-10.0
EX_acac_e,R_EX_acac_e,-10.0
NH4t,Ammonia reversible transport,-10.0
GALT,Galactose 1 phosphate uridylyltransferase,-10.0
23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),10.0
TARTRt7,Tartrate/succinate antiporter,10.0
13PPDH2,"1,3-propanediol dehydrogenase",-10.0
EX_ala__L_e,R_EX_ala__L_e,10.0
EX_glyald_e,R_EX_glyald_e,-10.0
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",10.0
GALKr,Galactokinase,-10.0
EX_3gmp_e,R_EX_3gmp_e,10.0
UDPG4E,UDPglucose 4-epimerase,10.0
EX_gthrd_e,R_EX_gthrd_e,-10.0
EX_h2o_e,R_EX_h2o_e,-10.0
EX_h_e,R_EX_h_e,-10.0
EX_gal_e,R_EX_gal_e,10.0
3GMPtex_1,3GMP transport via diffusion (extracellular to cytoplasm),-10.0
EX_pi_e,R_EX_pi_e,9.999999999999998
GSNt2pp,Guanosine transport in via proton symport (periplasm),9.999999999999998
3NTD9pp,3'-nucleotidase (GMP) (periplasm),9.999999999999998
PItex,Phosphate transport via diffusion (extracellular to periplasm),-9.999999999999998
PGMT,Phosphoglucomutase,-9.999999999999998
NMNP,NMN permease,9.999999999999998
ACACt2pp,Acetoacetate transport via proton symport  (periplasm),9.999999999999998
PRPPS,Phosphoribosylpyrophosphate synthetase,-9.99999999999997
NMNDA,Nicotinamide-nucleotide amidase,9.99999999999997
NADHPO,NADH peroxidase,9.946239486498833
NOX,NADH oxidase,9.946239486498799
EX_4abut_e,R_EX_4abut_e,-9.263873395307408
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,9.263873395307408
