,uptake_flux
EX_23camp_e,0.043863132103408864
EX_23cgmp_e,4.438271943484587
EX_4abut_e,5.9605848575719405
EX_arg__L_e,0.06350736217925176
EX_asn__L_e,0.05175517657718781
EX_bz_e,2.1470277147202014e-05
EX_ca2_e,0.0011175279255117654
EX_cit_e,3.622629351610264
EX_cl_e,0.001117527925511865
EX_cobalt2_e,2.1470277147202007e-05
EX_cu2_e,0.00015222426497366225
EX_cytd_e,0.03446516239054601
EX_fe2_e,0.001441729110434615
EX_fe3_e,0.0016763992396535328
EX_fol_e,0.00014363615411478218
EX_gam_e,0.031346604634914926
EX_his__L_e,0.020340511163716244
EX_k_e,0.041908478071938024
EX_leu__L_e,0.09904904426595806
EX_lysglugly_e,0.07367761776110988
EX_malt_e,3.437594900583938
EX_metox__R_e,0.03302321857733993
EX_mg2_e,0.0018625465425197744
EX_mmet_e,2.147027714720201e-05
EX_mn2_e,0.00014835961508716591
EX_nmn_e,4.687752269879638
EX_o2_e,7.5677324879556735
EX_phe__L_e,0.03977690895676381
EX_pnto__R_e,0.00012366879636785592
EX_pro__L_e,0.04746112114774741
EX_ribflv_e,9.575743607652097e-05
EX_ser__L_e,0.0619378849197913
EX_so4_e,0.0009313806226456232
EX_tartr__L_e,8.061969563382267
EX_thm_e,4.7878718038260494e-05
EX_thr__L_e,0.1733684086109983
EX_trp__L_e,0.01220434963878404
EX_tsul_e,0.00989307430388773
EX_tyr__L_e,0.02960665337490568
EX_uri_e,0.03655744089853777
EX_zn2_e,7.321364507195887e-05
