carbon_source,aeration,o2_uptake_bound,max_growth_rate_1_h,growth_coupled_PHB_flux
Glucose,Anaerobic,0.0,0.22061921322508576,2.14887310384615
Glucose,Microaerobic,2.0,0.3341050388815971,5.620242832022402
Glucose,Aerobic,20.0,0.41371708098125953,4.6112718019109264
Glucose,Hyperaerobic,40.0,0.4137170809812612,5.1543888888889295
Fructose,Anaerobic,0.0,0.22061921322508446,2.148873103847052
Fructose,Microaerobic,2.0,0.3341050388815971,5.620242832022324
Fructose,Aerobic,20.0,0.4137170809812686,4.611271801910529
Fructose,Hyperaerobic,40.0,0.4137170809812033,5.154388888894793
Glycerol,Anaerobic,0.0,0.23535093381235728,2.5980912963575293
Glycerol,Microaerobic,2.0,0.33410503888159715,5.620242832022353
Glycerol,Aerobic,20.0,0.4137170809812496,4.6112718019124195
Glycerol,Hyperaerobic,40.0,0.41371708098126403,5.154388888888629
Sucrose,Anaerobic,0.0,0.2206192132250859,2.148873103846499
Sucrose,Microaerobic,2.0,0.33410503888159676,5.620242832022409
Sucrose,Aerobic,20.0,0.4137170809812536,4.611271801911636
Sucrose,Hyperaerobic,40.0,0.41371708098126,5.1543888888889775
Maltose,Anaerobic,0.0,0.22061921322505934,2.148873103848811
Maltose,Microaerobic,2.0,0.34853788773852634,5.225502624024718
Maltose,Aerobic,20.0,0.429405542944041,4.678907691915101
Maltose,Hyperaerobic,40.0,0.4294055429440394,5.334944444444228
Mannose,Anaerobic,0.0,0.2206192132250866,2.148873103846331
Mannose,Microaerobic,2.0,0.3341050388815954,5.62024283202248
Mannose,Aerobic,20.0,0.41371708098235815,4.611271801822163
Mannose,Hyperaerobic,40.0,0.413717080981252,5.154388888889954
Mannitol,Anaerobic,0.0,0.2206192132250857,2.1488731038466238
Mannitol,Microaerobic,2.0,0.33410503888154625,5.620242832025487
Mannitol,Aerobic,20.0,0.4137170809812596,4.61127180191127
Mannitol,Hyperaerobic,40.0,0.41371708098125576,5.154388888888613
Arabinose,Anaerobic,0.0,0.2206192132250855,2.148873103846532
Arabinose,Microaerobic,2.0,0.33410503888159737,5.624479358467068
Arabinose,Aerobic,20.0,0.4137170809812654,4.611271801910797
Arabinose,Hyperaerobic,40.0,0.4137170809812357,5.154388888891775
Melibiose,Anaerobic,0.0,0.22061921322508596,2.1488731038464866
Melibiose,Microaerobic,2.0,0.33410503888159626,5.620242832022414
Melibiose,Aerobic,20.0,0.4137170809812597,4.611271801911121
Melibiose,Hyperaerobic,40.0,0.41371708098126253,5.154388888888848
Acetate,Anaerobic,0.0,0.2206192132250851,2.1488731038468036
Acetate,Microaerobic,2.0,0.33410503888159643,5.62024283202234
Acetate,Aerobic,20.0,0.4137170809812714,4.611271801911157
Acetate,Hyperaerobic,40.0,0.41371708098126353,5.154388888888724
Succinate,Anaerobic,0.0,0.22061921322508596,2.1488731038464834
Succinate,Microaerobic,2.0,0.3341050388815983,5.620242832022293
Succinate,Aerobic,20.0,0.41371708098125665,4.611271801911358
Succinate,Hyperaerobic,40.0,0.41371708098126353,5.154388888888726
Pyruvate,Anaerobic,0.0,0.22061921322508596,2.1488731038461797
Pyruvate,Microaerobic,2.0,0.3352628551706131,5.604557848057073
Pyruvate,Aerobic,20.0,0.41371708098126236,4.611271801910986
Pyruvate,Hyperaerobic,40.0,0.4137170809812639,5.154388888889124
