reaction_id,reaction_name,subsystem,distance_from_PHB
PHBS_syn_1,PHB synthetase,,0
AACOAR_syn,Acetoacetyl-CoA reductase (R-specific),,1
ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,,2
ACACT1r,Acetyl-CoA C-acetyltransferase,,2
BUTCT2,,,2
HACD1,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),,2
HACD1_1,3 hydroxyacyl CoA dehydrogenase  acetoacetyl CoA,,2
HACD1i,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),,2
OCOAT1,3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate),,2
3OXCOAT,3-oxoadipyl-CoA thiolase,,3
AABTN,4 acetamidobutyrate deacetylase,,3
AACLAM,Acetyl adenylate CoA ligase AMP-forming,,3
ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),,3
ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),,3
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),,3
ACACT5r,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),,3
ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,,3
ACACT6r_1,Acetyl CoA C acyltransferase  dodecanoyl CoA,,3
ACACT7r,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),,3
ACACT8r,"Acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)",,3
ACACt2pp,Acetoacetate transport via proton symport  (periplasm),,3
ACCOAC,Acetyl-CoA carboxylase,,3
ACGS,N-acetylglutamate synthase,,3
ACKr,Acetate kinase,,3
ACOAD1,Acyl-CoA dehydrogenase (butanoyl-CoA),,3
ACOAD1fr,Acyl-CoA dehydrogenase (butanoyl-CoA),,3
ACOAM,Acetate CoA ligase AMP-forming,,3
ACODA,Acetylornithine deacetylase,,3
ACOXT,Acetyl-CoA:oxalate CoA-transferase,,3
ACS,Acetyl-CoA synthetase,,3
ACSERHS,O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide),,3
ACS_1,Acetyl-CoA synthetase,,3
ACTD2,Acetoin dehydrogenase,,3
ACt2rpp,Acetate reversible transport via proton symport (periplasm),,3
ACt4pp,Na+/Acetate symport (periplasm),,3
ADPDA,N6 acetyl LL 2 6 diaminoheptanedioate amidohydrolase,,3
AGDC,N-acetylglucosamine-6-phosphate deacetylase,,3
AHSERL2,O acetylhomoserine  thiol  lyase,,3
AHSERL4,Cysteine synthase  Thiosulfate,,3
AKGDH,2-Oxogluterate dehydrogenase,,3
ALDD2x,"Aldehyde dehydrogenase (acetaldehyde, NAD)",,3
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",,3
ALDD4,"Aldehyde dehydrogenase (butanal, NAD)",,3
AMID4,Amidase,,3
AMID_1,Acetamidase,,3
APATi,Tetrahydrodipicolinate acetyltransferase,,3
BDH,3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN,,3
BSCT,Benzoylsuccinyl-CoA thiolase,,3
BUTCT,Acetyl-CoA:butyrate-CoA transferase,,3
BUTKr,Butyrate kinase,,3
BUTt2rpp,"Butyrate transport via proton symport, reversible (periplasm)",,3
BUTt4pp,Butyrate transport via sodium symport (periplasm),,3
CS,Citrate synthase,,3
CYSGL,Cystathionine gamma-lyase,,3
CYSS,Cysteine synthase,,3
CYSS_2,Cysteine synthase,,3
DAPDA,"N-acetyl-L,L-diaminopimelate deacetylase",,3
DHPACCOAHIT,"1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA Hydratase/Isomerase/Ketothiolase complex",,3
ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),,3
ECOAH1_1,3 hydroxyacyl CoA dehydratase  3 hydroxybutanoyl CoA,,3
FRD2,Fumarate reductase,,3
FRD3,Fumarate reductase,,3
FRDx,Fumarate reductase NADH,,3
FUMAC,Fumarylacetoacetase,,3
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,,3
GLUTARH,Glutarate hydroxylase,,3
GLYAT,Glycine C-acetyltransferase,,3
HMGL,Hydroxymethylglutaryl-CoA lyase,,3
HMGL_2,,,3
HMR_9610,Na+/succinate symporter,,3
HSERTA,Homoserine O trans acetylase,,3
HXCT,Acetyl-CoA:hexanoate-CoA transferase,,3
IBTMr,Isobutyryl-CoA mutase,,3
ICL,Isocitrate lyase,,3
IPPS,2-isopropylmalate synthase,,3
KAS13,B-ketoacyl synthetase (octadecanoate),,3
KAS17,B-ketoacyl synthetase (n-C18:1),,3
KAS2,B-ketoacyl synthetase (n-C14:0),,3
KAS7,B-ketoacyl synthetase (n-C16:1),,3
KAS8,"B-ketoacyl synthetase (palmitate, n-C16:0)",,3
MACCOAT,2-Methylacetyl-CoA thiolase,,3
MALS,Malate synthase,,3
MCITL2,Methylisocitrate lyase,,3
METB1,Metb1 (rev),,3
MMM,Methylmalonyl-CoA mutase,,3
MMM2,Methylmalonyl-CoA mutase,,3
MMSAD3,Methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde),,3
OCOAT2r,3-oxoacid CoA-transferase (Succinyl-CoA: 3-methylbutanoate),,3
OXDHCOAT,"3-oxo-5,6-dehydrosuberyl-CoA thiolase",,3
PBUTT,Phosphate butyryltransferase,,3
PDH,Pyruvate dehydrogenase,,3
PDHbr,Pyruvate dehydrogenase (dihydrolipoamide) reversible,,3
PHHL,,,3
POR_syn,Pyruvate-ferredoxin oxidoreductase,,3
PROAKGOX1,Prolyl 4-hydroxylase,,3
PTAr,Phosphotransacetylase,,3
PTRCAT1,Putrescine acetyltransferase,,3
SDPDS,Succinyl-diaminopimelate desuccinylase,,3
SERAT,Serine O-acetyltransferase,,3
SHSL1,O-succinylhomoserine lyase (L-cysteine),,3
SHSL2,O succinylhomoserine lyase  H2S,,3
SHSL2r,O-succinylhomoserine lyase (H2S),,3
SHSL3,O succinylhomoserine lyase  methanethiol,,3
SHSL4r,O succinylhomoserine lyase  elimination   reversible,,3
SLCYSS,O-acetyl-L-serine sulfhydrylase,,3
SSALx,Succinate-semialdehyde dehydrogenase (NAD),,3
SSALy,Succinate-semialdehyde dehydrogenase (NADP),,3
SSCOARy,Succinyl-coA reductase (NADPH),,3
SUCBZT1,Succinyl:benzoate CoA transferase,,3
SUCCt2_2pp,Succinate transport via proton symport (2 H) (periplasm),,3
SUCD1,Succinate dehydrogenase,,3
SUCD2,Succinate dehydrogenase dehydrogenase (menaquinone 8 as acceptor),,3
SUCOAS,Succinyl-CoA synthetase (ADP-forming),,3
TARTRt7,Tartrate/succinate antiporter,,3
TARTRt7pp,Tartrate/succinate antiporter (periplasm),,3
THDPS,Tetrahydrodipicolinate succinylase,,3
THPAT,"L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase",,3
23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",,4
23PDE4pp,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)",,4
23PDE7pp,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)",,4
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",,4
2S6HCCi,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,,4
3MBt2pp,H+/Isovalerate symport (periplasm),,4
3MBt4pp,Na+/Isovalerate symport (periplasm),,4
4ABUTD,4-Aminobutyraldehyde:NAD+ oxidoreductase,,4
4HPROE,4 hydroxyproline epimerase,,4
4HPROLTabcpp,Trans 4 Hydroxy D proline transport via ABC system,,4
4HPRO_LT_Et,Trans-4-Hydroxy-L-proline transport (transport mechanism unknown - evidence from biolog data),,4
4HTHRA,4-hydroxy-L-threonine aldolase,,4
AACPS3,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),,4
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),,4
AACPS5,Acyl-[acyl-carrier-protein] synthetase  (n-C18:1),,4
AACPS6,Acyl-[acyl-carrier-protein] synthetase  (n-C18:0),,4
ABTA,4-aminobutyrate transaminase,,4
ABUTD,Aminobutyraldehyde dehydrogenase,,4
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,,4
ACACtex,Acetoacetate transport via diffusion (extracellular to periplasm),,4
ACALDt,Acetaldehyde reversible transport,,4
ACALDtpp,Acetaldehyde reversible transport (periplasm),,4
ACGAMK,N-acetylglucosamine kinase,,4
ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,,4
ACGAptspp,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),,4
ACGK,Acetylglutamate kinase,,4
ACHBS,2-aceto-2-hydroxybutanoate synthase,,4
ACLDC,Acetolactate decarboxylase,,4
ACLS,Acetolactate synthase,,4
ACLS_a,Acetolactate synthase,,4
ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,,4
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,,4
ACMANApts,N-acetyl-D-mannosamine transport via PTS,,4
ACOAD2,Acyl-CoA dehydrogenase (hexanoyl-CoA),,4
ACOAD3,Acyl-CoA dehydrogenase (octanoyl-CoA),,4
ACOAD4_1,Acyl CoA dehydrogenase  decanoyl CoA,,4
ACOAD5_1,Acyl CoA dehydrogenase  dodecanoyl CoA,,4
ACOAD6,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),,4
ACOAD7,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),,4
ACOADH2,Acyl CoA dehydrogenase  isobutyryl CoA,,4
ACONCt4pp,Citrate transport via sodium symport  periplasm,,4
ACONT,Aconitate hydratase,,4
ACONTa,"Aconitase (half-reaction A, Citrate hydro-lyase)",,4
ACONTb,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",,4
ACOTA,Acetylornithine transaminase,,4
ACS2,Acetyl-CoA synthase (propionate),,4
ACTD,Acetoin dehydrogenase,,4
ACTD_1,,,4
ACTDa,Acetoin dehydrogenase,,4
ACTNabc,Acetoin transport via ABC system,,4
ACTNabc1,Acetoin efflux  via ABC system,,4
ACtex,Acetate transport via diffusion (extracellular to periplasm),,4
ADAPAT,"E N-acetyl-L,L-diaminopimelate aminotransferase",,4
ADCL,4-aminobenzoate synthase,,4
ADCS,4-amino-4-deoxychorismate synthase,,4
ADNt2pp,Adenosine transport in via proton symport (periplasm),,4
ADSL1r,Adenylsuccinate lyase,,4
ADSL2r,Adenylosuccinate lyase,,4
ADtr,"Acetamide transport, extracellular",,4
AEPPYRTA,2 aminoethylphosphonate pyruvate transaminase,,4
AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),,4
AGMPTRCtpp,Agmatine/putrescine antiporter (periplasm),,4
AGMT,Agmatinase,,4
AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),,4
AGPATr_BS,1 acylglycerol 3 phosphate O acyltransferase,,4
AHCi,Adenosylhomocysteinase,,4
ALAD_L,L-alanine dehydrogenase,,4
ALATA_D,D-alanine transaminase,,4
ALATA_D2,D-alanine transaminase,,4
ALATA_L,L-alanine transaminase,,4
ALATA_L2,Alanine transaminase,,4
ALAt2pp,L-alanine transport in via proton symport (periplasm),,4
ALCD2ir,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol,,4
ALCD2x,Alcohol dehydrogenase (ethanol),,4
ALCD2y,"Alcohol dehydrogenase (ethanol, NADP)",,4
ALDD31_1,Aldehyde dehydrogenase  aminoacetaldehyde  NAD,,4
ALDD6,Aldehyde dehydrogenase  hexanal  NAD,,4
AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,,4
AMMQLT8,S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8),,4
AMMQT8_2,S-adenosylmethione:2-demethylmenaquinone methyltransferase,,4
AMPEP1,Aminopeptidase,,4
AMPEP10,Aminopeptidase,,4
AMPEP11,Aminopeptidase,,4
AMPEP14,Aminopeptidase,,4
AMPEP15,Aminopeptidase,,4
AMPEP16,Aminopeptidase,,4
