reaction_id,reaction_name,distance_from_PHB,flux,abs_flux,capacity_bound,flux_to_capacity_ratio,bottleneck_score
SUCD1,Succinate dehydrogenase,3,-3.8482811042228713,3.8482811042228713,10.0,0.38482811042228715,0.07456649023291113
PYK,Pyruvate kinase,4,19.860486139097492,19.860486139097492,1000.0,0.019860486139097494,0.019860486139097494
H2Otex,H2O transport via diffusion (extracellular to periplasm),5,19.25977810055015,19.25977810055015,1000.0,0.01925977810055015,0.018677239312495878
CYTB_B2,Menaquinol oxidase  71 protons,4,13.994693221327752,13.994693221327752,1000.0,0.013994693221327752,0.009861361750532502
PGM,Phosphoglycerate mutase,6,-10.000000000000002,10.000000000000002,1000.0,0.010000000000000002,0.005035123475811568
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,4,10.000000000000002,10.000000000000002,1000.0,0.010000000000000002,0.005035123475811568
TARTDC,Tartrate decarboxylase,4,10.000000000000002,10.000000000000002,1000.0,0.010000000000000002,0.005035123475811568
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),5,10.000000000000002,10.000000000000002,1000.0,0.010000000000000002,0.005035123475811568
GLYCK,Glycerate kinase,5,10.000000000000002,10.000000000000002,1000.0,0.010000000000000002,0.005035123475811568
ENO,Enolase,5,10.000000000000002,10.000000000000002,1000.0,0.010000000000000002,0.005035123475811568
NAPRT,NAPRTase (rev),5,-10.000000000000002,10.000000000000002,1000.0,0.010000000000000002,0.005035123475811568
PTAr,Phosphotransacetylase,3,10.0,10.0,1000.0,0.01,0.005035123475811566
ABTA,4-aminobutyrate transaminase,4,10.0,10.0,1000.0,0.01,0.005035123475811566
ALAtpp,L-alanine export via facilited diffusion,5,10.0,10.0,1000.0,0.01,0.005035123475811566
ALAtex,L-alanine transport via diffusion (extracellular to periplasm),5,-10.0,10.0,1000.0,0.01,0.005035123475811566
SSCOARy,Succinyl-coA reductase (NADPH),3,-10.0,10.0,1000.0,0.01,0.005035123475811566
SUCOAS,Succinyl-CoA synthetase (ADP-forming),3,-10.0,10.0,1000.0,0.01,0.005035123475811566
TARTRt7,Tartrate/succinate antiporter,3,10.0,10.0,1000.0,0.01,0.005035123475811566
ACKr,Acetate kinase,3,-10.0,10.0,1000.0,0.01,0.005035123475811566
NACt,Nicotinic acid transport,6,-10.0,10.0,1000.0,0.01,0.005035123475811566
PGMT,Phosphoglucomutase,5,-10.0,10.0,1000.0,0.01,0.005035123475811566
ALATA_L,L-alanine transaminase,4,-10.0,10.0,1000.0,0.01,0.005035123475811566
NMNP,NMN permease,7,9.999999999999998,9.999999999999998,1000.0,0.009999999999999998,0.0050351234758115645
NMNDA,Nicotinamide-nucleotide amidase,6,9.999119632755857,9.999119632755857,1000.0,0.009999119632755857,0.00503423696328045
A6PAG,,5,9.920774677326829,9.920774677326829,1000.0,0.009920774677326829,0.004955657656563374
GALKr,Galactokinase,5,-9.920774677326829,9.920774677326829,1000.0,0.009920774677326829,0.004955657656563374
UDPG4E,UDPglucose 4-epimerase,6,9.920774677326827,9.920774677326827,1000.0,0.009920774677326827,0.004955657656563372
GALT,Galactose 1 phosphate uridylyltransferase,5,-9.920774677326827,9.920774677326827,1000.0,0.009920774677326827,0.004955657656563372
GALpts,Galactose transport via PTS,4,-9.920774677326827,9.920774677326827,1000.0,0.009920774677326827,0.004955657656563372
PRPPS,Phosphoribosylpyrophosphate synthetase,5,-9.770867999949548,9.770867999949548,1000.0,0.009770867999949548,0.004807025407323511
PItex,Phosphate transport via diffusion (extracellular to periplasm),5,-9.629889050275072,9.629889050275072,1000.0,0.009629889050275071,0.004669309828123966
23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",4,9.550935412488924,9.550935412488924,1000.0,0.009550935412488923,0.004593058126304265
3NTD9pp,3'-nucleotidase (GMP) (periplasm),5,9.550935412488924,9.550935412488924,1000.0,0.009550935412488923,0.004593058126304265
GSNt2pp,Guanosine transport in via proton symport (periplasm),4,9.550935412488924,9.550935412488924,1000.0,0.009550935412488923,0.004593058126304265
23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),5,9.550935412488922,9.550935412488922,1000.0,0.009550935412488921,0.004593058126304264
3GMPtex_1,3GMP transport via diffusion (extracellular to cytoplasm),6,-9.457367214691994,9.457367214691994,1000.0,0.009457367214691993,0.004503504798780088
3NUCLE4,3  nucleotidase  guanosine 3  phosphate,5,-9.457367214691994,9.457367214691994,1000.0,0.009457367214691993,0.004503504798780088
NOX,NADH oxidase,5,9.369949381507002,9.369949381507002,1000.0,0.009369949381507002,0.004420634560357902
SUCD2,Succinate dehydrogenase dehydrogenase (menaquinone 8 as acceptor),3,8.921506486024743,8.921506486024743,1000.0,0.008921506486024742,0.004007619824748079
TRDR,Thioredoxin reductase (NADPH),4,8.742275813086705,8.742275813086705,1000.0,0.008742275813086705,0.003848213274176875
THIORDXi,Hydrogen peroxide reductase (thioredoxin),4,8.651839527557794,8.651839527557794,1000.0,0.008651839527557794,0.0037690078020423032
PGI,Glucose-6-phosphate isomerase,5,-8.209187381526132,8.209187381526132,1000.0,0.008209187381526132,0.0033932078496478465
RPI,Ribose-5-phosphate isomerase,5,6.666108482401395,6.666108482401395,1000.0,0.0066661084824013945,0.0022374579347111162
RPE,Ribulose 5-phosphate 3-epimerase,5,6.666022300708926,6.666022300708926,1000.0,0.006666022300708926,0.0022374000818676837
FUM,Fumarase,4,5.073225381801866,5.073225381801866,1000.0,0.005073225381801867,0.0012959207339789858
SUCD5_BS,Succinate dehydrogenase,4,5.073186735303003,5.073186735303003,1000.0,0.005073186735303003,0.0012959009900864343
SDPDS,Succinyl-diaminopimelate desuccinylase,3,5.073186735303001,5.073186735303001,1000.0,0.005073186735303001,0.0012959009900864332
SDPTA,Succinyldiaminopimelate transaminase,4,-5.0731867353030005,5.0731867353030005,1000.0,0.005073186735303,0.0012959009900864328
THDPS,Tetrahydrodipicolinate succinylase,3,5.0731867353030005,5.0731867353030005,1000.0,0.005073186735303,0.0012959009900864328
THPAT,"L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase",3,-5.0693220854165055,5.0693220854165055,1000.0,0.005069322085416506,0.0012939273603732304
ADAPAT,"E N-acetyl-L,L-diaminopimelate aminotransferase",4,-5.0693220854165055,5.0693220854165055,1000.0,0.005069322085416506,0.0012939273603732304
DAPDA,"N-acetyl-L,L-diaminopimelate deacetylase",3,-5.0693220854165055,5.0693220854165055,1000.0,0.005069322085416506,0.0012939273603732304
GTHPe,Glutathione peroxidase,6,5.0,5.0,1000.0,0.005,0.0012587808689528916
ME2,Malic enzyme (NADP),4,4.975209744915556,4.975209744915556,1000.0,0.004975209744915557,0.001246329613109236
ACS,Acetyl-CoA synthetase,3,4.930677914583494,4.930677914583494,1000.0,0.004930677914583494,0.0012241183084386576
ACACT1r,Acetyl-CoA C-acetyltransferase,2,4.678907691915054,4.678907691915054,1000.0,0.004678907691915054,0.0011022981530328588
AACOAR_syn,Acetoacetyl-CoA reductase (R-specific),1,4.678907691915054,4.678907691915054,1000.0,0.004678907691915054,0.0011022981530328588
PHBS_syn_1,PHB synthetase,0,4.678907691915053,4.678907691915053,1000.0,0.0046789076919150525,0.0011022981530328581
H2tex,Hydrogen transport via diffusion (extracellular to periplasm),5,-3.4793084683793256,3.4793084683793256,1000.0,0.0034793084683793257,0.0006095312739754614
H2tpp,Hydrogen transport diffusion (periplasm),4,-3.4793084683793256,3.4793084683793256,1000.0,0.0034793084683793257,0.0006095312739754614
PHACOAOR,Phenylacetyl-CoA oxygenase/reductase,4,3.4793084683793256,3.4793084683793256,1000.0,0.0034793084683793257,0.0006095312739754614
PACALDt,Phenylacetaldehyde transport  extracellular,7,-3.4793084683793256,3.4793084683793256,1000.0,0.0034793084683793257,0.0006095312739754614
DHPACCOAHIT,"1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA Hydratase/Isomerase/Ketothiolase complex",3,3.4793084683793256,3.4793084683793256,1000.0,0.0034793084683793257,0.0006095312739754614
PACCOAL,Phenylacetate-CoA ligase,5,3.4793084683793256,3.4793084683793256,1000.0,0.0034793084683793257,0.0006095312739754614
ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",6,3.4793084683793256,3.4793084683793256,1000.0,0.0034793084683793257,0.0006095312739754614
3OXCOAT,3-oxoadipyl-CoA thiolase,3,3.4793084683793256,3.4793084683793256,1000.0,0.0034793084683793257,0.0006095312739754614
HADPCOADH,3-hydroxyadipyl-CoA dehydrogenase,4,3.479308468379325,3.479308468379325,1000.0,0.0034793084683793253,0.0006095312739754613
TKT1,Transketolase,5,3.3330111503544626,3.3330111503544626,1000.0,0.0033330111503544627,0.0005593500204669207
TKT2,Transketolase,5,3.3330111503544626,3.3330111503544626,1000.0,0.0033330111503544627,0.0005593500204669207
TALA,Transaldolase,5,3.3330111503544626,3.3330111503544626,1000.0,0.0033330111503544627,0.0005593500204669207
ALCD19,Alcohol dehydrogenase (glycerol),6,-2.6690505211441016,2.6690505211441016,1000.0,0.0026690505211441015,0.0003586936711682791
GLYCt,Glycerol transport via channel,6,-2.6690505211441016,2.6690505211441016,1000.0,0.0026690505211441015,0.0003586936711682791
GLYALDt,Glyceraldehyde facilitated diffusion,6,-2.6690505211441016,2.6690505211441016,1000.0,0.0026690505211441015,0.0003586936711682791
PDH,Pyruvate dehydrogenase,3,1.8986406353883003,1.8986406353883003,1000.0,0.0018986406353883004,0.00018150795691003672
GLUt2r,L glutamate transport via proton symport  reversible,4,1.7992129123680471,1.7992129123680471,1000.0,0.0017992129123680471,0.00016299536080636014
TPI,Triose-phosphate isomerase,5,-1.7894507158538697,1.7894507158538697,1000.0,0.0017894507158538698,0.00016123139393683743
AKGDH,2-Oxogluterate dehydrogenase,3,1.593955559921404,1.593955559921404,1000.0,0.001593955559921404,0.00012792709650760902
FBP,Fructose-bisphosphatase,5,1.5431650808172048,1.5431650808172048,1000.0,0.001543165080817205,0.00011990433919770028
FBA,Fructose-bisphosphate aldolase,5,-1.5431650808172048,1.5431650808172048,1000.0,0.001543165080817205,0.00011990433919770028
OXAtpp,OxalateH antiporter  periplasm,4,-0.15251517220565827,0.15251517220565827,10.0,0.015251517220565827,0.00011712139164171853
ACLS,Acetolactate synthase,4,1.3973792266694738,1.3973792266694738,1000.0,0.0013973792266694738,9.831928027599179e-05
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",4,1.3973792266694738,1.3973792266694738,1000.0,0.0013973792266694738,9.831928027599179e-05
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",5,-1.3973792266694736,1.3973792266694736,1000.0,0.0013973792266694736,9.831928027599178e-05
Htex,Proton transport via diffusion (extracellular to periplasm),4,1.3893328817606667,1.3893328817606667,1000.0,0.0013893328817606667,9.719026225352576e-05
VALtex,L-valine transport via diffusion (extracellular to periplasm),5,-1.2338419291425515,1.2338419291425515,1000.0,0.0012338419291425516,7.665300312630682e-05
