reaction_id,reaction_name,subsystem,distance_from_PHB,minimum,maximum,flux_range
PHBS_syn_1,PHB synthetase,,0,0.0,4.678907691915098,4.678907691915098
AACOAR_syn,Acetoacetyl-CoA reductase (R-specific),,1,0.0,4.678907691915118,4.678907691915118
ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,,2,0.0,8.40927895880111,8.40927895880111
ACACT1r,Acetyl-CoA C-acetyltransferase,,2,-3.4489445658411126,4.678907691915118,8.127852257756231
BUTCT2,,,2,0.0,8.409278958801094,8.409278958801094
HACD1,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),,2,0.0,0.0,0.0
HACD1_1,3 hydroxyacyl CoA dehydrogenase  acetoacetyl CoA,,2,0.0,2.588595534861048,2.588595534861048
HACD1i,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),,2,0.0,0.0,0.0
OCOAT1,3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate),,2,-8.409278958801094,3.4504131327979666,11.859692091599062
3OXCOAT,3-oxoadipyl-CoA thiolase,,3,0.0,4.043724988262687,4.043724988262687
AABTN,4 acetamidobutyrate deacetylase,,3,0.0,1.0985718521497159,1.0985718521497159
AACLAM,Acetyl adenylate CoA ligase AMP-forming,,3,0.0,11.118398100349905,11.118398100349905
ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),,3,-2.0543769331603294,0.0022327267167270414,2.0566096598770565
ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),,3,-2.0543769331603223,0.0022327267167270583,2.0566096598770494
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),,3,-2.0543769331603525,0.0022327267167270536,2.0566096598770796
ACACT5r,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),,3,-2.733853622978226e-15,2.0563865511016597,2.0563865511016624
ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,,3,-2.054376933160361,0.0022327267167302246,2.056609659877091
ACACT6r_1,Acetyl CoA C acyltransferase  dodecanoyl CoA,,3,-1.9017836512160997,0.002232840529859694,1.9040164917459594
ACACT7r,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),,3,-0.27450082282402627,0.0017176221717761413,0.2762184449958024
ACACT8r,"Acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)",,3,0.0,0.0,0.0
ACACt2pp,Acetoacetate transport via proton symport  (periplasm),,3,0.0,3.4504131327980407,3.4504131327980407
ACCOAC,Acetyl-CoA carboxylase,,3,0.0731191758525114,2.005445955302897,1.9323267794503858
ACGS,N-acetylglutamate synthase,,3,0.0,2.4622820512819668,2.4622820512819668
ACKr,Acetate kinase,,3,-10.0,8.413143608687548,18.413143608687548
ACOAD1,Acyl-CoA dehydrogenase (butanoyl-CoA),,3,0.0,2.5885955348610237,2.5885955348610237
ACOAD1fr,Acyl-CoA dehydrogenase (butanoyl-CoA),,3,0.0,2.5885955348610223,2.5885955348610223
ACOAM,Acetate CoA ligase AMP-forming,,3,0.0,11.118398100349916,11.118398100349916
ACODA,Acetylornithine deacetylase,,3,0.0,2.46228205128196,2.46228205128196
ACOXT,Acetyl-CoA:oxalate CoA-transferase,,3,0.0,0.0,0.0
ACS,Acetyl-CoA synthetase,,3,0.0,11.118398100349973,11.118398100349973
ACSERHS,O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide),,3,0.0,2.4622820512819703,2.4622820512819703
ACS_1,Acetyl-CoA synthetase,,3,0.0,11.118398100349937,11.118398100349937
ACTD2,Acetoin dehydrogenase,,3,0.0,3.450413132798018,3.450413132798018
ACt2rpp,Acetate reversible transport via proton symport (periplasm),,3,0.0,3.193309705352061,3.193309705352061
ACt4pp,Na+/Acetate symport (periplasm),,3,0.0,3.1933097053520325,3.1933097053520325
ADPDA,N6 acetyl LL 2 6 diaminoheptanedioate amidohydrolase,,3,0.0,8.413143608687527,8.413143608687527
AGDC,N-acetylglucosamine-6-phosphate deacetylase,,3,0.0,1.6118186551474671,1.6118186551474671
AHSERL2,O acetylhomoserine  thiol  lyase,,3,0.0,10.0,10.0
AHSERL4,Cysteine synthase  Thiosulfate,,3,0.0,2.4622820512819725,2.4622820512819725
AKGDH,2-Oxogluterate dehydrogenase,,3,1.5907983341966268,7.980464924720038,6.389666590523412
ALDD2x,"Aldehyde dehydrogenase (acetaldehyde, NAD)",,3,0.0,3.1933097053520654,3.1933097053520654
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",,3,0.0,3.193309705352133,3.193309705352133
ALDD4,"Aldehyde dehydrogenase (butanal, NAD)",,3,0.0,1.00066922507251,1.00066922507251
AMID4,Amidase,,3,0.0,2.2410918452018036,2.2410918452018036
AMID_1,Acetamidase,,3,0.0,2.2410918452017823,2.2410918452017823
APATi,Tetrahydrodipicolinate acetyltransferase,,3,0.0,8.41314360868755,8.41314360868755
BDH,3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN,,3,0.0,3.4504131327979533,3.4504131327979533
BSCT,Benzoylsuccinyl-CoA thiolase,,3,-4.2940554294403974e-05,0.756095211768818,0.7561381523231124
BUTCT,Acetyl-CoA:butyrate-CoA transferase,,3,0.0,18.409278958801075,18.409278958801075
BUTKr,Butyrate kinase,,3,-10.0,8.409278958801092,18.409278958801092
BUTt2rpp,"Butyrate transport via proton symport, reversible (periplasm)",,3,0.0,1.6853376422273567,1.6853376422273567
BUTt4pp,Butyrate transport via sodium symport (periplasm),,3,0.0,1.6853376422274033,1.6853376422274033
CS,Citrate synthase,,3,0.0,8.000167288471118,8.000167288471118
CYSGL,Cystathionine gamma-lyase,,3,0.0,2.4622820512820165,2.4622820512820165
CYSS,Cysteine synthase,,3,0.0,2.4622820512820103,2.4622820512820103
CYSS_2,Cysteine synthase,,3,0.0,2.4622820512819525,2.4622820512819525
DAPDA,"N-acetyl-L,L-diaminopimelate deacetylase",,3,-10.000000000000002,-1.5868563913124245,8.413143608687577
DHPACCOAHIT,"1,2-Dihydroxy-1,2-dihydrophenylacetyl-CoA Hydratase/Isomerase/Ketothiolase complex",,3,0.0,4.043724988262633,4.043724988262633
ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),,3,0.0,0.0,0.0
ECOAH1_1,3 hydroxyacyl CoA dehydratase  3 hydroxybutanoyl CoA,,3,0.0,2.5885955348609615,2.5885955348609615
FRD2,Fumarate reductase,,3,0.0,21.965177246493106,21.965177246493106
FRD3,Fumarate reductase,,3,0.0,18.410728202508498,18.410728202508498
FRDx,Fumarate reductase NADH,,3,0.0,18.410728202508498,18.410728202508498
FUMAC,Fumarylacetoacetase,,3,0.0,1.4940612301345115,1.4940612301345115
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,,3,0.05642388834284705,1.2875649139838092,1.2311410256409623
GLUTARH,Glutarate hydroxylase,,3,0.0,0.8964367380807065,0.8964367380807065
GLYAT,Glycine C-acetyltransferase,,3,-7.810509197918836,9.04496702339583,16.855476221314667
HMGL,Hydroxymethylglutaryl-CoA lyase,,3,0.0,1.494061230134532,1.494061230134532
HMGL_2,,,3,0.0,1.494061230134525,1.494061230134525
HMR_9610,Na+/succinate symporter,,3,0.0,4.795298151989263,4.795298151989263
HSERTA,Homoserine O trans acetylase,,3,0.0,0.0,0.0
HXCT,Acetyl-CoA:hexanoate-CoA transferase,,3,0.0,2.0013384501450155,2.0013384501450155
IBTMr,Isobutyryl-CoA mutase,,3,-0.002232681194722658,3.3066685161755784,3.308901197370301
ICL,Isocitrate lyase,,3,0.0,7.211125921541501,7.211125921541501
IPPS,2-isopropylmalate synthase,,3,0.0,4.001208333333157,4.001208333333157
KAS13,B-ketoacyl synthetase (octadecanoate),,3,0.0004637579863795649,0.0005152866515328476,5.1528665153282725e-05
KAS17,B-ketoacyl synthetase (n-C18:1),,3,0.0,0.0,0.0
KAS2,B-ketoacyl synthetase (n-C14:0),,3,0.0,0.3108875262361229,0.3108875262361229
KAS7,B-ketoacyl synthetase (n-C16:1),,3,0.0,0.27604668277862376,0.27604668277862376
KAS8,"B-ketoacyl synthetase (palmitate, n-C16:0)",,3,0.0,0.27604668277862254,0.27604668277862254
MACCOAT,2-Methylacetyl-CoA thiolase,,3,0.0,3.8263910075156575,3.8263910075156575
MALS,Malate synthase,,3,0.0,3.4692831629316503,3.4692831629316503
MCITL2,Methylisocitrate lyase,,3,0.0,5.82436832828218,5.82436832828218
METB1,Metb1 (rev),,3,-10.0,0.0,10.0
MMM,Methylmalonyl-CoA mutase,,3,0.0,2.4362976110502186,2.4362976110502186
MMM2,Methylmalonyl-CoA mutase,,3,0.0,2.4362976110501995,2.4362976110501995
MMSAD3,Methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde),,3,0.0,2.689102909770159,2.689102909770159
OCOAT2r,3-oxoacid CoA-transferase (Succinyl-CoA: 3-methylbutanoate),,3,0.0,6.128874543571871,6.128874543571871
OXDHCOAT,"3-oxo-5,6-dehydrosuberyl-CoA thiolase",,3,0.0,4.043724988262699,4.043724988262699
PBUTT,Phosphate butyryltransferase,,3,-8.409278958801082,10.000000000000004,18.409278958801085
PDH,Pyruvate dehydrogenase,,3,0.0,6.90082626559599,6.90082626559599
PDHbr,Pyruvate dehydrogenase (dihydrolipoamide) reversible,,3,0.0,6.900826265595905,6.900826265595905
PHHL,,,3,0.0,0.9598472354534692,0.9598472354534692
POR_syn,Pyruvate-ferredoxin oxidoreductase,,3,0.0,5.739586511273358,5.739586511273358
PROAKGOX1,Prolyl 4-hydroxylase,,3,0.0,2.4260128401638767,2.4260128401638767
PTAr,Phosphotransacetylase,,3,-8.413143608687575,10.0,18.413143608687577
PTRCAT1,Putrescine acetyltransferase,,3,0.0,1.0985718521496801,1.0985718521496801
SDPDS,Succinyl-diaminopimelate desuccinylase,,3,1.5907210411989292,9.999999999999998,8.40927895880107
SERAT,Serine O-acetyltransferase,,3,0.0,2.4622820512819774,2.4622820512819774
SHSL1,O-succinylhomoserine lyase (L-cysteine),,3,0.0,16.72327553560556,16.72327553560556
SHSL2,O succinylhomoserine lyase  H2S,,3,-10.0,10.0,20.0
SHSL2r,O-succinylhomoserine lyase (H2S),,3,-10.0,10.0,20.0
SHSL3,O succinylhomoserine lyase  methanethiol,,3,0.0,0.3480234890682176,0.3480234890682176
SHSL4r,O succinylhomoserine lyase  elimination   reversible,,3,0.0,0.32320588574140996,0.32320588574140996
SLCYSS,O-acetyl-L-serine sulfhydrylase,,3,0.0,2.462282051281945,2.462282051281945
SSALx,Succinate-semialdehyde dehydrogenase (NAD),,3,0.0,2.4622820512819263,2.4622820512819263
SSALy,Succinate-semialdehyde dehydrogenase (NADP),,3,0.0,2.4622820512819317,2.4622820512819317
SSCOARy,Succinyl-coA reductase (NADPH),,3,-10.0,-3.613380589295951,6.386619410704049
SUCBZT1,Succinyl:benzoate CoA transferase,,3,-0.7560952117688158,4.2563716908331486e-05,0.7561377754857241
SUCCt2_2pp,Succinate transport via proton symport (2 H) (periplasm),,3,0.0,10.000000000000002,10.000000000000002
SUCD1,Succinate dehydrogenase,,3,-10.0,0.0,10.0
SUCD2,Succinate dehydrogenase dehydrogenase (menaquinone 8 as acceptor),,3,1.5907596876977719,23.59228556403927,22.001525876341496
SUCOAS,Succinyl-CoA synthetase (ADP-forming),,3,-10.0,-1.5907210411988881,8.409278958801112
TARTRt7,Tartrate/succinate antiporter,,3,-5.4614903479733473e-14,10.0,10.000000000000055
TARTRt7pp,Tartrate/succinate antiporter (periplasm),,3,0.0,10.0,10.0
THDPS,Tetrahydrodipicolinate succinylase,,3,1.590721041198919,10.0,8.409278958801082
THPAT,"L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase",,3,-10.0,-1.5868563913124296,8.41314360868757
AACPS3,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),,4,0.0,1.2311410256409592,1.2311410256409592
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),,4,0.0,0.8341406395052184,0.8341406395052184
AACPS5,Acyl-[acyl-carrier-protein] synthetase  (n-C18:1),,4,0.0,0.0,0.0
AACPS6,Acyl-[acyl-carrier-protein] synthetase  (n-C18:0),,4,0.0,0.8207606837606454,0.8207606837606454
ABTA,4-aminobutyrate transaminase,,4,3.6133805892958315,12.462282051281946,8.848901461986115
ABUTD,Aminobutyraldehyde dehydrogenase,,4,0.0,11.920935867315805,11.920935867315805
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,,4,3.613380589295842,10.0,6.386619410704158
ACACtex,Acetoacetate transport via diffusion (extracellular to periplasm),,4,0.0,3.4504131327979697,3.4504131327979697
ACALDt,Acetaldehyde reversible transport,,4,-9.357815383830076,3.193309705352026,12.5511250891821
ACALDtpp,Acetaldehyde reversible transport (periplasm),,4,0.0,0.0,0.0
ACGAMK,N-acetylglucosamine kinase,,4,0.0,0.27358689458688085,0.27358689458688085
ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,,4,0.0,1.6118186551474627,1.6118186551474627
ACGAptspp,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),,4,0.0,1.61181865514748,1.61181865514748
ACGK,Acetylglutamate kinase,,4,0.0,2.4622820512819636,2.4622820512819636
ACHBS,2-aceto-2-hydroxybutanoate synthase,,4,0.0,2.6310361199809535,2.6310361199809535
ACLDC,Acetolactate decarboxylase,,4,0.0,3.4504131327979706,3.4504131327979706
ACLS,Acetolactate synthase,,4,0.0,6.900826265595915,6.900826265595915
ACLS_a,Acetolactate synthase,,4,0.0,6.900826265595925,6.900826265595925
ACLS_d,2-alpha-Hydroxyethylthiamine diphosphate lipoamide,,4,0.0,6.900826265595944,6.900826265595944
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,,4,0.0,0.2735868945868824,0.2735868945868824
ACMANApts,N-acetyl-D-mannosamine transport via PTS,,4,0.0,1.6118186551474774,1.6118186551474774
ACOAD2,Acyl-CoA dehydrogenase (hexanoyl-CoA),,4,-2.054376933160325,0.002232726716727041,2.056609659877052
ACOAD3,Acyl-CoA dehydrogenase (octanoyl-CoA),,4,-0.002232726716727053,2.0543769331603197,2.0566096598770467
ACOAD4_1,Acyl CoA dehydrogenase  decanoyl CoA,,4,-0.00223272671672705,2.054376933160344,2.056609659877071
ACOAD5_1,Acyl CoA dehydrogenase  dodecanoyl CoA,,4,-0.0022328405298597215,1.9017836512160924,1.904016491745952
ACOAD6,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),,4,-0.002232908823309007,1.9017836512160824,1.9040165600393915
ACOAD7,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),,4,-1.232686885595621,0.49091055030179187,1.7235974358974129
ACOADH2,Acyl CoA dehydrogenase  isobutyryl CoA,,4,0.0,1.6528705001014088,1.6528705001014088
ACONCt4pp,Citrate transport via sodium symport  periplasm,,4,0.0,4.795298151989357,4.795298151989357
ACONT,Aconitate hydratase,,4,-10.0,18.429239212219343,28.429239212219343
ACONTa,"Aconitase (half-reaction A, Citrate hydro-lyase)",,4,-10.0,18.42923921221933,28.42923921221933
ACONTb,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",,4,-10.0,18.429239212219315,28.429239212219315
