,minimum,maximum
PHBS_syn_1,15.167290836653386,30.33458167330676
AACOAR_syn,15.167290836653393,30.334581673306776
ACACT1r,-7.143375830013272,28.564429967426722
HACD1i,0.0,0.0
HACD1,0.0,0.0
HACD1_1,0.0,7.925508211441062
BUTCT2,0.0,20.77666666666666
ACACCT,0.0,20.388333333333346
OCOAT1,0.0,22.310666666666627
ACt2rpp,0.0,10.0
ACt4pp,0.0,9.999999999999998
ADPDA,1.346894236560695e-18,9.053199677480487
AGDC,0.0,8.290057126864445
AHSERL2,0.0,0.0
AHSERL4,0.0,10.0
AKGDH,0.0,15.160829784311026
BUTCT,0.0,15.38833333333342
BUTKr,-10.0,9.999999999999998
BUTt2rpp,0.0,7.5676974569741935
BUTt4pp,0.0,7.5676974569742
CS,0.0,16.190750541692935
CYSGL,0.0,12.962356634068257
CYSS,0.0,12.962356634069742
CYSS_2,0.0,12.962356634069765
ALDD2x,0.0,18.099115205843297
ALDD2y,0.0,18.099115205843365
ALDD4,0.0,5.077405655157149
AMID4,0.0,9.999999999999998
AMID_1,0.0,10.0
APATi,0.0,9.05319967748055
BDH,0.0,9.999999999999996
BSCT,-2.445115292472148e-05,4.036343629097448
G1PACT,0.0,6.801925630810092
GLUTARH,0.0,3.7608362249924943
GLYAT,-10.0,10.000000000000005
HMGL,0.0,10.310666666666666
HMGL_2,0.0,10.31066666666666
HMR_9610,0.0,17.072917220008854
HSERTA,0.0,1.6501927708269316e-30
HXCT,0.0,8.92156972111554
IBTMr,-0.0011850946775077006,10.865667831320222
ICL,0.0,18.55702346954356
IPPS,0.0,9.999999999999998
KAS13,0.0,0.00029350821048631685
KAS17,0.0,0.0
KAS2,0.0,1.5869610529381901
KAS7,0.0,1.4229750774679033
KAS8,0.0,1.4229750774679093
MACCOAT,0.0,13.925473811481238
MALS,0.0,12.804687915006634
MCITL2,0.0,19.23273931396028
METB1,0.0,-2.200257027769242e-31
MMM,0.0,11.595875608676407
MMM2,0.0,11.595875608676398
MMSAD3,0.0,10.000000000000002
OCOAT2r,0.0,9.99999999999999
DAPDA,-10.000000000000002,9.053199677480563
DHPACCOAHIT,0.0,10.000000000000002
ECOAH1,0.0,0.0
ECOAH1_1,0.0,7.925508211441065
FRD2,0.0,37.292952931357505
FRD3,0.0,29.223501692156102
FRDx,0.0,29.223501692156102
FUMAC,0.0,7.360215917937433
PTAr,-10.0,10.0
PROAKGOX1,0.0,8.604894909251884
POR_syn,0.0,19.570774046670405
PHHL,0.0,4.856402739709807
PDHbr,0.0,30.0824778761062
PDH,0.0,30.082477876106175
PBUTT,-10.0,10.000000000000002
OXDHCOAT,0.0,10.000000000000009
SLCYSS,0.0,10.000000000000004
SDPDS,0.0,10.0
SERAT,0.0,14.306634998467691
SHSL1,0.0,9.999999999999996
SHSL2,0.0,0.0
SHSL2r,0.0,0.0
SHSL3,0.0,1.5853366023089306
PTRCAT1,0.0,5.544058743381447
SUCD2,0.0,31.723822968993577
SUCD1,-10.0,0.0
SUCCt2_2pp,0.0,10.000000000000002
SUCBZT1,-4.036343629097467,2.4454702745287577e-05
SSCOARy,-10.0,12.084892528650816
SSALy,0.0,13.770726556141144
SSALx,0.0,13.770726556140978
SUCOAS,-10.0,10.776666666666662
THPAT,-10.0,9.05319967748054
TARTRt7,2.8806648624585466e-15,9.999999999999998
TARTRt7pp,0.0,10.0
THDPS,0.0,9.395555957986241
ACOAD1,0.0,7.925508211441068
ACOAD1fr,0.0,7.925508211441069
ACOAM,0.0,20.609375830013345
SHSL4r,0.0,1.4720982735723755
ACODA,0.0,11.885363278070512
ACOXT,0.0,0.0
ACSERHS,0.0,10.000000000000034
ACS,0.0,20.609375830013256
ACS_1,0.0,20.609375830013228
ACTD2,0.0,16.39908366533859
3OXCOAT,0.0,9.999999999999991
AABTN,0.0,5.544058743381449
AACLAM,0.0,20.60937583001326
ACACT2r,-9.583816116361277,0.0011850946775076928
ACACT3r,-9.419664651737872,0.0011851437697677559
ACACT4r,-8.862625055334219,0.0011852051408126826
ACACT5r,-1.2454357397839875e-29,8.862625055334217
ACACT5r_1,-8.862625055334224,0.001185205140812705
ACACT6r_1,-8.276036036036045,0.0011853279019726896
ACACT7r,-1.4229750774679049,0.0009783607016210277
ACACT8r,0.0,0.0
ACACt2pp,0.0,10.000000000000005
