,minimum,maximum
PHBS_syn_1,15.167290836653386,30.33458167330676
AACOAR_syn,15.167290836653393,30.334581673306776
ACACT1r,-7.143375830013272,28.564429967426722
HACD1i,0.0,0.0
HACD1,0.0,0.0
HACD1_1,0.0,7.925508211441062
BUTCT2,0.0,30.776666666666653
ACACCT,0.0,30.388333333333335
OCOAT1,-10.0,22.310666666666634
ACt2rpp,0.0,9.999999999999998
ACt4pp,0.0,9.999999999999998
ADPDA,0.0,19.05319967748057
AGDC,0.0,8.290057126864388
AHSERL2,0.0,10.0
AHSERL4,0.0,10.00000000000001
AKGDH,0.0,15.160829784311032
BUTCT,0.0,35.38833333333347
BUTKr,-10.0,10.00000000000001
BUTt2rpp,0.0,7.567697456974212
BUTt4pp,0.0,7.567697456974221
CS,0.0,16.190750541692868
CYSGL,0.0,12.962356634069733
CYSS,0.0,12.962356634069756
CYSS_2,0.0,12.962356634069783
ALDD2x,0.0,18.099115205843287
ALDD2y,0.0,18.09911520584334
ALDD4,0.0,5.077405655157146
AMID4,0.0,10.000000000000004
AMID_1,0.0,10.0
APATi,0.0,19.053199677480567
BDH,0.0,10.000000000000005
BSCT,-2.445115292472148e-05,4.036343629097441
G1PACT,0.0,6.801925630810096
GLUTARH,0.0,3.760836224992572
GLYAT,-10.0,9.999999999999996
HMGL,0.0,10.310666666666657
HMGL_2,0.0,10.310666666666673
HMR_9610,0.0,17.072917220008854
HSERTA,0.0,4.1643597641174625e-31
HXCT,0.0,8.921569721115535
IBTMr,-0.0011850946775076884,10.865667831320225
ICL,0.0,18.557023469543655
IPPS,0.0,10.000000000000002
KAS13,0.0,0.00029350821048629755
KAS17,0.0,0.0
KAS2,0.0,1.5869610529381801
KAS7,0.0,1.4229750774679033
KAS8,0.0,1.4229750774678998
MACCOAT,0.0,13.92547381148122
MALS,0.0,12.80468791500662
MCITL2,0.0,19.232739313960224
METB1,-10.0,5.778188833108673e-30
MMM,0.0,11.5958756086764
MMM2,0.0,11.595875608676403
MMSAD3,0.0,10.000000000000032
OCOAT2r,0.0,9.999999999999998
DAPDA,-9.999999999999993,9.053199677480563
DHPACCOAHIT,0.0,10.0
ECOAH1,0.0,0.0
ECOAH1_1,0.0,7.925508211441081
FRD2,0.0,37.29295293135758
FRD3,0.0,29.223501692156113
FRDx,0.0,29.22350169215611
FUMAC,0.0,7.360215917937438
PTAr,-10.0,10.0
PROAKGOX1,0.0,8.604894909251877
POR_syn,0.0,19.570774046670426
PHHL,0.0,4.856402739709805
PDHbr,0.0,30.082477876105987
PDH,0.0,30.082477876106207
PBUTT,-10.0,10.0
OXDHCOAT,0.0,10.000000000000004
SLCYSS,0.0,9.999999999999993
SDPDS,0.0,10.000000000000002
SERAT,0.0,14.306634998467624
SHSL1,0.0,20.0
SHSL2,-10.0,10.0
SHSL2r,-10.0,10.0
SHSL3,0.0,1.5853366023087123
PTRCAT1,0.0,5.544058743381466
SUCD2,0.0,31.723822968993613
SUCD1,-10.0,0.0
SUCCt2_2pp,0.0,10.000000000000002
SUCBZT1,-4.036343629097441,2.420342916514549e-05
SSCOARy,-10.0,12.084892528650812
SSALy,0.0,13.770726556140987
SSALx,0.0,13.770726556141053
SUCOAS,-10.0,20.776666666666664
THPAT,-10.0,9.053199677481118
TARTRt7,1.8889605655465876e-15,10.000000000000007
TARTRt7pp,0.0,10.0
THDPS,0.0,9.999999999999984
ACOAD1,0.0,7.925508211441062
ACOAD1fr,0.0,7.925508211441029
ACOAM,0.0,20.60937583001325
SHSL4r,0.0,1.4720982735723762
ACODA,0.0,11.88536327807054
ACOXT,0.0,0.0
ACSERHS,0.0,10.0
ACS,0.0,20.609375830013274
ACS_1,0.0,20.609375830013256
ACTD2,0.0,16.399083665338676
3OXCOAT,0.0,10.0
AABTN,0.0,5.544058743381444
AACLAM,0.0,20.609375830013253
ACACT2r,-9.583816116361279,0.0011850946775076767
ACACT3r,-9.419664651737854,0.0011851437697677387
ACACT4r,-8.862625055334213,0.0011852051408126933
ACACT5r,1.7907457762606432e-15,8.86262505533422
ACACT5r_1,-8.862625055334227,0.001185205140812712
ACACT6r_1,-8.276036036036048,0.0011853279019726837
ACACT7r,-1.4229750774679095,0.0009783607016210349
ACACT8r,0.0,0.0
ACACt2pp,0.0,9.999999999999998
ACCOAC,0.0,9.960825542275316
