reaction_id,reaction_name,growth,growth_fraction_of_wt,classification,growth_coupled_PHB_after_knockout
METSOX1abc,L-Methionine S-oxide transport via ABC system,0.42940554294403943,0.9999999999999951,non-essential,4.678907691915219
TRPabc,,0.42940554294403943,0.9999999999999951,non-essential,4.678907691915359
EX_gam_e,R_EX_gam_e,0.42911138713180363,0.9993149696899086,non-essential,4.679262970548588
EX_ala_L_glu__L_e,R_EX_ala_L_glu__L_e,0.42940554294403943,0.9999999999999951,non-essential,4.678907691915151
AGPAT180,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0),0.42940554294403943,0.9999999999999951,non-essential,4.678907691915266
EX_cgly_e,R_EX_cgly_e,0.42940554294403943,0.9999999999999951,non-essential,4.678907691915183
Clt,Major Facilitator(MFS) TCDB:2.A.1.14.6,4.949372789815086e-17,1.1526103635928308e-16,essential,
FDMO4_1,FMN dependent monooxygenase  taurine,0.42940554294404015,0.9999999999999968,non-essential,4.678907691915222
THRabc,L-threonine transport via ABC system,0.4294055429440392,0.9999999999999946,non-essential,4.6789076919152
FA80ACPHi,Fatty-acyl-ACP hydrolase,0.4294055429440392,0.9999999999999946,non-essential,4.6789076919152235
APATi,Tetrahydrodipicolinate acetyltransferase,0.4294055429440392,0.9999999999999946,non-essential,4.678907691915209
LEULEUtex,Leucylleucine transport via diffusion  extracellular to periplasm,0.4294055429440392,0.9999999999999946,non-essential,4.678907691915259
AMPTASEAT,Aminopeptidase  Ala Thr,0.4294055429440392,0.9999999999999946,non-essential,4.678907691915188
GLYPHEtr,Gly-Phe ABC transporters,0.4294055429440392,0.9999999999999946,non-essential,4.678907691915259
HCYSMT2,Homocysteine Methyltransferase,0.42940462127883616,0.9999978536252722,non-essential,4.678911565552141
NAtex,Sodium transport via diffusion (extracellular to periplasm),0.42940554294403943,0.9999999999999951,non-essential,4.678907691915134
UAGDP,UDP-N-acetylglucosamine diphosphorylase,2.543341847746548e-16,5.922936695947557e-16,essential,
MHPGLUT,5 methyltetrahydropteroyltriglutamate homocysteine S methyltransferase,0.42940554294404104,0.9999999999999989,non-essential,4.678907691915226
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),0.4294055429440401,0.9999999999999967,non-essential,4.678907691915145
HACD1i,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),0.4294055429440401,0.9999999999999967,non-essential,4.678907691915226
TYRTA,Tyrosine transaminase,0.4294055429440401,0.9999999999999967,non-essential,4.678907691915145
HPPK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,0.4294055429440401,0.9999999999999967,non-essential,4.678907691915226
EX_no2_e,R_EX_no2_e,0.4294055429440401,0.9999999999999967,non-essential,4.678907691915145
CYTK2,Cytidylate kinase (dCMP),0.4294055429440401,0.9999999999999967,non-essential,4.678907691915226
PACALDt,Phenylacetaldehyde transport  extracellular,0.4252052597309896,0.9902183768186725,non-essential,4.229690465065162
VALDHr,Valine dehydrogenase,0.42940554294403904,0.9999999999999942,non-essential,4.678907691915224
EX_sulfac_e,R_EX_sulfac_e,0.42940554294404215,1.0000000000000013,non-essential,4.678907691915193
AMANK_1,N-acetyl-D-mannosamine kinase,0.42940554294404215,1.0000000000000013,non-essential,4.6789076919152235
CPPPGO,Coproporphyrinogen oxidase (O2 required),0.42940554294404215,1.0000000000000013,non-essential,4.678907691915237
NADDP,NAD diphosphatase,0.42940554294404215,1.0000000000000013,non-essential,4.678907691915185
COabc,Cobalt transport via ABC system,0.42940554294404215,1.0000000000000013,non-essential,4.6789076919151364
GALt2_3,,0.42940554294404215,1.0000000000000013,non-essential,4.678907691915125
DIPEPabc15,Dipeptide transport via ABC system  cgly,0.42940554294404215,1.0000000000000013,non-essential,4.678907691915116
HACOADr,3 hydroxyacyl CoA dehydrogenase,0.42940554294404215,1.0000000000000013,non-essential,4.678907691915255
GALURtex,D-galacturonate transport via diffusion (extracellular to periplasm),0.42940554294404215,1.0000000000000013,non-essential,4.678907691915212
MANGLYCtex,2-O-alpha-mannosyl-D-glycerate transport via diffusion (extracellular to periplasm),0.42940554294404215,1.0000000000000013,non-essential,4.678907691915249
GTPCI,GTP cyclohydrolase I,0.42940554294404215,1.0000000000000013,non-essential,4.678907691915219
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),0.2704614931716918,0.6298509593457607,non-essential,3.3488333333329963
4HPRO_LT_Et,Trans-4-Hydroxy-L-proline transport (transport mechanism unknown - evidence from biolog data),0.42940554294404004,0.9999999999999966,non-essential,4.678907691915188
RU5PS,Ribulose-5-P Synthetase,0.42940554294403954,0.9999999999999953,non-essential,4.6789076919152786
PA160abcpp,"Phosphatidate transport via ABC system (n-C16:0, periplasm)",0.42940554294403954,0.9999999999999953,non-essential,4.678907691915498
MLTGY3pp,Murein lytic transglycosylase (murein3p3p) (periplasm),0.42940554294403954,0.9999999999999953,non-essential,4.678907691915203
ARABRr,Arabinose reductase,0.42940554294403954,0.9999999999999953,non-essential,4.678907691915178
