knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
2MAHMP + 2PGLYCt6,2,0.4294055429440394,0.0
12PPDRDH + AACOAR_syn,2,0.42940554294403993,0.0
13PPDH + AACOAR_syn,2,0.42940554294403993,0.0
13PPDH2 + AACOAR_syn,2,0.42940554294403993,0.0
13PPDH2_1 + AACOAR_syn,2,0.42940554294403993,0.0
23CAMPtex + AACOAR_syn,2,0.42940554294403993,0.0
23CCMPtex + AACOAR_syn,2,0.42940554294403993,0.0
23CGMPtex + AACOAR_syn,2,0.35938428278619444,0.0
23CUMPtex + AACOAR_syn,2,0.4294055429440424,0.0
23PDE2pp + AACOAR_syn,2,0.4294055429440416,0.0
23PDE4pp + AACOAR_syn,2,0.4294055429440416,0.0
AACOAR_syn + XYLt2,2,0.4294055429440416,0.0
2PGLYCt6 + 3GMPtex_1,2,0.2051989985334454,0.0
2S6HCCi + 3GMPtex_1,2,0.2051989985334454,0.0
34HPPOR + 3GMPtex_1,2,0.2051989985334454,0.0
3AMPt6 + 3GMPtex_1,2,0.2051989985334454,0.0
3CMPt6 + 3GMPtex_1,2,0.2051989985334454,0.0
2MAHMP + 3MBt2pp,2,0.42940554294404093,0.0
2PGLYCt6 + 3MBt2pp,2,0.42940554294404093,0.0
2S6HCCi + 3MBt2pp,2,0.42940554294404093,0.0
34HPPOR + 3MBt2pp,2,0.42940554294404093,0.0
3AMPt6 + 3MBt2pp,2,0.42940554294404093,0.0
3CMPt6 + 3MBt2pp,2,0.4294055429440409,0.0
3GMPtex_1 + 3MBt2pp,2,0.20519899853344592,0.0
2MAHMP + 3MBt4pp,2,0.42940554294403926,0.0
2PGLYCt6 + 3MBt4pp,2,0.42940554294403926,0.0
2S6HCCi + 3MBt4pp,2,0.42940554294403926,0.0
34HPPOR + 3MBt4pp,2,0.42940554294403926,0.0
12PPDRDH + 23CCMPtex,2,0.4294055429440325,0.0
12PPDRDH + 23CAMPtex,2,0.4294055429440322,0.0
12PPDRDH + 13PPDH2_1,2,0.4294055429440322,0.0
12PPDRDH + 13PPDH2,2,0.4294055429440322,0.0
12PPDRDH + 13PPDH,2,0.4294055429440322,0.0
2MAHMP + AACOAR_syn,2,0.4294055429440322,0.0
2PGLYCt6 + AACOAR_syn,2,0.42940554294403865,0.0
2S6HCCi + AACOAR_syn,2,0.4294055429440385,0.0
34HPPOR + AACOAR_syn,2,0.4294055429440385,0.0
3AMPt6 + AACOAR_syn,2,0.4294055429440385,0.0
3CMPt6 + AACOAR_syn,2,0.42940554294403943,0.0
3GMPtex_1 + AACOAR_syn,2,0.2051989985334459,0.0
3MBt2pp + AACOAR_syn,2,0.42940554294404104,0.0
3MBt4pp + AACOAR_syn,2,0.42940554294404104,0.0
3MBtex + AACOAR_syn,2,0.42940554294404104,0.0
3NTD2pp + AACOAR_syn,2,0.42940554294404104,0.0
12PPDRDH + VECOAH,2,0.42940554294403926,0.0
12PPDRDH + VNDH_2,2,0.42940554294403926,0.0
12PPDRDH + VPAMTr,2,0.42940554294403926,0.0
12PPDRDH + XANt2,2,0.42940554294403926,0.0
12PPDRDH + XPPT,2,0.42940554294403926,0.0
12PPDRDH + XTSNH,2,0.42940554294403926,0.0
12PPDRDH + XYLI1,2,0.42940554294403926,0.0
12PPDRDH + XYLI2,2,0.42940554294403926,0.0
12PPDRDH + XYLK,2,0.42940554294403926,0.0
12PPDRDH + XYLabc,2,0.42940554294403926,0.0
12PPDRDH + XYLabcpp,2,0.42940554294403926,0.0
12PPDRDH + XYLt2,2,0.42940554294403926,0.0
12PPDRDH + 23PDE4pp,2,0.42940554294403926,0.0
12PPDRDH + 23PDE2pp,2,0.42940554294403926,0.0
12PPDRDH + 23CUMPtex,2,0.429405542944032,0.0
12PPDRDH + 23CGMPtex,2,0.35938428278618595,0.0
12PPDRDH + 2PGLYCt6,2,0.42940554294403693,0.0
12PPDRDH + 2S6HCCi,2,0.42940554294403693,0.0
12PPDRDH + 34HPPOR,2,0.42940554294403693,0.0
12PPDRDH + 3AMPt6,2,0.42940554294403693,0.0
12PPDRDH + 3CMPt6,2,0.42940554294405175,0.0
12PPDRDH + 3GMPtex_1,2,0.20519899853345505,0.0
12PPDRDH + 3MBt2pp,2,0.42940554294404115,0.0
12PPDRDH + 3MBt4pp,2,0.42940554294404115,0.0
12PPDRDH + 3MBtex,2,0.42940554294404115,0.0
12PPDRDH + 3NTD2pp,2,0.42940554294404115,0.0
12PPDRDH + 3NTD4pp,2,0.42940554294404115,0.0
