knockouts,n_knockouts,max_growth,min_PHB_at_max_growth
AACOAR_syn,1,0.42940554294403993,0.0
12PPDRDH,1,0.42940554294403943,0.0
13PPDH,1,0.42940554294403943,0.0
13PPDH2,1,0.42940554294403943,0.0
13PPDH2_1,1,0.42940554294403943,0.0
23CAMPtex,1,0.42940554294403943,0.0
23CCMPtex,1,0.42940554294403943,0.0
23CGMPtex,1,0.3593842827861876,0.0
23CUMPtex,1,0.42940554294403854,0.0
23PDE2pp,1,0.4294055429440388,0.0
23PDE4pp,1,0.4294055429440388,0.0
XYLt2,1,0.42940554294403993,0.0
XYLabcpp,1,0.42940554294403993,0.0
XYLabc,1,0.42940554294403993,0.0
XYLK,1,0.42940554294403993,0.0
XYLI2,1,0.42940554294403893,0.0
XYLI1,1,0.42940554294403893,0.0
XTSNH,1,0.42940554294403893,0.0
XPPT,1,0.42940554294403893,0.0
XANt2,1,0.42940554294403893,0.0
VPAMTr,1,0.42940554294404004,0.0
VNDH_2,1,0.42940554294404004,0.0
VECOAH,1,0.42940554294404015,0.0
VALtex,1,0.4288684662592415,0.0
VALt3pp,1,0.4288684662592428,0.0
VALt2rpp,1,0.42940554294404004,0.0
VALt2r,1,0.42940554294403216,0.0
3NTD7pp,1,0.42940554294403793,0.0
3NTD4pp,1,0.42940554294403793,0.0
3NTD2pp,1,0.42940554294403793,0.0
3MBtex,1,0.42940554294403793,0.0
3MBt4pp,1,0.42940554294403793,0.0
3MBt2pp,1,0.42940554294403915,0.0
3GMPtex_1,1,0.20519899853344611,0.0
3CMPt6,1,0.429405542944041,0.0
3AMPt6,1,0.429405542944041,0.0
34HPPOR,1,0.429405542944041,0.0
2S6HCCi,1,0.429405542944041,0.0
2PGLYCt6,1,0.429405542944041,0.0
2MAHMP,1,0.429405542944041,0.0
2INSD,1,0.429405542944041,0.0
2HXMPt6,1,0.429405542944041,0.0
2AGPG181tipp,1,0.429405542944041,0.0
4HPROLTtex,1,0.4294055429440405,0.0
4HPROLTabcpp,1,0.4294055429440405,0.0
4HPROE,1,0.4294055429440405,0.0
4HPRODCtex,1,0.4294055429440405,0.0
4HPRODCabcpp,1,0.4294055429440405,0.0
4HBAt,1,0.4294055429440405,0.0
4HALDD,1,0.4294055429440405,0.0
4ABUTD,1,0.4294055429440405,0.0
3UMPt6,1,0.4294055429440405,0.0
3PEPTabcpp,1,0.42940554294403976,0.0
3OXCOAT,1,0.4252052597309899,0.0
3NUCLE4,1,0.20519899853345236,0.0
3NUCLE3,1,0.4294055429440397,0.0
3NUCLE2,1,0.4294055429440397,0.0
3NUCLE1,1,0.42940554294403843,0.0
3NTD9pp,1,0.35938428278615586,0.0
AACPS6,1,0.4294055429440439,0.0
AACPS5,1,0.4294055429440439,0.0
AACPS4,1,0.4294055429440439,0.0
AACPS3,1,0.4294055429440439,0.0
AACLAM,1,0.4294055429440439,0.0
AABTN,1,0.4294055429440439,0.0
A6PAG2,1,0.4294055429440381,0.0
A6PAG,1,0.27143519059833116,0.0
6PHBG_2,1,0.4294055429440405,0.0
5DKGR,1,0.4294055429440405,0.0
5DGLCNR,1,0.4294055429440405,0.0
