Component,Cost,LB,MSM,M9,RPB+Glc,RPB+Malt
(NH4)6Mo7O24.4H2O,52000,,0.000006,,0.000000,0.000000
CaCl2,5400,,0.200000,0.014700,0.004400,0.004400
CoCl2.6H2O,65000,,,,0.000003,0.000003
CuSO4.5H2O,15000,,,,0.000003,0.000003
FeSO4.7H2O,7500,,0.000002,,,
Glucose,138.26215,,20.000000,20.000000,20.000000,
H3BO3,7300,,0.000006,,0.000000,0.000000
K2HPO4,13.8262,,,,5.000000,5.000000
KH2PO4,4.915987407,,1.520000,3.000000,1.000000,1.000000
Maltose,497.7436,,,,,20.000000
MgSO4.7H2O,5000,,0.520000,0.240700,0.110900,0.110900
MnSO4,8300,,,,0.000002,0.000002
Na2HPO4,13000,,4.000000,12.800000,,
NaCl,2.765244,10,,10.000000,57.000000,57.000000
NH4Cl,1.2720116,,,1.000000,10.000000,10.000000
Tryptone,24000,10,,,,
Urea,7000,,1.000000,,,
Yeast Extract,20800,5,0.160000,,0.050000,0.050000
ZnSO4.7H2O,50000,,0.000013,,0.000003,0.000003
