Gene_ID,Locus_Tag,Feature_Type,Name,BlastRules,COG,EC,GO,KEGG,NCBIFam,PFAM,RFAM,RefSeq,SO,UniParc,UniRef
MPDKNC_00001,MPDKNC_00001,CDS,chromosomal replication initiator protein DnaA,WP_003242674,COG0593|L,,0003677|0003688|0005524|0006270|0006275,K02313,,,,,0001217,,UniRef50_Q2G2H5|UniRef90_A0A0J5V958
MPDKNC_00002,MPDKNC_00002,CDS,DNA polymerase III subunit beta,,COG0592|L,2.7.7.7,0003677|0003887|0006260|0009360,K02338,,,,WP_053429910.1,0001217,UPI0006A9781B,UniRef100_A0A0M0G0I8|UniRef50_Q9RCA1|UniRef90_A0A0M0G0I8
MPDKNC_00003,MPDKNC_00003,CDS,S4 domain-containing protein YaaA,,COG2501|J,,,K14761,,,,WP_048004567.1,0001217,UPI00064F4F62,UniRef100_A0A0J5Y4F8|UniRef50_A0A8E2I9I1|UniRef90_A0A0J5Y4F8
MPDKNC_00004,MPDKNC_00004,CDS,DNA replication/repair protein RecF,,COG1195|L,,0003697|0005524|0006260|0006281|0006310|0009432,,,,,WP_048004566.1,0001217,UPI00064E9570,UniRef100_A0A0J5W2N0|UniRef50_Q9CE70|UniRef90_A0A0J5W2N0
MPDKNC_00005,MPDKNC_00005,CDS,extracellular matrix regulator RemB,,,,,K24648,,,,,0001217,,UniRef50_A0A6F8TL72|UniRef90_A0A6F8TL72
MPDKNC_00006,MPDKNC_00006,CDS,DNA gyrase subunit B,WP_003226808,,5.6.2.2,0003677|0003918|0005524|0005694|0006265,K02470,,,,,0001217,,UniRef50_Q6GKU0|UniRef90_A0A1C4DM95
MPDKNC_00007,MPDKNC_00007,CDS,DNA gyrase subunit A,WP_003244540,COG0188|L,5.6.2.2,0003677|0003916|0003918|0005524|0006259|0006265,K02469,,,,WP_056539938.1,0001217,UPI0006F4EE4C,UniRef100_A0A5D4RJK7|UniRef50_R9KUU1|UniRef90_A0A0P6WNR6
MPDKNC_00008,MPDKNC_00008,CDS,HD-GYP domain-containing protein,,COG2206|T,,,,,,,WP_056539940.1,0001217,UPI0006F40652,UniRef100_A0A5D4RPH8|UniRef50_A0A1J6W436|UniRef90_A0A0M0G0J3
MPDKNC_00009,MPDKNC_00009,rRNA,16S ribosomal RNA,,,,0005840|0003735,K01977,,,RF00177,,0001000,,
MPDKNC_00010,MPDKNC_00010,tRNA,tRNA-Ile(gat),,,,,,,,,,0000263,,
MPDKNC_00011,MPDKNC_00011,tRNA,tRNA-Ala(tgc),,,,,,,,,,0000254,,
MPDKNC_00012,MPDKNC_00012,rRNA,23S ribosomal RNA,,,,0005840|0003735,K01980,,,RF02541,,0001001,,
MPDKNC_00013,MPDKNC_00013,rRNA,5S ribosomal RNA,,,,0005840|0003735,K01985,,,RF00001,,0000652,,
