#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	25340	25453	-	MPDKNC_00023	4.4	4.8		
contig_1	35072	35782	+	MPDKNC_00039	28.1	6.1		SO:0001217, UniRef:UniRef50_A0A0M0GL92, UniRef:UniRef90_A0A0M0GL92
contig_1	41274	41525	+	MPDKNC_00045	9.7	10.0		SO:0001217, UniRef:UniRef50_A0A0M0FZB8
contig_1	100615	101121	-	MPDKNC_00110	19.5	10.2		
contig_1	168889	169419	+	MPDKNC_00195	18.8	9.0		
contig_1	208015	208143	+	MPDKNC_00240	4.6	4.5		
contig_1	209447	210046	+	MPDKNC_00243	23.2	4.5		RefSeq:WP_238283420.1, SO:0001217, UniParc:UPI001EE31B40, UniRef:UniRef100_UPI001EE31B40, UniRef:UniRef50_A0A5D4RIK8, UniRef:UniRef90_A0A5D4RIK8
contig_1	220326	221231	-	MPDKNC_00255	34.3	5.0		RefSeq:WP_238283422.1, SO:0001217, UniParc:UPI001EE364BB, UniRef:UniRef100_UPI001EE364BB, UniRef:UniRef50_A0A0M0GKX5, UniRef:UniRef90_A0A0M0GKX5
contig_1	253020	253775	+	MPDKNC_00283	28.4	4.5		RefSeq:WP_238283433.1, SO:0001217, UniParc:UPI001EE1B22C, UniRef:UniRef100_UPI001EE1B22C, UniRef:UniRef50_A0A165KTT1, UniRef:UniRef90_A0A5D4RDT1
contig_1	359371	359520	+	MPDKNC_00402	6.0	6.6		SO:0001217, UniRef:UniRef50_A0A6I6UEG9
contig_1	426208	426585	+	MPDKNC_00456	14.1	9.4		
contig_1	426694	426804	+	MPDKNC_00457	3.8	4.4		
contig_1	427534	427698	+	MPDKNC_00460	6.5	9.5		RefSeq:WP_159645816.1, SO:0001217, UniParc:UPI0012F08639, UniRef:UniRef100_UPI0012F08639, UniRef:UniRef50_A0A1J6WQN3, UniRef:UniRef90_UPI0012F08639
contig_1	465186	465317	+	MPDKNC_00500	4.8	6.0		
