# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	1	1347	+	MPDKNC_00001	763.0	6.1e-280	0.998	1.002	0.861	BlastRules:WP_003242674
contig_1	cds	1557	2693	+	MPDKNC_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0G0I8
contig_1	cds	2863	3081	+	MPDKNC_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5Y4F8
contig_1	cds	3099	4217	+	MPDKNC_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5W2N0
contig_1	cds	4254	4481	+	MPDKNC_00005	143.0	2.3e-43	1.0	0.893	1.0	UniRef:UniRef90_A0A6F8TL72
contig_1	cds	4524	6449	+	MPDKNC_00006	1054.0	0.0	0.997	1.002	0.818	BlastRules:WP_003226808
contig_1	cds	6634	9141	+	MPDKNC_00007	1169.0	0.0	0.968	0.984	0.808	BlastRules:WP_003244540
contig_1	cds	9269	10342	+	MPDKNC_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RPH8
contig_1	rRNA	10713	12263	+	MPDKNC_00009	1645.1	8.6e-50	-	-	-	RFAM:RF00177
contig_1	tRNA	12344	12420	+	MPDKNC_00010	87.9	-	-	-	-	-
contig_1	tRNA	12441	12516	+	MPDKNC_00011	81.8	-	-	-	-	-
contig_1	rRNA	12629	15562	+	MPDKNC_00012	3009.6	2.2e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	15676	15792	+	MPDKNC_00013	96.9	3.3e-16	-	-	-	RFAM:RF00001
contig_1	cds	16852	17337	+	MPDKNC_00014	325.0	1.4e-112	1.0	1.0	0.994	UniRef:UniRef90_A0A0M0GMP6
contig_1	cds	17355	18293	-	MPDKNC_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE3496A
contig_1	cds	18405	19871	+	MPDKNC_00016	809.0	7.7e-297	1.0	1.0	0.834	BlastRules:WP_003226803
contig_1	cds	20085	21431	+	MPDKNC_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R8A6
contig_1	cds	21652	22533	+	MPDKNC_00018	455.0	1.7e-163	0.993	0.990	0.801	BlastRules:WP_003247145
contig_1	cds	22540	23130	+	MPDKNC_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE364F1
contig_1	ncRNA-region	23184	23392	+	-	133.9	2.5e-18	-	-	-	RFAM:RF00230
contig_1	cds	23451	24728	+	MPDKNC_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R3W9
contig_1	tRNA	24843	24935	+	MPDKNC_00021	81.6	-	-	-	-	-
contig_1	cds	25018	25377	-	MPDKNC_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0006FE900B
contig_1	cds	25340	25453	-	MPDKNC_00023	-	-	-	-	-	-
contig_1	cds	25511	26008	+	MPDKNC_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE207DD
contig_1	cds	26037	26507	-	MPDKNC_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R8V0
contig_1	cds	26626	27294	-	MPDKNC_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R717
contig_1	cds	27278	27934	-	MPDKNC_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE29A4F
contig_1	cds	28068	29351	-	MPDKNC_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R5Y4
contig_1	cds	29409	29957	-	MPDKNC_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE35326
contig_1	cds	30088	30567	+	MPDKNC_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE29255
contig_1	ncRNA	30665	30929	+	MPDKNC_00031	236.0	3.9e-35	-	-	-	RFAM:RF01854
contig_1	ncRNA	30779	30878	+	MPDKNC_00032	74.9	1.1e-12	-	-	-	RFAM:RF00169
contig_1	cds	31082	32767	+	MPDKNC_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R7U0
contig_1	cds	32800	33120	+	MPDKNC_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5W9H6
contig_1	cds	33132	33728	+	MPDKNC_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5T9C7
